"","ELEC-a","GASHeat-a","OIL-a","COAL-a","ENIT-a","NEINT-a","Rice-a","Barley-a","Bean-a","Potato-a","Vegi-a","Fruit-a","Flower-a","MissCrop-a","Dairy-a","Meat-a","Pork-a","Poultry-a","MissLstock-a","CO2-a","ELEC-c","GASHeat-c","OIL-c","COAL-c","ENIT-c","NEINT-c","Rice-c","Barley-c","Bean-c","Potato-c","Vegi-c","Fruit-c","Flower-c","MissCrop-c","Dairy-c","Meat-c","Pork-c","Poultry-c","MissLstock-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"ELEC-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41534.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2427.7877735,0,0,0,0,0,0,0
"GASHeat-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30161.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0255537,0,0,0,0,0,0,0
"OIL-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103050.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7711088,0,0,0,0,0,0,0
"COAL-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6912.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1953421,0,0,0,0,0,0,0
"ENIT-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503854.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.6994185,0,0,0,0,0,0,0
"NEINT-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419270.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769.4976119,0,0,0,0,0,0,0
"Rice-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13900.3894318916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67810521376353,0,0,0,0,0,0,0
"Barley-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.78172866704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121440686236469,0,0,0,0,0,0,0
"Bean-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194981,0,0,0,0,0,0,0
"Potato-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1895603,0,0,0,0,0,0,0
"Vegi-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9297.279,0,0,0,0,0,0,0,0,0,0,0,0,10.9991895,0,0,0,0,0,0,0
"Fruit-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3580.672,0,0,0,0,0,0,0,0,0,0,0,1.8451611,0,0,0,0,0,0,0
"Flower-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1535.706,0,0,0,0,0,0,0,0,0,0,11.1293485,0,0,0,0,0,0,0
