 ,,Rice,Barley,Bean,Potato,Vegi,Fruit,Flower,MissCrop,Dairy,Meat,Pork,Poultry,MissLstock
RGG,Q,1531085.77,6729.985162,46215.9907,77811.71388,659021.1046,142082.7242,694315.7277,148770.9413,745726.0052,487590.5335,925155.1033,993830.8134,69729.35105
RGG,P,1,1,1,1,1,1,1,1,1,1,1,1,1
RGG,ACRE,108827,1934,7284,5791,20956,9435,1492,28944,177.316,181.8252,187.9447,202.8479806,42.25061
RGG,HERD,0,0,0,0,0,0,0,0,177316,303042,1879447,34658101,0
RGG,SEED,737098.1413,3027.697367,333.2376626,5603.21678,14328.21037,273.4096346,30587.89392,9940.212886,0,0,0,0,0
RGG,FERT,53581.35204,426.7098155,1388.303162,2102.237457,98208.90264,18207.08208,19861.8342,4491.766295,0,0,0,0,0
RGG,PEST,12057.33738,122.7263146,143.2602442,187.4383737,26090.49808,6339.826578,3934.159265,2495.705147,0,0,0,0,0
RGG,FEED,0,0,0,0,0,0,0,0,291357.7275,256630.1374,552602.8611,735257.0159,12927.16483
RGG,CUB,0,0,0,0,0,0,0,0,6660.291571,2695.809941,2047.323913,102464.2145,1508.148448
RGG,MED,0,0,0,0,0,0,0,0,5138.460796,1826.889675,3998.856406,3577.948587,182.2282954
RGG,ENERGY,15016.4338,221.8743555,676.3196097,1442.721446,20184.14552,2229.96363,120214.8452,1086.224536,5092.572354,2415.350761,6681.30173,12176.14615,448.4454873
RGG,WATER,31.29129872,0,0,0,12.89105331,21.6580018,93.27241663,67.14745218,2448.819691,581.752395,1890.974067,1641.742493,113.8258854
RGG,SMACH,86.7950246,19.55860603,31.43262742,61.18230802,683.0820638,56.17264994,39.5022237,740.2325857,235.2517186,140.2993247,201.803717,100.6167718,231.3034619
RGG,LMACH,3970.323342,22.65784217,173.4839244,367.0869644,2658.681494,918.8304103,1877.653792,501.8107885,3620.598389,1479.103422,5014.229349,1546.697657,250.4525741
RGG,FACIL,1878.821304,28.45871949,42.74491915,181.8616189,3274.668274,992.6904164,2430.983426,453.4467942,2847.122716,685.0397382,1255.019098,2866.607296,217.2310911
RGG,OINPUT,15719.32816,239.0752572,397.1391579,1733.015854,60177.07012,21535.50733,35105.49934,5081.42362,23428.99002,19124.51522,18748.04195,13616.74417,4643.437037
RGG,OSERV,154146.6496,668.9267576,1997.450517,4576.16732,80632.25582,16135.35289,57314.70995,8718.46457,71851.92627,39561.03784,109208.9039,154680.6974,5708.929265
RGG,KCOST,124438.1027,922.9293046,1972.483724,13227.37223,185448.7128,56369.23867,117620.5493,15397.0338,68796.2983,44350.90419,63251.5928,128368.2377,5438.08066
RGG,LCOST,30659.10793,321.6888486,1204.8886,8373.897445,70169.01861,18909.63911,16284.16803,10362.7155,6512.138436,2280.89207,18478.01821,27847.00923,6801.675577
