"","ELEC-a","GAS-a","HEAT-a","Gasoline-a","Jetoil-a","Diesel-a","Kerosene-a","Fueloil-a","LPG-a","Oilpro-a","CoalPro-a","Coal-a","Oil-a","LNG-a","Mining-a","IS-a","Cement-a","Chemistry-a","WoodPaper-a","FiberLeather-a","Mineral-a","nonISmetal-a","Machine-a","Electronics-a","Semidis-a","Auto-a","Ship-a","Food-a","MissManu-a","Const-a","Rail-a","Road-a","Air-a","Marine-a","MissTrans-a","Housing-a","Commercial-a","Public-a","Rice-a","Barley-a","Bean-a","Potato-a","Vegi-a","Fruit-a","Flower-a","MissCrop-a","Dairy-a","Meat-a","Pork-a","Poultry-a","MissLstock-a","FF-a","Waste-a","Household","Total"
"ELEC-c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAS-c",439.088281241609,0.317091655634024,42.3403347033333,0.0657239078486008,0.0581634127543996,0.165931658008047,0.0269732514746915,0.0584877904317085,0.0177409637358979,0.144497779176631,0.0148714688981648,0.00471595238549186,0,0,0.0544704976588822,15.8963027414289,1.2743551335018,8.38863130437102,1.04584353590214,4.88605104904688,6.97968438691502,9.46446729935974,19.8276603818975,8.35018007354539,18.6157853794712,5.40256011983884,1.6004545077134,2.94255467151473,2.86887103450754,4.25650883377724,0.0775262648768423,14.5665039772363,0.101205835320397,0.0652248652681254,1.15775383457374,0.376303057807422,112.449015137216,12.4331967542204,0.0462362950810392,0,0,0,0.00314396825699457,0.000848372386808059,0.0711385198467581,0.00853362812612812,0.000523994709499095,0.00139731922533092,0.00152207987044975,0.000898276644855592,0.00187140967678248,0.0953670371288353,1.72436678044543,170.749489936343,908.089262080001
"HEAT-c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gasoline-c",0.382627834200936,0.00530600364393545,0.00990814966163457,0.938675358927642,0.843925293857366,2.45971168922436,0.375129043336804,0.833854715512754,0.23982595041645,1.64586277316502,0.15536303526809,0.00238228735033837,0.000297785918792296,0.00165135827693909,0.0388745981259761,1.0040799752733,0.636124865434669,3.80546039914107,0.824487994794378,1.62201282821447,0.230269729567934,0.347976381832379,4.10381481832379,1.17246437662676,1.44510092100469,2.30954637181156,0.818342776288392,0.9694555943519,2.36701905413846,2.8962387747267,0.0140230096304008,0.886265037220198,0.39307741280583,0.314164144325872,1.83257454424779,0,36.3942850654607,2.16850413209266,0.273448687792816,0.00638886153045289,0.0187063699895888,0.0179754409161895,0.163673969547111,0.049892677121291,0.0126423658250911,0.0472126038521603,0.000351928813118168,0.000595571837584591,0.00249057313899011,0.000351928813118168,0.00628057574180115,0.264704610359188,0.496679841098386,156.972947159422,232.82302725
"Jetoil-c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56799973447105,0,0.00683879487617749,0,0,0,75.17837206759,0,1.15119176107881,0,0,2.53861227158333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0477747887340513,0,0,81.4907894183334
"Diesel-c",3.33083791593567,0.0341078651603495,2.38380665554135,0.92763370181566,0.805470354171332,2.29589857091891,0.376542577090013,0.812339094519094,0.263458937716546,1.80108394972923,0.0321327338157139,0.0164496013478609,0.000294795723079944,0.00168033562155568,4.00960506832724,3.3947201491271,7.5623652045975,10.1128493619682,1.3846555113065,1.755980204098,2.69219246145528,2.16418384184679,7.85480256189281,2.66412790861807,2.60917798583597,4.26410221606216,1.7482565561533,4.09659928620814,5.07962510439052,60.6902145814866,4.24181565939732,148.789592148633,0.0673903022960752,19.0521464299276,25.6374996490935,0,95.9092532608414,18.7457947145029,2.24814166377996,0.108278469087264,0.174224272340247,0.169507540770968,1.7718402139997,1.49213803194145,6.68266528735464,0.34924449313281,0.0349332931849734,0.0602562457975406,0.128413016973624,0.33674515447422,0.0648550590775877,21.2970158611813,7.86974870505296,52.9543915734288,543.35108613875
"Kerosene-c",3.23782807783073,0.0340675185496478,0.0315661524630017,0.648016949012216,0.576374561639253,1.6443491255899,0.260549904438368,0.578277774966049,0.175367513683343,1.14709386082174,0.0693585313808073,0.0105492395828119,0.000135943809056855,0.000761285330718387,0.0423329021403046,2.10394795524932,0.703808288249148,2.12991322277918,0.376727483658356,0.755358180643509,1.73072782186463,0.261012113389161,2.21398087429994,0.588310428074445,1.51672507764733,0.561447931404811,0.442089267052892,0.516749606986917,1.50753527615508,1.34655061746996,0.0501904543037908,1.15443482651081,0.0179445827955048,0.840649326445778,0.761747539669181,0,37.443084894815,4.90651114524182,0.0413269179532839,0.000516586474416048,0.00154975942324814,0.00157694818505952,4.27891295634994,0.000924417901586613,0.0469278028864263,0.0574226649456155,0.02697125171688,0.160903092399693,0.0446439468942711,0.0144916100454607,0.000625341521661532,0.355030851732882,0.215253427260624,38.3229947933164,113.956148624952
"Fueloil-c",91.8595802939206,0.00404640984037667,1.74983699957684,1.09600068859621,0.965198137942173,2.73084436666281,0.440188223972604,0.981254386291342,0.298058078329373,1.69464585140519,0.264898690713031,0.00176442289551308,0.00249371769232516,0.014068331886891,0.108241463230076,3.63411126097248,2.56257723652738,6.99097287096332,3.5867423876376,2.16102987396651,2.71374122739564,1.16943596950746,1.75327174281344,0.798036712821263,1.28609961135879,0.490509564952637,0.334781600194652,2.02256972794595,2.62246174960109,0.143788703165013,0.00408169829828693,0.0292423687883035,0.0099631079499972,72.1063058235347,0.142659472511884,0,9.10632771757465,6.82866949021473,0.0372763743725397,0,0,0,0.0165738123985195,0.121698128513189,0.287095130738585,0.000423461494923139,0,0.000247019205371831,0,0.00216435875182938,0.00021173074746157,0.287942053728431,0.0751761781681607,0.0795519469490331,223.616860176719
"LPG-c",5.78552434888306,7.60485412495987,4.4226144349465,1.53040616810465,1.38366118401256,3.86570762825856,0.603705243890577,1.33270168484156,0.418186727820546,2.23170722907139,0.0150500747816789,0.0141854385285124,0,0.000108079531645809,0.094758729370463,4.2643049409683,0.996628381188914,9.86695872230665,0.74331697889405,1.19587299777796,5.92724363475363,0.816270662754971,10.062447575171,3.07237684609541,3.15838113340256,2.07958528827992,1.42483948556961,1.56726128839587,3.61358510081179,3.01876939839908,0.013861199933575,43.913983642189,0.0383682337342621,2.21560337885617,1.40511497104425,0,86.1938047658933,5.13712821865694,0.0344773705950131,0.00251284911076506,0.00048635789240614,0.00048635789240614,0.0181573613164959,0.00699814967406612,0.0150500747816789,0.00475549939241559,0.015536432674085,0.00756556721520662,0.0170225262342149,0.0201027928861204,0.00443126079747816,0.550530114320839,0.773930506232725,40.8850007280493,262.385921891144
"Oilpro-c",0.0185525467182134,0.000431863554436321,0.00137124680259632,0.350749416599119,0.0798954330026097,0.416301989797842,0.0384009348182963,0.0542047523263326,0.0290085586903279,7.92525705186191,0.285774932570422,0.000178523214187046,0,0,0.0143237661424839,0.616050205465837,8.67077270516267,320.867169319013,0.0275966249530304,0.124243159455595,0.192003790907379,0.175512760248999,1.73979680246271,1.07966702955042,0.128543420016477,1.18677026251558,0.0716753893176501,0.021615095640643,0.375918390758055,2.26171428489393,0.0097975093570459,1.26084185546604,0.0155672242771103,0.0328826978038281,0.0208589817028441,0,1.19195398657473,0.0211939962239835,0.00127519540847144,0,2.14227857024454e-05,2.14227857024454e-05,3.57046428374091e-05,0.000470137024436029,4.52258809273848e-05,2.38030952249394e-05,0.000340059013923977,0.00796025428578124,0.000829889010125269,8.09305237647938e-05,0.000790639796747595,0.34444930196405,0.0180392575068878,0.0543580256660497,349.735337777257
