"","ELEC","GASHeat","Oil","Coal","EINT","NEINT","AGRI","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"ELEC",556757,64474,815588,72901,6363772,25523058,176217,33572767,7975420,0,0,0,0,0,83761,8059181,41631948,41534487,0,97461,0,41631948,0,0,0,0,0,0,41631948
"GASHeat",8575153,20534598,470029,785,3059957,8821100,9277,41470899,7870849,0,0,0,455704,0,18034,8344587,49815486,30161792,0,19653694,0,49815486,0,0,0,0,0,0,49815486
"Oil",2300089,681308,83242310,67988,53362259,22006119,1533329,163193402,10533374,0,0,0,2220658,0,40993880,53747912,216941314,99383134,3248832,113890612,418736,216941314,0,0,0,0,0,0,216941314
"Coal",8892316,469276,0,5046834,8212272,203847,103351,22927896,81243,0,0,0,-909442,0,23690,-804509,22123387,795070,6117273,15211044,0,22123387,0,0,0,0,0,0,22123387
"EINT",1869392,82155,3166025,384074,239832379,239266522,3738103,488338650,27145825,0,119242,22004,1431777,626,138604615,167324089,655662739,438081488,79360839,131550378,6670034,655662739,0,0,0,0,0,0,655662739
"NEINT",6421858,1498198,7230696,780231,89941625,1043229020,16259452,1165361080,519132435,183108515,295767123,61871649,12168189,863232,451474448,1524385591,2689746671,2379420038,7608481,300363078,2355074,2689746671,0,0,0,0,0,0,2689746671
"AGRI",1268,281,1534,2866,1852118,37520381,8544298,47922746,18596381,0,404400,17271,1884070,0,778035,21680157,69602903,58691454,0,10911449,0,69602903,0,0,0,0,0,0,69602903
"idinput1",28616833,23330290,94926182,6355679,402624382,1376570047,30364027,1962787440,591335527,183108515,296290765,61910924,17250956,863858,631976463,1782737008,3745524448,3048067463,96335425,591677716,9443844,3745524448,0,0,0,0,0,0,3745524448
"PTAXin",263253,2110820,1487932,-26574,6696288,31019703,455316,42006738,46452566,0,25935922,4639034,1082046,67562,0,78177130,120183868,99506481,0,20677387,0,120183868,0,0,0,0,0,0,120183868
"Resin",-47827,-5840,-49212,-1204,-1448289,-3960703,-2304,-5515379,-1075434,0,-2351576,-501455,0,0,0,-3928465,-9443844,0,0,0,-9443844,-9443844,0,0,0,0,0,0,-9443844
"idinput2",28832259,25435270,96364902,6327901,407872381,1403629047,30817039,1999278799,636712659,183108515,319875111,66048503,18333002,931420,631976463,1856985673,3856264472,3147573944,96335425,612355103,0,3856264472,0,0,0,0,0,0,3856264472
"Payroll",3438079,925373,1112996,141264,43304254,483817370,3610922,536350258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Surplus",1249839,1612848,3038989,302054,38253956,300749397,17779478,362986561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deprec",7904122,2166822,1973667,139479,27157629,187285551,5505912,232133182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTAXetc",110188,21479,141412,1645,854107,11547154,978103,13654088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",12702228,4726522,6267064,584442,109569946,983399472,27874415,1145124089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tinput",41534487,30161792,102631966,6912343,517442327,2387028519,58691454,3144402888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
