"","ELEC","GAS","HEAT","Gasoline","Jetoil","Diesel","Kerosene","Fueloil","LPG","Oilpro","CoalPro","Coal","Oil","LNG","Mining","IS","Cement","Chemistry","WoodPaper","FiberLeather","Mineral","nonISmetal","Machine","Electronics","Semidis","Auto","Ship","Food","MissManu","Const","Rail","Road","Air","Marine","MissTrans","Housing","Commercial","Public","Rice","Barley","Bean","Potato","Vegi","Fruit","Flower","MissCrop","Dairy","Meat","Pork","Poultry","MissLstock","FF","Waste","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"ELEC",556757,22833,41641,101101,89550,255416,41504,90018,28713,209286,57237,15664,0,0,75417,3155746,381909,2155784,780712,1068642,216437,881057,1270467,426971,1779569,570040,243208,458672,422682,336959,291819,58358,9635,18667,957917,45153,13152586,2756537,30966,395,1147,1092,8573,17033,15547,1508,9445,15457,14619,32186,431,27818,371886,33572767,7975420,0,0,0,0,0,83761,8059181,41631948,41534487,0,97461,0,41631948,0,0,0,0,0,0,41631948
"GAS",8575153,12708,479415,2634,2331,6650,1081,2344,711,5791,596,189,0,0,2183,637072,51072,336189,41914,195817,279723,379305,794628,334648,746060,216517,64141,117928,114975,170587,3107,583778,4056,2614,46399,15081,4506590,498282,1853,0,0,0,126,34,2851,342,21,56,61,36,75,3822,69107,19310653,6843083,0,0,0,0,0,15649,6858732,26169385,26120278,0,49107,0,26169385,0,0,0,0,0,0,26169385
"HEAT",0,0,700018,106223,21105,141004,23530,39144,16192,101289,0,0,0,0,0,0,0,1159717,107188,131931,0,0,3389,0,29886,0,0,10451,28745,6761,0,259,137,50,6545,0,117862,66363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2817789,1027766,0,0,0,0,0,2385,1030151,3847940,3839507,0,8433,0,3847940,0,0,0,0,0,0,3847940
"Gasoline",14134,196,366,34674,31174,90860,13857,30802,8859,60797,5739,88,11,61,1436,37090,23498,140571,30456,59916,8506,12854,151592,43310,53381,85313,30229,35811,87436,106985,518,32738,14520,11605,67694,0,1344379,80103,10101,236,691,664,6046,1843,467,1744,13,22,92,13,232,9778,18347,2801848,5798469,0,0,0,361744,0,3999735,10159948,12961796,12762420,0,199376,0,12961796,0,0,0,0,0,0,12961796
"Jetoil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159214,0,424,0,0,0,4661001,0,71373,0,0,157392,0,0,0,0,0,0,0,0,0,0,0,0,0,2962,0,5052366,0,0,0,0,246086,0,8386487,8632573,13684939,11321167,0,2363772,0,13684939,0,0,0,0,0,0,13684939
"Diesel",112988,1157,80863,31467,27323,77881,12773,27556,8937,61096,1090,558,10,57,136013,115155,256529,343046,46970,59566,91324,73413,266449,90372,88508,144646,59304,138964,172310,2058721,143890,5047210,2286,646283,869670,0,3253414,635891,76261,3673,5910,5750,60104,50616,226688,11847,1185,2044,4356,11423,2200,722433,266956,16635136,1796308,0,0,0,561832,0,13925573,16283713,32918849,32262810,0,656039,0,32918849,0,0,0,0,0,0,32918849
"Kerosene",119087,1253,1161,23834,21199,60479,9583,21269,6450,42190,2551,388,5,28,1557,77383,25886,78338,13856,27782,63656,9600,81430,21638,55785,20650,16260,19006,55447,49526,1846,42460,660,30919,28017,0,1377153,180461,1520,19,57,58,157378,34,1726,2112,992,5918,1642,533,23,13058,7917,2781780,1409516,0,0,0,238656,0,863146,2511318,5293098,5243631,0,49467,0,5293098,0,0,0,0,0,0,5293098
"Fueloil",1832437,344,148760,93175,82055,232159,37422,83420,25339,144068,22520,150,212,1196,9202,308949,217854,594328,304922,183717,230705,99418,149052,67844,109336,41700,28461,171946,222945,12224,347,2486,847,6130019,12128,0,774162,580530,3169,0,0,0,1409,10346,24407,36,0,21,0,184,18,24479,6391,13026839,6763,0,0,0,175961,0,5445869,5628593,18655432,11378348,0,7277084,0,18655432,0,0,0,0,0,0,18655432
"LPG",214121,281454,163680,56640,51209,143069,22343,49323,15477,82595,557,525,0,4,3507,157821,36885,365174,27510,44259,219366,30210,372409,113708,116891,76965,52733,58004,133738,111724,513,1625247,1420,81999,52003,0,3190014,190124,1276,93,18,18,672,259,557,176,575,280,630,744,164,20375,28643,8197701,1513145,0,0,0,185251,0,243167,1941563,10139264,3477911,0,6661353,0,10139264,0,0,0,0,0,0,10139264
"Oilpro",7322,173,555,273966,33367,165244,16040,22574,12111,1970961,33747,75,0,0,2822,124039,725465,29911409,11404,43461,32763,65839,487911,143027,52561,265126,29315,8870,60268,285600,3939,519743,6540,12946,8194,0,380752,7285,502,0,9,9,15,168,19,10,126,2969,336,34,290,34472,6904,35771277,9173,0,0,0,251295,0,8129903,8390371,44161648,22901326,3248832,17592754,418736,44161648,0,0,0,0,0,0,44161648
