"","ELEC-a","GASHeat-a","Oil-a","Coal-a","EINT-a","NEINT-a","AGRI-a","CO2-a","ELEC-c","GASHeat-c","Oil-c","Coal-c","EINT-c","NEINT-c","AGRI-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"ELEC-a",0,0,0,0,0,0,0,0,41534.487,0,0,0,0,0,0,0,0,0,0,2427.97178831262,0,0,0,0,0,0,0
"GASHeat-a",0,0,0,0,0,0,0,0,0,30161.792,0,0,0,0,0,0,0,0,0,116.026142483038,0,0,0,0,0,0,0
"Oil-a",0,0,0,0,0,0,0,0,0,0,103050.702,0,0,0,0,0,0,0,0,48.6562664434213,0,0,0,0,0,0,0
"Coal-a",0,0,0,0,0,0,0,0,0,0,0,6912.343,0,0,0,0,0,0,0,1.20264649037939,0,0,0,0,0,0,0
"EINT-a",0,0,0,0,0,0,0,0,0,0,0,0,524112.361,0,0,0,0,0,0,2002.62475174686,0,0,0,0,0,0,0
"NEINT-a",0,0,0,0,0,0,0,0,0,0,0,0,0,2389383.593,0,0,0,0,0,1207.67279912935,0,0,0,0,0,0,0
"AGRI-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,58691.454,0,0,0,0,266.480411870913,0,0,0,0,0,0,0
"CO2-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6070.63480647658,0,0,0,0,0,0,0,0,0,0,0
"ELEC-c",556.757,64.474,815.588,72.901,6363.772,25523.058,176.217,0,0,0,0,0,0,0,0,0,0,0,7975.42,0,0,0,0,0,0,0,83.761
"GASHeat-c",8575.153,20534.598,470.029,0.785,3059.957,8821.1,9.277,0,0,0,0,0,0,0,0,0,0,0,7870.849,0,0,0,0,0,0,455.704,18.034
"Oil-c",2300.089,681.308,83242.31,67.988,53362.259,22006.119,1533.329,0,0,0,0,0,0,0,0,0,0,0,10533.374,0,0,0,0,0,0,2220.658,40993.88
"Coal-c",8892.316,469.276,0,5046.834,8212.272,203.847,103.351,0,0,0,0,0,0,0,0,0,0,0,81.243,0,0,0,0,0,0,-909.442,23.69
"EINT-c",1869.392,82.155,3166.025,384.074,239832.379,239266.522,3738.103,0,0,0,0,0,0,0,0,0,0,0,27145.825,0,0,0,0,0,0,1573.649,138604.615
"NEINT-c",6421.858,1498.198,7230.696,780.231,89941.625,1043229.02,16259.452,0,0,0,0,0,0,0,0,0,0,0,519132.435,183108.515,0,0,0,0,0,370670.193,451474.448
"AGRI-c",1.268,0.281,1.534,2.866,1852.118,37520.381,8544.298,0,0,0,0,0,0,0,0,0,0,0,18596.381,0,0,0,0,0,0,2305.741,778.035
"CO2-c",2427.97178831262,116.026142483038,48.6562664434213,1.20264649037939,2002.62475174686,1207.67279912935,266.480411870913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labor",3438.079,925.373,1112.996,141.264,43304.254,483817.37,3610.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capital",9153.961,3779.67,5012.656,441.533,65411.585,488034.948,23285.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.258,595119.743,0,43360.5,1075.434,0,0,0,0,0,0
"GoV",0,0,0,0,0,0,0,6070.63480647658,0,0,0,0,0,0,0,0,0,0,0,0,0,140861.255,13654.088,0,165026.8,0,0
"NRES",-47.827,-5.84,369.524,-1.204,5221.745,-1605.629,-2.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptaxin",263.253,2110.82,1487.932,-26.574,6696.288,31019.703,455.316,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
"Ptaxetc",110.188,21.479,141.412,1.645,854.107,11547.154,978.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165026.8,0,0,0,0,0,0,0,0
"S-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373091.042,93073.128,2853.031,0,0,0,0,0,-60976.134
"ROW",0,0,0,0,0,0,0,0,97.461,19653.694,113890.612,15211.044,131550.378,300363.078,10911.449,0,0,0,0,0,0,0,0,0,0,0,0
