"","Group.1","rice","barley","bean","potato","vegi","fruit","flower","misscrop"
"1","energy",124959.285881787,5104.71975462935,7832.000007832,7591,278893.004183395,81950.998606833,309948.999380102,17774.999982225
"2","facil",18505.7839088878,812.216086681739,495,922,20640,9069,5903,11666
"3","fert",432322,12805,16077,23577,901036,302044,73647,76663
"4","kcost",891342.0505455,27000.949612671,22842,45353,1249833,497120,228075,247490
"5","lcost",255831.758134548,10676.2415663704,13953,35963,498058,216959,55854,182279
"6","lmach",43452,749,2009,2571,22052,11926,5834.999994165,8190
"7","oinput",130646.230387622,5331.77512222931,4599.000004599,13977.000027954,585524.97306585,211885.012077445,112347.999775304,74907
"8","oserv",1263567.16811776,30083.8853297224,22796.000045592,34859.001498937,733962.035964138,277853.001389265,157168.996227944,138926.00764093
"9","pest",148429,3008,1659,3311,265823,143441,14811,46906
"10","seed",6224055.17764143,166042.919807119,3859,32356,178768.000178768,3468,88162,187354.999812645
"11","smach",1005.8442141873,250.155785520074,364,468,5020.999994979,1055,292.000000292,14966
"12","Surplus",4046959.4458869,105023.552669759,446272,313425,4423099,1753710,468264,1435675
"13","TW",319201.687172977,8893.31293233815,20089,20257,134381.000134381,69937,15026,64822
"14","water",112,0,0,0,188,254,371,1340
