"","Group.1","dairy","meat","pork","poultry","misslstock"
"1","cub",16147,24782,10558,363660,16933
"2","energy",12357.000012357,26766.999973233,35003.999982498,45842,5034.999994965
"3","facil",6923,7165,6571,10432,2439
"4","feed",706355,2465788.00246579,2908535.99709146,2610989.0007833,145142.000145142
"5","kcost",167675,449191,331149,451320,61057
"6","lcost",16075,21880,102256,95992,76367
"7","lmach",8778,16556,25276,5555,2812
"8","med",12460.999987539,19339,21404,13123,2046
"9","oinput",56721.999943278,175149.99982485,99384.999503075,48804.999951195,52135.0002554615
"10","oserv",173504.999621759,473324.000231929,563698,549543.001148545,64097.9999166726
"11","smach",578,2065,1051,359.000000359,2597.000002597
"12","Surplus",600811,953973,710669,421078,289768
"13","TW",22188,58781,38263,37967,11686.999988313
"14","water",5942,6447,9907,6181,1278
