io,TC,rice,barley,bean,potato,vegi,fruit,flower,misscrop,nrice
1,seed,1,0.087896756,0.883389479,0.144764495,0.265618008,1,0.01975908,0.379087828,0.991902661
2,seed,0,0.912103244,0,0,0,0,0,0,0.008093493
3,seed,0,0,0.116610521,0,0.111983129,0,0,0,0
4,seed,0,0,0,0.855235505,0,0,0,0,0
5,seed,0,0,0,0,0.008631299,0,0,0,0
6,seed,0,0,0,0,0,0,0,0,0
7,seed,0,0,0,0,0,0,0,0.523386085,0
8,seed,0,0,0,0,0,0,0,0.01330629,0
9,seed,0,0,0,0,0,0,0,0,0
10,seed,0,0,0,0,0,0,0.95813389,0,3.84519E-06
11,seed,0,0,0,0,0,0,0,0,0
12,seed,0,0,0,0,0.613767565,0,0.02210703,0.083936911,0
13,seed,0,0,0,0,0,0,0,0.000282885,0
14,oinput,0.021008403,0.040422886,0,0,0.00602707,0.003412228,0,0.000200248,0
15,oinput,0.09149429,0.105306799,0,0,0.063805986,0.028175661,0,0.083904041,0
16,oinput,0.03749192,0.188018242,0,0,0.010057641,0.021851476,0,0.100751599,0
17,oinput,0.01475975,0.077114428,0,0,0.093148883,0.04537367,0,0.036752239,0
18,oinput,0.028935933,0.099295191,0,0,0.01175697,0.005158459,0,0.14317754,0
19,oinput,0,0,0,0,0,0,0,0,0
20,oinput,0,0,0,0,0.017643995,0,0.000809983,0.000787643,0
21,oinput,0,0,0,0,0,0,0,0,0
22,oinput,0.039395245,0.055555556,0.085670798,0.02539887,0.013449468,0.044174906,0.004913305,0.052158009,0
23,oinput,0,0,0,0,0,0,0,0,0
24,oinput,0,0,0,0,0,0,0,0,0
25,oserv,0.688776386,0.423018293,0.320275487,0.287816633,0.427389974,0.173645777,0.058497541,0.064761096,0
26,energy,0,0,0,0,0,0,0,0,0
27,energy,0,0,0,0,0,0,0,0,0
28,energy,0,0,0,0,0,0,0,0,0
29,energy,0,0,0,0,0,0,0,0,0
30,oinput,0,0,0,0,0,0,0,0,0
31,oinput,0,0,0,0,0,0,0,0,0
32,oinput,0,0,0,0,0,0,0,0,0
33,oinput,0,0,0,0,0,0,0,0,0
34,oinput,0,0,0,0,0,0,0.000792181,0.003484321,0
35,oinput,0,0,0,0,0,0,0,0,0
36,oinput,0,0,0,0,0,0,0,0,0
37,oinput,0,0,0,0,0,0,0,0,0
38,oinput,0,0,0,0,0,0,0,0,0
39,oinput,0,0,0,0,0,0,0,0,0
40,oinput,0,0,0,0,0,0,0,0,0
41,oinput,0,0,0,0,0,0,0,0,0
42,oinput,0.002459958,0,0,0.155970523,0.002522523,0.002647663,0,0.009838867,0.012544259
43,oinput,0,0,0,0,0,0,0,0,0
44,oinput,0,0,0,0,0,0,0,0,0
45,oinput,0,0,0,0,0,0,0,0,0
46,oinput,0,0,0,0,0,0,0,0,0
47,oinput,0.001768656,0,0.003913894,0,0.000442338,0.001623522,0.001317335,0.000507296,0.001922104
48,oinput,0,0,0,0,0,0,0,0,0
49,oinput,0,0,0,0,0,0,0,0,0
50,oinput,0,0,0,0,0,0,0,0.077522795,0
51,oinput,0,0,0,0,0,0,0,0,0.002529084
52,oinput,0.001014508,0.001243781,0.002174386,0.000500823,0.000252765,0.000943908,0.000720974,0.000360447,0.001213961
53,oinput,0,0,0,0,0,0,0,0,0
54,oinput,0,0,0,0,0,0,0,0,0
55,oinput,0,0,0,0,0,0,0,0,0
56,oinput,0,0,0,0,0,0,0,0,0
57,oinput,0,0,0,0,0,0,0,0,0
58,oinput,0,0,0,0,0,0,0,0,0
59,oinput,0,0,0,0,0,0,0,0,0
60,oinput,0.002370179,0.003109453,0.005653403,0.001001646,0.000596046,0.002208745,0.00175348,0.000814343,0.002630248
61,oinput,0,0,0,0,0,0,0,0,0
62,oinput,0,0,0,0,0,0,0,0,0
63,oinput,0,0,0,0,0,0,0,0,0
64,oinput,0,0,0,0,0,0,0,0,0.006474456
65,oinput,0,0,0,0,0,0,0,0,0
66,oinput,0,0,0,0,0,0,0,0,0
67,oinput,0,0,0,0,0,0,0,0,0
68,oinput,0,0,0,0,0,0,0,0,0
69,oinput,0,0,0,0,0,0,0,0,0
70,oinput,0.249129139,0.141376451,0.202652751,0,0.056359677,0.018038087,0.005144729,0.186337725,0.078553364
71,oinput,0.006904044,0.025290216,0,0,0.005871654,0.00412016,0.001468651,0.010372862,0
72,oinput,0.00079006,0,0,0,0.081948679,0,0,0,0
73,oinput,0.003663004,0,0,0,0.001820588,0,0.000240325,0.035070154,0.010672736
74,oinput,0,0,0,0,0,0,0,0,0
75,oinput,0,0,0,0,0,0,0,0,0
76,oinput,0,0,0,0,0,0,0,0,0
77,oinput,0.015118868,0.076699834,0,0,0,0,0.00087229,0.007515986,0
78,oinput,0,0,0,0,0,0,0,0,0
79,oinput,0,0,0,0,0,0,0,0,0
80,oinput,0.002217554,0.002694859,0.005001087,0.001073192,0.000561889,0.002090757,0.00165557,0.000814343,0.002579666
81,oinput,0.005189255,0,0,0,0.000896631,0,0,0,0
82,oinput,0,0,0,0,0,0,0,0,0
83,oinput,0.002908856,0,0,0,0.000580675,0.007381363,0,0.014791675,0
84,oinput,0,0,0,0,0.000604586,0,0,0,0
85,oinput,0,0,0,0,0,0,0,0,0
86,oinput,0,0,0,0,0,0,0,0,0
87,oinput,0,0,0,0,0.008705008,0.011459046,0,0.036818989,0
88,smach,0,0,0,0,0.25791675,0,0.106164384,0.775157023,0
89,oinput,0,0,0,0,0,0,0,0,0
90,oinput,0,0,0,0,0,0,0.000178018,0,0.000961052
91,oinput,0,0,0,0,0,0.015772707,0.009960124,0,0.002326758
92,oinput,0,0,0,0.370179581,0.214714999,0.385614838,0.000382739,0.011440853,0.010672736
93,oinput,0,0,0,0,0.000548226,0.049196498,0,0,0.686494689
94,oinput,0.000269339,0,0.000652316,0.000143092,0.000145169,0.000250136,0.001317335,0.000133499,0.002781993
95,oinput,0.002172664,0.003109453,0.005001087,0.001073192,0.000537979,0.002019964,0.001602165,0.000734244,0.002478503
96,oinput,0,0,0,0,0.000122967,0.008254478,0.000284829,0,0.024633283
97,oinput,0.00293579,0,0,0,0.000754878,0.010864384,0.000382739,0.000173549,0.002832575
98,oinput,0,0,0,0,0,0,0,0,0
99,energy,0,0,0,0,0,0,0,0,0
100,energy,0,0,0,0,0.159810393,0.019743505,0.121590971,0,0
101,energy,0,0,0,0,0,0,0,0,0
102,energy,0.087035707,0.053442029,0.088227783,0.087472006,0.021678565,0.022489048,0.001506699,0.098115331,0.055901548
103,energy,0,0,0,0,0,0,0,0,0
104,energy,0.007649267,0.004302536,0.007277835,0.007640627,0.564295267,0.000414882,0.005568658,0.118818565,0.028491516
105,energy,0.757945221,0.831748188,0.754596527,0.757475958,0.215509174,0.617637369,0.731371935,0.66649789,0.050382249
106,energy,0.000303542,0,0,0,0.005052117,0.126246171,0.078745213,0.002025316,0.117061346
107,energy,0.002357512,0.021059783,0.002298264,0.002371229,0.002409526,0.003160425,0.00179707,0.009901547,0.03889614
108,energy,0,0,0,0,0,0,0,0,0.001156069
109,energy,0.001042162,0,0.001149132,0.001185615,5.37841E-05,0.001964589,6.13004E-05,0.000562588,0.013425322
110,energy,3.03542E-05,0,0,0,0,8.54169E-05,0,0,0.000186463
111,oinput,0,0,0,0,0,0,0,0,0
112,oinput,0,0,0,0,0,0,0,0,0
113,oinput,0,0,0,0,0,0,0,0,0
114,oinput,0,0,0,0,0,0,0,0,0
115,oinput,0,0,0,0,0,0,0,0,0
116,oinput,0,0,0,0,0,0,0,0,0
117,oinput,0,0,0,0,0,0,0,0,0
118,oinput,0,0,0,0,0,0,0,0,0
119,oinput,0,0,0,0,0,0,0,0,0
120,oinput,0,0,0,0,0,0,0,0,0
121,oinput,0,0,0,0,0,0,0,0,0
122,oinput,0,0,0,0,0,0,0,0,0
123,fert,1,1,1,1,1,1,1,1,0
124,pest,1,1,1,1,1,1,1,1,0
125,oinput,0,0,0,0,0,0,0.000445046,0,0
126,oinput,0,0,0,0,0,0,0,0,0
127,oinput,0,0,0,0,0,0,0,0,0
128,oinput,0,0,0,0,0,0,0,0,0
129,oinput,0,0,0,0,0.000138337,0,0,0,0
130,oinput,0,0,0,0,0,0,0,0,0
