TC,rice,barley,bean,potato,vegi,fruit,flower,misscrop,nrice
seed,142807,5734,3859,32356,178768,3468,88162,187355,6241557
fert,432322,12805,16077,23577,901036,302044,73647,76663,0
pest,148429,3008,1659,3311,265823,143441,14811,46906,0
energy,98833,4416,7832,7591,278893,81951,309949,17775,26815
water,112,0,0,0,188,254,371,1340,0
smach,962,249,364,468,5021,1055,292,14966,45
lmach,43452,749,2009,2571,22052,11926,5835,8190,0
facil,14780,714,495,922,20640,9069,5903,11666,3824
oinput,111384,4824,4599,13977,585525,211885,112348,74907,19770
oserv,769360,17056,22796,34859,733962,277853,157169,138926,507235
kcost,803791,24693,22842,45353,1249833,497120,228075,247490,89859
lcost,95018,6437,13953,35963,498058,216959,55854,182279,165053
Surplus,4036203,104740,446272,313425,4423099,1753710,468264,1435675,11040
TW,273289,7683,20089,20257,134381,69937,15026,64822,47123
