"","Group.1","dairy-a","meat-a","pork-a","poultry-a","misslstock-a"
"1","Air-c",30.00005553,126.99992906,639.000161028,14.9999960022,84.999973212
"2","Auto-c",1740.999996876,1591.00007145,4474.00003479,86.99998822,16.00002296
"3","Barley-c",1996.99979245,9624.998797596,593.998673136,281.999866945,133.000000848
"4","Bean-c",2818.999939405,7925.000713604,4145.001190176,850.99964477,748.000037508
"5","Capital",768486,1403164,1041818,872398,350825
"6","Cement-c",0,37.0000872,869.99999086,109.00001329,118.000012925
"7","Chemistry-c",26974.000076576,63252.99989526,51011.99986025,26997.000008285,6669.00002931
"8","Coal-c",0,0,0,0,0
"9","CoalPro-c",0,0,13267.99999458,688.99998817,1601.99999765
"10","Commercial-c",167741.999815475,456386.000590304,542020.999484066,516828.000352546,55742.999863113
"11","Const-c",6382.999997759,6100.00000303,4041.00000219,7860.999998528,1071.999999405
"12","Dairy-c",5463.999993704,34.000011848,0,0,0
"13","Diesel-c",1184.999995134,2043.999989395,4356.000006684,11423.000006266,2199.99999935
"14","ELEC-c",9445.000006629,15456.999980396,14618.999991936,32186.000050238,430.99999779
"15","Electronics-c",3390.9999816,36161.99987965,5139.999890025,1218.999995945,0
"16","FF-c",5220.00002077,15741.9999872,291.999987565,0,4006.00001376
"17","FiberLeather-c",438.999975722,1940.99986435,3982.999871565,2663.99993885,1857.00000591
"18","Flower-c",0,0,0,0,0
"19","Food-c",599961.000140462,2170054.00117983,2776372.99897579,2598866.00105119,135630.000101623
"20","Fruit-c",0,0,0,0,0
"21","Fueloil-c",0,20.999996316,0,183.999977812,17.999999125
"22","GAS-c",21.000004794,55.999990176,61.000000632,35.999997652,75.00000055
"23","Gasoline-c",12.999996495,22.000011436,91.999998084,13.000011886,232.00000103
"24","HEAT-c",0,0,0,0,0
"25","Housing-c",0,0,0,0,0
"26","IS-c",6014.99997422,28692.99996245,3019.999969415,745.999993795,1435.00002596
"27","Jetoil-c",0,0,0,0,0
"28","Kerosene-c",992.000003445,5917.999998079,1642.0000107,532.999983064,23.00000084
"29","Labor",16075,21880,102256,95992,76367
"30","LNG-c",0,0,0,0,0
"31","LPG-c",575.00000181,280.000004414,629.999996772,743.999982036,163.99999986
"32","Machine-c",10663.999959282,34402.000047154,18939.999948222,5344.999990359,2941.000000089
"33","Marine-c",6663.999993075,1507.000190584,2112.999968778,1132.999947159,586.000004598
"34","Meat-c",10683.000006296,24747.999988152,0,0,0
"35","Mineral-c",0,0,0,0,15366.99999854
"36","Mining-c",129.0000085,38.9999499,0,0,0
"37","MissCrop-c",13458.000281765,33291.000779868,6885.999699504,1548.000547331,4640.000039406
"38","MissLstock-c",0,0,0,0,16933
"39","MissManu-c",171.999992426,635.0000196,318.000097415,55.00001387,0
"40","MissTrans-c",6753.999812655,18022.999816564,28715.999908358,28184.000233293,5866.999996266
"41","nonISmetal-c",0,0,0,0,0
"42","Nres",0,0,0,-63.999984758,-16.000005541
"43","Oil-c",0,0,0,0,0
"44","Oilpro-c",126.00000405,2969.000003021,335.99998311,34.000002876,289.99999877
"45","Pork-c",0,0,10558,0,0
"46","Potato-c",0,1542.000252104,28888.998917568,0,88.000030026
"47","Poultry-c",0,0,0,363660,0
"48","Ptaxetc",11718.00000228,30490.000015744,24859.000005944,23821.00000176,3783.999995659
"49","Ptaxin",10469.99999772,28290.999984256,13403.999994056,14209.999982998,7918.999998195
"50","Public-c",7087.9999937836,6755.00001033116,10010.000008328,6576.00002126537,1555.0000023846
"51","Rail-c",137.000068515,972.000180088,280.00007056,47.9999981979,133.000016904
"52","Rice-c",96850.99983377,249989.000784384,114150.00099318,9639.999709308,12668.000001106
"53","Road-c",4135.999871145,13836.9999857,12640.00036679,17158.000255701,4189.000055292
"54","Semidis-c",0,132.000098545,284.999904475,123.999986015,0
"55","Ship-c",1080.999999618,2411.999998384,8719.000003308,1547.000001195,47.000001396
"56","Vegi-c",0,0,685.998575352,203.9999648557,0
"57","Waste-c",0,3368.99953438,2380.000036062,1622.000344392,631.000005498
"58","WoodPaper-c",1417.999971196,1292.999913995,4212.000005785,15278.000022085,16323.0000818335
