TC,io,rice,barley,bean,potato,vegi,fruit,flower,misscrop,dairy,meat,pork,poultry,misslstock
cub,14,0,0,0,0,0,0,0,0,0.338391032,0.001371964,0,0,0
cub,15,0,0,0,0,0,0,0,0,0.661608968,0.998628036,0,0,0
cub,16,0,0,0,0,0,0,0,0,0,0,1,0,0
cub,17,0,0,0,0,0,0,0,0,0,0,0,1,0
cub,18,0,0,0,0,0,0,0,0,0,0,0,0,1
energy,26,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,27,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,28,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,29,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,99,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,100,0,0,0,0,0.159810393,0.019743505,0.121590971,0,0,0,0.379042395,0.015029885,0.31817279
energy,101,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,102,0.080526228,0.053773863,0.088227783,0.087472006,0.021678565,0.022489048,0.001506699,0.098115331,0.001052035,0.000821908,0.002628271,0.000283583,0.046077458
energy,103,0,0,0,0,0,0,0,0,0,0,0,0,0
energy,104,0.01200693,0.00756607,0.007277835,0.007640627,0.564295267,0.000414882,0.005568658,0.118818565,0.080278385,0.221093137,0.046908925,0.011626892,0.004568024
energy,105,0.610009122,0.726327678,0.754596527,0.757475958,0.215509174,0.617637369,0.731371935,0.66649789,0.095897062,0.076362685,0.124442921,0.249181973,0.43694141
energy,106,0.024715071,0.01579371,0,0,0.005052117,0.126246171,0.078745213,0.002025316,0,0.000784548,0,0.004013786,0.003574975
energy,107,0.009996948,0.023466233,0.002298264,0.002371229,0.002409526,0.003160425,0.00179707,0.009901547,0.04653233,0.010460642,0.017997943,0.016229658,0.032571996
energy,108,0.000241709,0.000155975,0,0,0,0,0,0,0,0,0,0,0
energy,109,0.003631213,0.001811321,0.001149132,0.001185615,5.38E-05,0.001964589,6.13E-05,0.000562588,0.009872947,0.107595173,0.009513198,0.000741678,0.055610725
energy,110,6.30E-05,2.52E-05,0,0,0,8.54E-05,0,0,0.000323703,0.00332499,8.57E-05,0,0.001986097
energy,274,0.00710984,0.004811143,0.004341164,0.004215518,0.000903572,0.0060646,0.001467983,0.002587904,0.022416444,0.016849105,0.012198606,0.020505214,0.002581927
energy,275,0.191906162,0.127047935,0.114913177,0.112765117,0.024131118,0.163219485,0.039383899,0.066610408,0.600064741,0.453506183,0.327905382,0.551306662,0.067130089
energy,276,0.041428308,0.027454667,0.024897855,0.024502701,0.005224226,0.03528938,0.008520757,0.014345992,0.129804969,0.098068517,0.07093475,0.119301078,0.01449851
energy,277,3.90E-05,2.52E-05,0,0,0,0,0,0,0,0,0,0,0
energy,278,0.003865781,0.00272977,0.002298264,0.002371229,0.000480471,0.003270247,0.000787226,0.001293952,0.012057943,0.009040983,0.006599246,0.010994285,0.001390268
energy,279,0.014460709,0.00901132,0,0,0.000451786,0.000414882,0.009198287,0.019240506,0.001699442,0.002092128,0.001742658,0.000785306,0.01489573
energy,280,0,0,0,0,0,0,0,0,0,0,0,0,0
facil,289,0.832970947,0.842410865,0.814141414,0.868763557,0.982073643,0.973756754,0.990174488,0.370649751,0.921999133,0.851360782,0.61497489,0.753546779,0.439524395
facil,295,0,0,0,0,0,0,0,0,0,0,0,0,0
facil,342,0.167029053,0.157589135,0.185858586,0.131236443,0.017926357,0.026243246,0.009825512,0.629350249,0.078000867,0.148639218,0.38502511,0.246453221,0.560475605
feed,1,0,0,0,0,0,0,0,0,0.137113774,0.099768918,0.037796335,0.003628127,0.087280043
feed,2,0,0,0,0,0,0,0,0,0.00282719,0.003903417,0.000204226,0.000108005,0.000916344
feed,3,0,0,0,0,0,0,0,0,0.003990911,0.003213983,0.001425116,0.00032593,0.005153574
feed,4,0,0,0,0,0,0,0,0,0,0.000625358,0.009932488,0,0.000606303
feed,5,0,0,0,0,0,0,0,0,0,0,0.000235857,7.81E-05,0
feed,6,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,7,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,8,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,9,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,10,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,11,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,12,0,0,0,0,0,0,0,0,0,0,0,0,0
feed,13,0,0,0,0,0,0,0,0,0.019052743,0.013501161,0.002367514,0.000592879,0.031968693
feed,55,0,0,0,0,0,0,0,0,0.837015382,0.878987164,0.948038463,0.995266928,0.874075044
fert,123,1,1,1,1,1,1,1,1,0,0,0,0,0
kcost,389,1,1,1,1,1,1,1,1,1,1,1,1,1
lcost,387,1,1,1,1,1,1,1,1,1,1,1,1,1
lmach,201,0.76297984,0.786381842,0.766052763,0.875534811,0.690322873,0.730924032,0.881576692,0.882905983,0.865117339,0.805931384,0.605198607,0.695229523,0.983285917
lmach,262,0.176470588,0.213618158,0.233947237,0.124465189,0.293488119,0.252054335,0.112082262,0.059096459,0.123148781,0.145687364,0.344951733,0.278487849,0.016714083
lmach,345,0.060549572,0,0,0,0.016189008,0.017021633,0.006341045,0.057997558,0.01173388,0.048381252,0.04984966,0.026282628,0
