"","io","TC","dairy","meat","pork","poultry","misslstock"
"1",1,"feed",0.137113774,0.099768918,0.037796335,0.003628127,0.087280043
"2",2,"feed",0.00282719,0.003903417,0.000204226,0.000108005,0.000916344
"3",3,"feed",0.003990911,0.003213983,0.001425116,0.00032593,0.005153574
"4",4,"feed",0,0.000625358,0.009932488,0,0.000606303
"5",5,"feed",0,0,0.000235857,7.81313e-05,0
"6",6,"feed",0,0,0,0,0
"7",7,"feed",0,0,0,0,0
"8",8,"feed",0,0,0,0,0
"9",9,"feed",0,0,0,0,0
"10",10,"feed",0,0,0,0,0
"11",11,"feed",0,0,0,0,0
"12",12,"feed",0,0,0,0,0
"13",13,"feed",0.019052743,0.013501161,0.002367514,0.000592879,0.031968693
"14",14,"cub",0.338391032,0.001371964,0,0,0
"15",15,"cub",0.661608968,0.998628036,0,0,0
"16",16,"cub",0,0,1,0,0
"17",17,"cub",0,0,0,1,0
"18",18,"cub",0,0,0,0,1
"19",19,"oinput",0,0,0,0,0
"20",20,"oinput",0,0,0,0,0.004354081
"21",21,"oinput",0,0,0,0,0
"22",22,"oinput",0.092027785,0.089877248,0.002938069,0,0.072484895
"23",23,"oinput",0,0,0,0,0
"24",24,"oinput",0,0,0,0,0
"25",25,"oserv",0.13586352,0.096639934,0.106454165,0.045417738,0
"26",26,"energy",0,0,0,0,0
"27",27,"energy",0,0,0,0,0
"28",28,"energy",0,0,0,0,0
"29",29,"energy",0,0,0,0,0
"30",30,"oinput",0,0,0,0,0
"31",31,"oinput",0,0,0,0,0
"32",32,"oinput",0,0,0,0,0
"33",33,"oinput",0,0,0,0,0
"34",34,"oinput",0.00227425,0.000222666,0,0,0
"35",35,"oinput",0,0,0,0,0
"36",36,"oinput",0,0,0,0,0
"37",37,"oinput",0,0,0,0,0
"38",38,"oinput",0.079246148,0,0.020294813,0,0
"39",39,"oinput",0.053400797,0,0,0,0
"40",40,"oinput",0,0,0,0,0
"41",41,"oinput",0,0,0,0,0
"42",42,"oinput",0,0.02272338,0.042441012,0.003421781,0
"43",43,"oinput",0,0,0,0,0.021808766
"44",44,"oinput",0,0,0,0,0
"45",45,"oinput",0.00220373,0,0,0,0.053265561
"46",46,"oinput",0,0,0,0,0.018854896
"47",47,"oinput",0.000916752,0.001570083,0.003119183,0.001639176,0.000556248
"48",48,"oinput",0,0,0,0,0
"49",49,"oinput",0.016483904,0.002552098,0,0,0
"50",50,"oinput",0,0.008044533,0.161473059,0,0.0725808
"51",51,"oinput",0,0,0,0,0
"52",52,"oinput",0.000511265,0.000896375,0.001780953,0.000963016,0.000326077
"53",53,"oinput",0,0,0,0,0
"54",54,"oinput",0,0,0,0,0
"55",55,"feed",0.837015382,0.878987164,0.948038463,0.995266928,0.874075044
"56",56,"oinput",0,0,0,0,0
"57",57,"oinput",0,0,0,0,0
"58",58,"oinput",0,0,0,0,0
"59",59,"oinput",0,0,0,0,0
"60",60,"oinput",0.00116357,0.002112475,0.004195804,0.002212888,0.000728877
"61",61,"oinput",0,0,0,0,0
"62",62,"oinput",0,0,0,0,0
"63",63,"oinput",0,0,0,0,0
"64",64,"oinput",0,0,0,0,0
"65",65,"oinput",0,0,0,0,0
"66",66,"oinput",0,0,0,0,0
"67",67,"oinput",0,0,0,0,0
"68",68,"oinput",0,0,0,0,0
"69",69,"oinput",0,0,0,0,0
"70",70,"oinput",0.00227425,0.005760776,0.027760728,0.042475156,0.018202743
"71",71,"oinput",0.002767885,0.002101056,0.001650148,0.00135232,0
"72",72,"oinput",0,0,0,0,0
"73",73,"oinput",0.001604316,0.000525264,0,0.001147423,0.013081423
"74",74,"oinput",0,0,0,0,0
"75",75,"oinput",0,0,0,0,0
"76",76,"oinput",0,0,0,0,0
"77",77,"oinput",0,0.000713674,0.006711274,0.007560701,0
"78",78,"oinput",0,0,0,0,0
