io,c
1,Rice-c
2,Barley-c
3,Bean-c
4,Potato-c
5,Vegi-c
6,Fruit-c
7,MissCrop-c
8,MissCrop-c
9,MissCrop-c
10,Flower-c
11,MissCrop-c
12,MissCrop-c
13,MissCrop-c
14,Dairy-c
15,Meat-c
16,Pork-c
17,Poultry-c
18,MissLstock-c
19,ENIT-c
20,ENIT-c
21,ENIT-c
22,ENIT-c
23,ENIT-c
24,ENIT-c
25,NEINT-c
26,COAL-c
27,COAL-c
28,OIL-c
29,GASHeat-c
30,ENIT-c
31,ENIT-c
32,ENIT-c
33,ENIT-c
34,ENIT-c
35,NEINT-c
36,NEINT-c
37,NEINT-c
38,NEINT-c
39,NEINT-c
40,NEINT-c
41,NEINT-c
42,Rice-c
43,NEINT-c
44,NEINT-c
45,NEINT-c
46,NEINT-c
47,NEINT-c
48,NEINT-c
49,NEINT-c
50,NEINT-c
51,NEINT-c
52,NEINT-c
53,NEINT-c
54,NEINT-c
55,NEINT-c
56,NEINT-c
57,NEINT-c
58,NEINT-c
59,NEINT-c
60,NEINT-c
61,NEINT-c
62,NEINT-c
63,NEINT-c
64,NEINT-c
65,NEINT-c
66,NEINT-c
67,NEINT-c
68,NEINT-c
69,NEINT-c
70,NEINT-c
71,NEINT-c
72,NEINT-c
73,NEINT-c
74,NEINT-c
75,NEINT-c
76,NEINT-c
77,NEINT-c
78,NEINT-c
79,NEINT-c
80,NEINT-c
81,NEINT-c
82,NEINT-c
83,NEINT-c
84,NEINT-c
85,NEINT-c
86,NEINT-c
87,NEINT-c
88,NEINT-c
89,NEINT-c
90,NEINT-c
91,NEINT-c
92,NEINT-c
93,NEINT-c
94,NEINT-c
95,NEINT-c
96,NEINT-c
97,NEINT-c
98,NEINT-c
99,COAL-c
100,COAL-c
101,OIL-c
102,OIL-c
103,OIL-c
104,OIL-c
105,OIL-c
106,OIL-c
107,OIL-c
108,OIL-c
109,OIL-c
110,OIL-c
111,ENIT-c
112,ENIT-c
113,ENIT-c
114,NEINT-c
115,NEINT-c
116,NEINT-c
117,NEINT-c
118,NEINT-c
119,ENIT-c
120,ENIT-c
121,ENIT-c
122,NEINT-c
123,NEINT-c
124,NEINT-c
125,NEINT-c
126,NEINT-c
127,NEINT-c
128,NEINT-c
129,NEINT-c
130,NEINT-c
131,NEINT-c
132,ENIT-c
133,ENIT-c
134,ENIT-c
135,ENIT-c
136,ENIT-c
137,ENIT-c
138,ENIT-c
139,ENIT-c
140,ENIT-c
141,ENIT-c
142,ENIT-c
143,ENIT-c
144,ENIT-c
145,ENIT-c
146,ENIT-c
147,ENIT-c
148,ENIT-c
149,ENIT-c
150,ENIT-c
151,ENIT-c
152,ENIT-c
153,ENIT-c
154,ENIT-c
155,ENIT-c
156,ENIT-c
157,ENIT-c
158,ENIT-c
159,ENIT-c
160,ENIT-c
161,ENIT-c
162,ENIT-c
163,ENIT-c
164,ENIT-c
165,ENIT-c
166,ENIT-c
167,ENIT-c
168,ENIT-c
169,NEINT-c
170,NEINT-c
171,NEINT-c
172,NEINT-c
173,NEINT-c
174,NEINT-c
175,NEINT-c
176,NEINT-c
177,NEINT-c
178,NEINT-c
179,NEINT-c
180,NEINT-c
181,NEINT-c
182,NEINT-c
183,NEINT-c
184,NEINT-c
185,NEINT-c
186,NEINT-c
