TC,dairy,meat,pork,poultry,misslstock
feed,706355,2465788,2908536,2610989,145142
cub,16147,24782,10558,363660,16933
med,12461,19339,21404,13123,2046
energy,12357,26767,35004,45842,5035
water,5942,6447,9907,6181,1278
smach,578,2065,1051,359,2597
lmach,8778,16556,25276,5555,2812
facil,6923,7165,6571,10432,2439
oinput,56722,175150,99385,48805,52135
oserv,173505,473324,563698,549543,64098
kcost,167675,449191,331149,451320,61057
lcost,16075,21880,102256,95992,76367
Surplus,600811,953973,710669,421078,289768
TW,22188,58781,38263,37967,11687
