"","Group.1","rice_piece_new","Barley_piece_new"
"1","Barley-c",49218.5393601295,6527.45911620264
"2","Bean-c",0,0
"3","Capital",4938301.4964324,132024.50228243
"4","COAL-c",0,0
"5","Dairy-c",2339.999959752,195.000002064
"6","ELEC-c",30533.6854840682,827.315155322586
"7","ENIT-c",195386.795814582,5342.1981441189
"8","Flower-c",23.4128053902683,0.617189338788652
"9","Fruit-c",0,0
"10","GASHeat-c",1806.9998265144,46.0002642084037
"11","Labor",255831.758134548,10676.2415663704
"12","Meat-c",10190.99999736,507.999998376
"13","MissCrop-c",0,0
"14","MissLstock-c",3222.999961272,479.000001384
"15","NEINT-c",1820563.60057412,45230.4645155441
"16","Nres",-9.74317726740777,-0.256841717941254
"17","OIL-c",92618.6005712039,4231.40433509836
"18","Pork-c",4176.00001728,906.999999408
"19","Potato-c",0,0
"20","Poultry-c",1643.999994,372.000000672
"21","Ptaxetc",242634.88311199,6708.11703630803
"22","Ptaxin",76576.5472382544,2185.45273774807
"23","Rice-c",6175328.855786,159521.213164164
"24","Vegi-c",0,0
