TC,Rice_o_r,Rice_nrice_r,Barley_o_r,Barley_nrice_r
seed,0.022944366,0.977055634,0.03453324,0.96546676
fert,1,0,1,0
pest,1,0,1,0
energy,0.790921649,0.209078351,0.865081769,0.134918231
water,1,0,0,1
smach,0.956410532,0.043589468,0.995379737,0.004620263
lmach,1,0,1,0
facil,0.79866922,0.20133078,0.879076408,0.120923592
oinput,0.852561948,0.147438052,0.904764341,0.095235659
oserv,0.608879411,0.391120589,0.56694803,0.43305197
kcost,0.901776147,0.098223853,0.914523391,0.085476609
lcost,0.37140815,0.62859185,0.602927534,0.397072466
Surplus,0.997342092,0.002657908,0.997300104,0.002699896
TW,0.856164021,0.143835979,0.863907529,0.136092471
