"","Final_Pc","Final_Gc","Final_Pk","Final_Gk","Final_St","Gold","Final_Ex","Final_Tot"
"X26",0,0,0,0,0,0,0,0
"X27",0,0,0,0,0,0,0,0
"X28",0,0,0,0,0,0,0,0
"X29",0,0,0,0,0,0,0,0
"X99",0,0,0,0,0,0,0,0
"X100",865266.860080649,0,0,0,0,0,0,865266.860080649
"X101",0,0,0,0,0,0,0,0
"X102",15697294.7159422,0,0,0,0,0,0,15697294.7159422
"X103",0,0,0,0,0,0,0,0
"X104",3832299.47933164,0,0,0,0,0,0,3832299.47933164
"X105",5295439.15734288,0,0,0,0,0,0,5295439.15734288
"X106",7955.19469490331,0,0,0,0,0,0,7955.19469490331
"X107",4088500.07280493,0,0,0,0,0,0,4088500.07280493
"X108",0,0,0,0,0,0,0,0
"X109",1411.9996087434,0,0,0,0,0,0,1411.9996087434
"X110",4023.80295786157,0,0,0,0,0,0,4023.80295786157
"X274",0,0,0,0,0,0,0,0
"X275",0,0,0,0,0,0,0,0
"X276",0,0,0,0,0,0,0,0
"X277",0,0,0,0,0,0,0,0
"X278",0,0,0,0,0,0,0,0
"X279",17074948.9936343,0,0,0,0,0,0,17074948.9936343
"X280",0,0,0,0,0,0,0,0
