,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
1,498698,530491,4288,763,20811,0,402,9344701,193118,90821,5082,411,421,1211,1432,1600,4944,2519,323,269547,2216,13861,2690,347,681,2074,3287,1670,2128,310,4200,4151,2666,1876,754,5148,553,349,3873,522,889,7349,850,300,26007,1268,281,123,934,1520,646532,111907,63121,2086,1132,145,9375,2862646,5768,1631,804,12854,2325,844,15079,9153,2014,0,4153,754,23370,2482,12917,11753,6450,40663,490072,130830,2218,70052,14224,17123,15638937,8964802,0,17281,9653,100119,0,453151,9545006,25183943
2,179065,408332,0,0,0,0,0,12951781,3936,0,26144,933,0,0,0,0,0,0,0,21727,4091,7827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9290,0,0,0,0,0,0,0,0,0,0,0,0,571404,0,0,0,0,0,0,0,0,0,0,0,0,25438,0,0,0,1467,0,37660,35826,0,0,0,0,14284921,1325152,0,191832,3728,953181,0,6878,2480771,16765692
3,34125,21814,83246,11532,0,2767,417,434413,891,0,0,0,198549,1249,0,0,317,53,0,6370,344,6151,123,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6002,0,0,443,0,0,15652,30590,0,0,0,0,0,263645,0,0,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,381,1511,3244,17890,468,0,0,0,1144144,384264,0,168651,3862,472177,0,35183,1064137,2208281
4,0,0,0,178933,0,0,0,2849332,0,0,0,0,0,0,0,0,0,0,0,60,0,1845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9445,0,0,0,0,0,0,0,0,0,0,0,0,1765836,0,0,0,0,0,0,0,0,0,0,0,0,28985,0,0,0,0,0,297,109903,3468,15127,0,0,4963231,2127401,0,0,0,69340,0,261245,2457986,7421217
5,919467,151786,165596,116829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15308,0,0,0,0,0,0,0,1369919,0,0,0,0,0,0,19971,19971,1389890
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313043,24315,0,0,0,0,121,0,0,0,24151,14688,0,23308,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,6814,240417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,647732,0,0,0,0,-98534,0,742,-97792,549940
7,350,168,0,183,0,0,0,11928,0,0,1737,604,0,4002,0,6124,103724,1863,0,3,23283,23293,6357,44,133774,1419301,188648,0,13908,15024,14088,1909,3252,2674,7364,19225,127,0,0,0,0,2353,45,102,14749,529,796,0,0,0,276339,780133,0,0,0,0,0,3151,0,0,0,0,0,0,0,0,0,0,182,0,2221,0,0,0,2252,0,3410,0,0,311,0,423,3089953,136,0,0,0,9441,0,138554,148131,3238084
8,12536,8259783,131,210912,3188,515,2095,8477446,594027,1122,34824,48494,2222,39999,7552,10561,87917,19674,1706,77178,10112,622060,18324,1874,3803,15305,18594,9582,12323,1650,22683,22046,14129,10042,4017,27365,2940,1983,22434,2774,4721,39128,4537,1613,114492,9584,1481,1451,2128,8870,11887,17595,383101,10985,6454,316,71502,15445729,34794,8800,5369,66743,11425,4456,59126,50093,14242,0,26518,4013,299384,10895,73932,95763,83520,98852,115384,950079,107739,1135346,89780,18412,38236161,30129111,0,0,0,1983284,0,4816777,36929172,75165333
9,1394,999,123,77603,1502,254,998,9613,466526,528,10176,1013,1028,3012,3520,4423,15697,9354,797,1656,417,3044,6662,871,1765,5161,8695,4448,5749,764,10591,10302,6571,4672,1869,12712,1372,928,10465,1291,2213,18160,2112,754,2136,4557,687,707,1296,4209,5526,8214,206262,5099,3030,359,35538,2754221,18924,4087,2531,32277,5318,2089,23623,23713,6828,0,12508,1871,20387,6620,35118,58510,38084,57745,10468,11562,3257,20783,42447,8594,4210989,3461214,0,0,0,-175117,0,678587,3964684,8175673
10,0,0,0,0,0,0,0,0,0,142050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,142227,1964309,0,0,0,103197,0,880980,2948486,3090713
