,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 
1 ,498770 ,530563 ,4288 ,763 ,20814 ,0 ,402 ,9346041 ,193145 ,90835 ,5082 ,411 ,421 ,1211 ,1432 ,1600 ,4944 ,2519 ,323 ,269587 ,2216 ,13861 ,2690 ,347 ,681 ,2074 ,3287 ,1670 ,2128 ,310 ,4200 ,4151 ,2666 ,1876 ,754 ,5149 ,553 ,349 ,3873 ,522 ,889 ,7349 ,850 ,300 ,26008 ,1268 ,281 ,123 ,934 ,1520 ,646661 ,111920 ,63132 ,2086 ,1132 ,145 ,9375 ,2863061 ,5768 ,1631 ,804 ,12855 ,2325 ,844 ,15080 ,9154 ,2014 ,0 ,4153 ,754 ,23373 ,2482 ,12918 ,11754 ,6450 ,40664 ,490126 ,130830 ,2218 ,70063 ,14224 ,17125 ,15641151 ,8966140 ,0 ,17507 ,9654 ,100138 ,0 ,453151 ,9546590 ,25187741 
2 ,179085 ,408390 ,0 ,0 ,0 ,0 ,0 ,12953643 ,3936 ,0 ,26148 ,933 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21730 ,4091 ,7827 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9290 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,571485 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,25439 ,0 ,0 ,0 ,1467 ,0 ,37665 ,35826 ,0 ,0 ,0 ,0 ,14286955 ,1325348 ,0 ,191860 ,3728 ,953300 ,0 ,6878 ,2481114 ,16768069 
3 ,35413 ,23010 ,89131 ,11533 ,0 ,2767 ,417 ,434559 ,891 ,0 ,0 ,0 ,198581 ,1249 ,0 ,0 ,317 ,53 ,0 ,6371 ,352 ,6151 ,123 ,0 ,0 ,0 ,0 ,0 ,627 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6002 ,0 ,0 ,467 ,0 ,0 ,15653 ,30593 ,0 ,0 ,0 ,0 ,0 ,263716 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1403 ,0 ,0 ,0 ,402 ,1594 ,3331 ,17890 ,492 ,0 ,0 ,0 ,1153088 ,384683 ,0 ,171064 ,4190 ,472237 ,0 ,35183 ,1067357 ,2220445 
4 ,0 ,0 ,0 ,178972 ,0 ,0 ,0 ,2849940 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,60 ,0 ,1845 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9445 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1766229 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28990 ,0 ,0 ,0 ,0 ,0 ,297 ,109903 ,3468 ,15131 ,0 ,0 ,4964280 ,2127864 ,0 ,0 ,0 ,69354 ,0 ,261245 ,2458463 ,7422743 
5 ,919602 ,151807 ,165620 ,116846 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,933 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15308 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1370116 ,0 ,0 ,0 ,0 ,0 ,0 ,19971 ,19971 ,1390087 
6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,267436 ,19264 ,0 ,0 ,0 ,0 ,96 ,0 ,0 ,0 ,19133 ,11632 ,0 ,18466 ,114 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,521 ,5398 ,240584 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,58 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,582702 ,0 ,0 ,0 ,0 ,-98084 ,0 ,742 ,-97342 ,485360 
7 ,387 ,186 ,0 ,201 ,0 ,0 ,0 ,12194 ,0 ,0 ,1739 ,605 ,0 ,4005 ,0 ,6129 ,103854 ,1864 ,0 ,3 ,24526 ,23313 ,6362 ,44 ,133894 ,1420420 ,188802 ,0 ,13910 ,15037 ,14097 ,1910 ,3254 ,2675 ,7370 ,19240 ,127 ,0 ,0 ,0 ,0 ,2355 ,45 ,102 ,14760 ,529 ,796 ,0 ,0 ,0 ,278809 ,780739 ,0 ,0 ,0 ,0 ,0 ,3170 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,182 ,0 ,2469 ,0 ,0 ,0 ,2487 ,0 ,3705 ,0 ,0 ,318 ,0 ,423 ,3097037 ,151 ,0 ,0 ,0 ,9459 ,0 ,138554 ,148164 ,3245201 
8 ,13244 ,8263495 ,137 ,211328 ,3448 ,556 ,2095 ,8515923 ,594084 ,1122 ,34825 ,48765 ,2222 ,40017 ,7557 ,10585 ,87922 ,19676 ,1706 ,77244 ,10535 ,622320 ,18324 ,1874 ,3803 ,15331 ,18594 ,9582 ,12323 ,1650 ,22683 ,22046 ,14170 ,10042 ,4017 ,27367 ,2940 ,1983 ,22434 ,2774 ,4723 ,39130 ,4537 ,1613 ,114534 ,9584 ,1481 ,1571 ,2307 ,9606 ,12146 ,17595 ,383488 ,11142 ,6787 ,316 ,71505 ,15485363 ,34902 ,8958 ,5378 ,66747 ,12344 ,4537 ,64086 ,54276 ,15429 ,0 ,26520 ,4013 ,320856 ,10895 ,80100 ,100533 ,89964 ,107282 ,121580 ,972675 ,108181 ,1142969 ,95134 ,18432 ,38423962 ,31433303 ,0 ,0 ,0 ,1985244 ,0 ,4816777 ,38235324 ,76659286 
9 ,1494 ,1073 ,128 ,83462 ,1613 ,272 ,998 ,9911 ,492548 ,528 ,10176 ,1013 ,1028 ,3019 ,3522 ,4433 ,15697 ,9355 ,797 ,1656 ,423 ,3044 ,6662 ,871 ,1765 ,5161 ,8695 ,4448 ,5749 ,764 ,10591 ,10302 ,6588 ,4672 ,1869 ,12713 ,1372 ,928 ,10465 ,1291 ,2214 ,18162 ,2112 ,754 ,2137 ,4557 ,687 ,760 ,1393 ,4527 ,5635 ,8214 ,206448 ,5165 ,3171 ,359 ,35540 ,4244022 ,18972 ,4154 ,2535 ,32279 ,5706 ,2124 ,25412 ,25511 ,7345 ,0 ,12509 ,1871 ,27725 ,6620 ,37779 ,60954 ,40968 ,62121 ,11260 ,12436 ,3473 ,21263 ,44748 ,8602 ,5763320 ,5561073 ,0 ,0 ,0 ,-81758 ,0 ,678587 ,6157902 ,11921222 
10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,176522 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,244 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,176766 ,6403586 ,0 ,0 ,0 ,169725 ,0 ,880980 ,7454291 ,7631057 
