,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 
1 ,143811 ,64793 ,4261 ,0 ,0 ,0 ,0 ,4661750 ,46984 ,290286 ,458437 ,17458 ,0 ,0 ,0 ,0 ,0 ,5240 ,0 ,39050 ,0 ,4397 ,0 ,1391616 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4164 ,0 ,0 ,7747 ,0 ,0 ,0 ,0 ,0 ,112 ,815 ,0 ,0 ,0 ,0 ,0 ,180041 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10299 ,0 ,1 ,1371 ,32075 ,0 ,305 ,17449 ,0 ,5554 ,0 ,0 ,7388016 ,1368762 ,0 ,0 ,18 ,-31140 ,0 ,0 ,1337640 ,8725656 
2 ,2528 ,23748 ,0 ,0 ,0 ,0 ,0 ,29244 ,471 ,0 ,87697 ,20389 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,42494 ,41 ,728 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,399 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8260 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1732 ,0 ,0 ,0 ,10 ,0 ,19892 ,0 ,0 ,0 ,0 ,0 ,237633 ,64414 ,0 ,26636 ,0 ,-506 ,0 ,0 ,90544 ,328177 
3 ,3455 ,3446 ,24 ,93 ,0 ,33 ,0 ,2481 ,0 ,0 ,0 ,0 ,868488 ,300 ,0 ,0 ,127 ,529 ,0 ,1744 ,6087 ,1520 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3352 ,0 ,0 ,0 ,0 ,0 ,8453 ,3976 ,0 ,0 ,0 ,0 ,0 ,33298 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,85 ,0 ,0 ,0 ,2 ,147 ,135 ,511 ,0 ,0 ,0 ,0 ,938286 ,13286 ,0 ,0 ,10 ,-42805 ,0 ,0 ,-29509 ,908777 
4 ,0 ,0 ,0 ,91453 ,0 ,0 ,0 ,61981 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,119 ,0 ,34 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,185372 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,16119 ,0 ,0 ,0 ,0 ,355079 ,261413 ,0 ,0 ,0 ,7278 ,0 ,0 ,268691 ,623770 
5 ,15126 ,2496 ,2723 ,1920 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,281 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22561 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,22561 
6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83656743 ,31044 ,0 ,0 ,0 ,0 ,5930 ,0 ,0 ,0 ,747620 ,866558 ,0 ,61 ,1380 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8885502 ,19571316 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4663 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,113770817 ,0 ,0 ,0 ,0 ,-184281 ,0 ,0 ,-184281 ,113586536 
7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3057 ,0 ,0 ,1728 ,0 ,0 ,28613 ,0 ,0 ,426780 ,1260 ,0 ,87 ,78280 ,50030 ,801 ,79 ,205032 ,215982 ,8441601 ,0 ,7880323 ,3259 ,5341 ,3934 ,365 ,1497 ,3615 ,3899 ,32 ,0 ,0 ,0 ,0 ,1346 ,0 ,0 ,5470 ,0 ,0 ,0 ,0 ,0 ,19857 ,32406 ,0 ,0 ,0 ,0 ,0 ,566 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2958 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,17418202 ,10234 ,0 ,0 ,0 ,-222763 ,0 ,0 ,-212529 ,17205673 
8 ,96 ,28467 ,0 ,26882 ,6 ,0 ,0 ,5338354 ,408984 ,0 ,0 ,496568 ,0 ,10457 ,0 ,2654 ,54956 ,1 ,0 ,91249 ,12853 ,83646 ,2377 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,8142 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,318 ,0 ,0 ,415 ,2623 ,2405886 ,0 ,0 ,0 ,2305 ,0 ,0 ,6 ,0 ,0 ,0 ,52 ,0 ,21500 ,2876 ,27 ,14624 ,29 ,369 ,5035 ,224078 ,1 ,30709 ,41 ,1 ,9276597 ,5360999 ,0 ,0 ,0 ,454648 ,0 ,0 ,5815647 ,15092244 
9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,52766 ,223149 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,525 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,252468 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1255 ,0 ,0 ,98 ,154 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,530436 ,580629 ,0 ,0 ,0 ,28708 ,0 ,0 ,609337 ,1139773 
10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,88185 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,88185 ,179276 ,0 ,0 ,0 ,20436 ,0 ,0 ,199712 ,287897 
