,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 ,100 ,101 ,102 ,103 ,104 
1 ,642509 ,595284 ,8549 ,763 ,20811 ,0 ,402 ,14006451 ,240102 ,381107 ,463519 ,17869 ,421 ,1211 ,1432 ,1600 ,4944 ,7759 ,323 ,308597 ,2216 ,18258 ,2690 ,1391963 ,681 ,2074 ,3287 ,1670 ,2128 ,310 ,4200 ,4151 ,2666 ,1876 ,754 ,5148 ,553 ,349 ,3873 ,522 ,889 ,11513 ,850 ,300 ,33754 ,1268 ,281 ,123 ,934 ,1520 ,646644 ,112722 ,63121 ,2086 ,1132 ,145 ,9375 ,3042687 ,5768 ,1631 ,804 ,12854 ,2325 ,844 ,15079 ,9153 ,2014 ,0 ,4153 ,754 ,33669 ,2482 ,12918 ,13124 ,38525 ,40663 ,490377 ,148279 ,2218 ,75606 ,14224 ,17123 ,23026953 ,10333564 ,0 ,17281 ,9671 ,68979 ,0 ,453151 ,10882646 ,33909599 ,25183943 ,0 ,8725656 ,0 ,33909599 ,0 ,0 ,0 ,0 ,0 ,0 ,33909599 
2 ,181593 ,432080 ,0 ,0 ,0 ,0 ,0 ,12981025 ,4407 ,0 ,113841 ,21322 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,64221 ,4132 ,8555 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9689 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,579664 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27170 ,0 ,0 ,0 ,1477 ,0 ,57552 ,35826 ,0 ,0 ,0 ,0 ,14522554 ,1389566 ,0 ,218468 ,3728 ,952675 ,0 ,6878 ,2571315 ,17093869 ,16765692 ,0 ,328177 ,0 ,17093869 ,0 ,0 ,0 ,0 ,0 ,0 ,17093869 
3 ,37580 ,25260 ,83270 ,11625 ,0 ,2800 ,417 ,436894 ,891 ,0 ,0 ,0 ,1067037 ,1549 ,0 ,0 ,444 ,582 ,0 ,8114 ,6431 ,7671 ,123 ,0 ,0 ,0 ,0 ,0 ,627 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9354 ,0 ,0 ,443 ,0 ,0 ,24105 ,34566 ,0 ,0 ,0 ,0 ,0 ,296943 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1415 ,0 ,0 ,0 ,383 ,1658 ,3379 ,18401 ,468 ,0 ,0 ,0 ,2082430 ,397550 ,0 ,168651 ,3872 ,429372 ,0 ,35183 ,1034628 ,3117058 ,2208281 ,0 ,908777 ,0 ,3117058 ,0 ,0 ,0 ,0 ,0 ,0 ,3117058 
4 ,0 ,0 ,0 ,270386 ,0 ,0 ,0 ,2911313 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,179 ,0 ,1879 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9446 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1951208 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,28985 ,0 ,0 ,0 ,0 ,0 ,297 ,126022 ,3468 ,15127 ,0 ,0 ,5318310 ,2388814 ,0 ,0 ,0 ,76618 ,0 ,261245 ,2726677 ,8044987 ,7421217 ,0 ,623770 ,0 ,8044987 ,0 ,0 ,0 ,0 ,0 ,0 ,8044987 
5 ,934593 ,154282 ,168319 ,118749 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,948 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,15589 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1392480 ,0 ,0 ,0 ,0 ,0 ,0 ,19971 ,19971 ,1412451 ,1389890 ,0 ,22561 ,0 ,1412451 ,0 ,0 ,0 ,0 ,0 ,0 ,1412451 
6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,83969786 ,55359 ,0 ,0 ,0 ,0 ,6051 ,0 ,0 ,0 ,771771 ,881246 ,0 ,23369 ,1524 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,658 ,8892316 ,19811733 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4736 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,114418549 ,0 ,0 ,0 ,0 ,-282815 ,0 ,742 ,-282073 ,114136476 ,549940 ,0 ,113586536 ,0 ,114136476 ,0 ,0 ,0 ,0 ,0 ,0 ,114136476 
7 ,350 ,168 ,0 ,183 ,0 ,0 ,0 ,14985 ,0 ,0 ,3465 ,604 ,0 ,32615 ,0 ,6124 ,530504 ,3123 ,0 ,90 ,101563 ,73323 ,7158 ,123 ,338806 ,1635283 ,8630249 ,0 ,7894231 ,18283 ,19429 ,5843 ,3617 ,4171 ,10979 ,23124 ,159 ,0 ,0 ,0 ,0 ,3699 ,45 ,102 ,20219 ,529 ,796 ,0 ,0 ,0 ,296196 ,812539 ,0 ,0 ,0 ,0 ,0 ,3717 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,182 ,0 ,5179 ,0 ,0 ,0 ,2256 ,0 ,3410 ,0 ,0 ,311 ,0 ,423 ,20508155 ,10370 ,0 ,0 ,0 ,-213322 ,0 ,138554 ,-64398 ,20443757 ,3238084 ,0 ,17205673 ,0 ,20443757 ,0 ,0 ,0 ,0 ,0 ,0 ,20443757 
8 ,12632 ,8288250 ,131 ,237794 ,3194 ,515 ,2095 ,13815800 ,1003011 ,1122 ,34824 ,545062 ,2222 ,50456 ,7552 ,13215 ,142873 ,19675 ,1706 ,168427 ,22965 ,705706 ,20701 ,1874 ,3803 ,15305 ,18594 ,9582 ,12323 ,1650 ,22684 ,22047 ,14129 ,10042 ,4017 ,27365 ,2940 ,1983 ,22434 ,2774 ,4728 ,39128 ,4537 ,1613 ,122634 ,9585 ,1481 ,1451 ,2128 ,8870 ,11887 ,17595 ,383419 ,10985 ,6454 ,731 ,74125 ,17851615 ,34794 ,8800 ,5369 ,69048 ,11425 ,4456 ,59132 ,50093 ,14242 ,0 ,26570 ,4013 ,320884 ,13771 ,73959 ,110387 ,83549 ,99221 ,120419 ,1174157 ,107740 ,1166055 ,89821 ,18413 ,47512758 ,35490110 ,0 ,0 ,0 ,2437932 ,0 ,4816777 ,42744819 ,90257577 ,75088467 ,0 ,15092244 ,76866 ,90257577 ,0 ,0 ,0 ,0 ,0 ,0 ,90257577 
9 ,1394 ,999 ,123 ,77603 ,1502 ,254 ,998 ,62379 ,689675 ,528 ,10176 ,1013 ,1028 ,3012 ,3520 ,4423 ,15697 ,9354 ,797 ,1677 ,417 ,3044 ,6662 ,871 ,1765 ,5161 ,8695 ,4448 ,5749 ,764 ,10591 ,10302 ,6571 ,4672 ,1869 ,12712 ,1372 ,928 ,10465 ,1291 ,2213 ,18160 ,2112 ,754 ,2661 ,4557 ,687 ,707 ,1296 ,4209 ,5526 ,8214 ,206262 ,5099 ,3030 ,359 ,35538 ,3006689 ,18924 ,4087 ,2531 ,32277 ,5318 ,2089 ,23623 ,23713 ,6828 ,0 ,12508 ,1871 ,21642 ,6620 ,35118 ,58608 ,38238 ,57745 ,10468 ,11562 ,3257 ,20783 ,42447 ,8594 ,4741425 ,4041843 ,0 ,0 ,0 ,-146409 ,0 ,678587 ,4574021 ,9315446 ,8175673 ,0 ,1139773 ,0 ,9315446 ,0 ,0 ,0 ,0 ,0 ,0 ,9315446 
10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,230235 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,177 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,230412 ,2143585 ,0 ,0 ,0 ,123633 ,0 ,880980 ,3148198 ,3378610 ,3090713 ,0 ,287897 ,0 ,3378610 ,0 ,0 ,0 ,0 ,0 ,0 ,3378610 
