,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
1,659483,602653,8768,763,20814,0,402,14112951,240964,415776,466606,17869,421,1211,1432,1600,4944,7759,323,310886,2216,18338,2690,1391982,681,2074,3287,1670,2128,310,4200,4151,2666,1876,754,5149,553,349,3873,522,889,11513,850,300,33802,1268,281,123,934,1520,646782,112743,63132,2086,1132,145,9375,3092347,5768,1631,804,12855,2325,844,15080,9154,2014,0,4153,754,34815,2482,12919,13125,41866,40664,490460,148279,2218,75893,14224,17125,23253768,10647021,0,17507,9674,75827,0,453151,11203180,34456948,25183943,0,8725656,0,33909599,3798,543551,0,0,0,547349,34456948
2,181994,434118,0,0,0,0,0,12984644,4432,0,118003,22391,0,0,0,0,0,0,0,66277,4134,8590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9708,0,0,0,0,0,0,0,0,0,0,0,0,580222,0,0,0,0,0,0,0,0,0,0,0,0,27337,0,0,0,1477,0,59915,35826,0,0,0,0,14539068,1398101,0,220410,3728,952742,0,6878,2581859,17120927,16765692,0,328177,0,17093869,2377,24681,0,0,0,27058,17120927
3,39412,27007,89157,11635,0,2803,417,437173,891,0,0,0,1067079,1560,0,0,447,594,0,8182,7179,7726,123,0,0,0,0,0,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9354,0,0,467,0,0,24609,34569,0,0,0,0,0,299045,0,0,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,404,1756,3482,18401,492,0,0,0,2096088,399820,0,171064,4200,429494,0,35183,1039761,3135849,2208281,0,908777,0,3117058,12164,6627,0,0,0,18791,3135849
4,0,0,0,281222,0,0,0,2918280,0,0,0,0,0,0,0,0,0,0,0,195,0,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9446,0,0,0,0,0,0,0,0,0,0,0,0,1978977,0,0,0,0,0,0,0,0,0,0,0,0,28990,0,0,0,0,0,297,126022,3468,15131,0,0,5363911,2422136,0,0,0,77654,0,261245,2761035,8124946,7421217,0,623770,0,8044987,1526,78433,0,0,0,79959,8124946
5,934728,154303,168343,118766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15589,0,0,0,0,0,0,0,1392677,0,0,0,0,0,0,19971,19971,1412648,1389890,0,22561,0,1412451,197,0,0,0,0,197,1412648
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84924024,50308,0,0,0,0,6026,0,0,0,766759,878190,0,18527,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,8890986,21776962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4721,0,0,0,0,0,0,0,0,0,0,0,117318518,0,0,0,0,-225865,0,742,-225123,117093395,549940,0,113586536,0,114136476,360,3021499,-64940,0,0,2956919,117093395
7,387,186,0,201,0,0,0,15353,0,0,3494,605,0,32911,0,6129,533370,3129,0,91,111755,73914,7174,124,341829,1639433,8630895,0,7894235,18341,19507,5885,3626,4186,11008,23179,159,0,0,0,0,3715,45,102,20300,529,796,0,0,0,299489,813868,0,0,0,0,0,3750,0,0,0,0,0,0,0,0,0,0,182,0,5773,0,0,0,2491,0,3705,0,0,318,0,423,20536592,11745,0,0,0,-213244,0,138554,-62945,20473647,3238084,0,17205673,0,20443757,7117,22773,0,0,0,29890,20473647
8,13353,8293318,137,239313,3455,556,2095,14268247,1085908,1122,34825,603700,2222,51241,7557,13282,143819,19677,1706,174296,24811,707860,20752,1874,3803,15331,18594,9582,12323,1650,22684,22047,14170,10042,4017,27367,2940,1983,22434,2774,4731,39130,4537,1613,123518,9585,1481,1571,2307,9606,12146,17595,383865,11142,6787,776,74741,18281579,34902,8958,5378,69555,12344,4537,64093,54276,15429,0,26581,4013,344269,14178,80134,117051,89993,107692,126729,1200198,108182,1175218,95179,18433,48670899,37790358,0,0,0,2508807,0,4816777,45115942,93786841,75088467,0,15092244,76866,90257577,1493953,2035311,0,0,0,3529264,93786841
9,1494,1073,128,83462,1613,272,998,67269,796156,528,10176,1013,1028,3019,3522,4433,15697,9355,797,1679,423,3044,6662,871,1765,5161,8695,4448,5749,764,10591,10302,6588,4672,1869,12713,1372,928,10465,1291,2214,18162,2112,754,2706,4557,687,760,1393,4527,5635,8214,206448,5165,3171,359,35540,4717323,18972,4154,2535,32279,5706,2124,25412,25511,7345,0,12509,1871,29140,6620,37779,61059,41122,62121,11260,12436,3473,21263,44748,8602,6599853,6598679,0,0,0,-33774,0,678587,7243492,13843345,8175673,0,1139773,0,9315446,3745549,782350,0,0,0,4527899,13843345
10,0,0,0,0,0,0,0,0,0,267711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,267955,6819517,0,0,0,191040,0,880980,7891537,8159492,3090713,0,287897,0,3378610,4540344,240538,0,0,0,4780882,8159492
11,154734,10647,2069,238938,6718,1129,2090,64611,1254,66379,17464701,383179,5186,303501,24442,37976,55123,17520,777,7153,1741,12958,215992,930495,14357,86544,69898,92458,15269,5953,157111,80219,40123,79350,22320,148469,221455,2357,35142,11412,9580,489175,117829,70642,1667807,66890,6844,8037,25249,172468,178185,247926,664670,232993,47047,1061,548277,328746,71656,6310,4385,5082,8020,41601,118651,166130,41473,0,66891,14638,90142,6022,40751,272423,342232,75815,269418,278951,101623,65941,93911,383480,28540722,19479110,0,120978,3989,2007181,0,18906363,40517621,69058343,54502978,0,11889496,29287,66421761,1568605,1067977,0,0,0,2636582,69058343
12,2668,1250,167,4196,2650,185,1086,19797,1997,510,423286,1181735,1163,18534,4412,6220,24885,10134,882,14694,537,4576,8917,911,2278,12573,16224,15223,8095,1833,88443,19211,13996,9859,4314,56325,3298,1023,30480,1963,92057,113810,5441,2335,339807,28610,1889,742,1926,56067,29694,49307,660871,8274,8689,399,92646,32260,16666,4128,1909,30613,7380,2512,33434,22497,21347,0,9590,3766,54545,6620,30275,40693,6776,68235,13423,116873,3029,61757,38303,10065,4149790,5633654,0,0,0,231658,0,2086857,7952169,12101959,6754698,0,4640437,0,11395135,223433,483391,0,0,0,706824,12101959
13,29477,22325,1016,194945,1549,3338,3223,53159,3988,0,6332,2370,1641216,124439,833,13633,23949,6264,1114,370,780,20349,17072,953,70382,68773,62851,53658,71000,8668,214043,66945,41796,80267,1979,39001,3606,749,12678,6774,8167,185946,142755,11727,1374178,79834,0,0,0,11890,1954123,316664,115917,7868,1809,0,284919,122548,629,0,0,0,778,3265,0,505,0,0,1705,2734,6763,646,114844,15354,1768,35689,6855,33678,14476,80735,4803,3771,7923207,114683,0,0,0,6401,0,57842,178926,8102133,6000620,0,1809756,82828,7893204,88676,120253,0,0,0,208929,8102133
14,256881,18881,248,8595,3613,341,1274,1184426,173492,297209,418051,90879,41446,8645070,1601943,26168,106899,37091,30238,291556,12930,328814,314520,13930,120613,204115,70955,29112,39318,5374,308088,132476,54663,517021,43706,130561,216195,14540,189563,181401,48075,134282,8392,15835,512063,10563,3091,1434,4057,130110,332218,45626,2776020,45559,11378,441,161753,448448,68738,10960,38570,156697,1313033,9646,130488,126925,33666,0,52288,6572,175411,46132,209970,134690,46218,387444,51696,96856,16402,46021,92879,47669,24150512,804426,0,0,0,-849002,0,3259960,3215384,27365896,21714005,0,4629898,637385,26981288,328267,56341,0,0,0,384608,27365896
15,3376,966,0,483,5737,222,520,53501,16289,89552,72505,45100,1263,189489,975458,85457,13692,7475,1380,90525,1528,85179,134577,584,1737,23968,24511,7353,5776,893,62360,29987,9821,50259,58652,57932,14123,21917,131361,12624,12975,49269,2739,9232,102840,10865,3281,20995,13069,12409,2909,22790,447355,64924,8669,1128,126838,21861,137573,19285,65241,72678,449355,11386,672791,307602,46123,0,31629,19418,268263,138760,248309,85391,591999,892255,422239,55353,115204,231890,193274,47312,8445610,35841,0,0,0,-52892,0,150471,133420,8579030,7859195,0,387000,0,8246195,331055,1780,0,0,0,332835,8579030
16,718200,47342,19928,816484,146906,4372,242561,492459,82539,15263,430991,57222,46330,380329,77724,4878172,29821226,289012,33423,103525,174521,730931,511456,144435,568585,1758929,7088375,199719,315338,64285,1085890,534833,259884,462975,98093,152912,108854,28453,204544,60127,70964,793563,258341,183781,950160,2476289,806987,35153,213764,388087,1193450,2897139,4722042,11988730,7665039,4689903,891334,1957749,302047,25954,74681,204939,72798,133155,288394,159285,39793,0,722220,315552,212620,330135,855072,553604,936689,2428813,457109,589561,173911,508380,266508,692999,105783841,19762920,0,0,0,2775397,0,41016828,63555145,169338986,99830271,9366105,35111274,418736,144726386,22737526,1991667,-116593,0,0,24612600,169338986
