,basecode,basename,s_code,s_name,m_code,m_name,b_code,b_name
1,1,벼,1,곡물 및 식량작물,1,작물,1,농림수산품
2,2,맥류 및 잡곡,1,곡물 및 식량작물,1,작물,1,농림수산품
3,3,콩류,1,곡물 및 식량작물,1,작물,1,농림수산품
4,4,감자류,1,곡물 및 식량작물,1,작물,1,농림수산품
5,5,채소,2,채소 및 과실,1,작물,1,농림수산품
6,6,과실,2,채소 및 과실,1,작물,1,농림수산품
7,7,약용작물,3,기타작물,1,작물,1,농림수산품
8,8,기타 식용작물,3,기타작물,1,작물,1,농림수산품
9,9,잎담배,3,기타작물,1,작물,1,농림수산품
10,10,화훼작물,3,기타작물,1,작물,1,농림수산품
11,11,천연고무,3,기타작물,1,작물,1,농림수산품
12,12,종자 및 묘목,3,기타작물,1,작물,1,농림수산품
13,13,기타 비식용작물,3,기타작물,1,작물,1,농림수산품
14,14,낙농,4,낙농 및 육우,2,축산물,1,농림수산품
15,15,육우,4,낙농 및 육우,2,축산물,1,농림수산품
16,16,양돈,5,기타 축산,2,축산물,1,농림수산품
17,17,가금,5,기타 축산,2,축산물,1,농림수산품
18,18,기타 축산,5,기타 축산,2,축산물,1,농림수산품
19,19,영림,6,임산물,3,임산물,1,농림수산품
20,20,원목,6,임산물,3,임산물,1,농림수산품
21,21,식용 임산물,6,임산물,3,임산물,1,농림수산품
22,22,기타 임산물,6,임산물,3,임산물,1,농림수산품
23,23,수산어획,7,수산물,4,수산물,1,농림수산품
24,24,수산양식,7,수산물,4,수산물,1,농림수산품
25,25,농림어업 서비스,8,농림어업 서비스,5,농림어업 서비스,1,농림수산품
26,26,무연탄,9,석탄,6,"석탄, 원유 및 천연가스",2,광산품
27,27,유연탄,9,석탄,6,"석탄, 원유 및 천연가스",2,광산품
28,28,원유,10,원유 및 천연가스,6,"석탄, 원유 및 천연가스",2,광산품
29,29,천연가스 (LNG)?? ,10,원유 및 천연가스,6,"석탄, 원유 및 천연가스",2,광산품
30,30,철광석,11,금속광물,7,금속 및 비금속광물,2,광산품
31,31,기타 비철금속광석,11,금속광물,7,금속 및 비금속광물,2,광산품
32,32,골재 및 석재,12,비금속광물,7,금속 및 비금속광물,2,광산품
33,33,석회석,12,비금속광물,7,금속 및 비금속광물,2,광산품
34,34,기타 비금속광물,12,비금속광물,7,금속 및 비금속광물,2,광산품
35,35,도축육,13,육류 및 낙농품,8,식료품,3,음식료품
36,36,가금육,13,육류 및 낙농품,8,식료품,3,음식료품
37,37,육가공품,13,육류 및 낙농품,8,식료품,3,음식료품
38,38,우유,13,육류 및 낙농품,8,식료품,3,음식료품
39,39,낙농품,13,육류 및 낙농품,8,식료품,3,음식료품
40,40,수산물 가공품,14,수산가공품,8,식료품,3,음식료품
41,41,수산동물 저장품,14,수산가공품,8,식료품,3,음식료품
42,42,정곡,15,정곡 및 제분,8,식료품,3,음식료품
43,43,제분,15,정곡 및 제분,8,식료품,3,음식료품
44,44,원당,16,제당 및 전분,8,식료품,3,음식료품
45,45,정제당,16,제당 및 전분,8,식료품,3,음식료품
46,46,전분 및 당류,16,제당 및 전분,8,식료품,3,음식료품
47,47,"떡, 빵 및 과자류",17,"떡, 과자 및 면류",8,식료품,3,음식료품
48,48,면류,17,"떡, 과자 및 면류",8,식료품,3,음식료품
49,49,조미료 및 첨가용식품,18,조미료 및 유지,8,식료품,3,음식료품
50,50,유지,18,조미료 및 유지,8,식료품,3,음식료품
51,51,과실 및 채소 가공품,19,기타 식료품,8,식료품,3,음식료품
52,52,커피 및 차류,19,기타 식료품,8,식료품,3,음식료품
53,53,인삼 및 건강보조식품,19,기타 식료품,8,식료품,3,음식료품
54,54,기타 식료품,19,기타 식료품,8,식료품,3,음식료품
55,55,사료,20,사료,8,식료품,3,음식료품
56,56,주정,21,주류,9,음료품,3,음식료품
57,57,소주,21,주류,9,음료품,3,음식료품
58,58,맥주,21,주류,9,음료품,3,음식료품
59,59,기타 주류,21,주류,9,음료품,3,음식료품
60,60,비알콜음료 및 얼음,22,비알콜음료 및 얼음,9,음료품,3,음식료품
61,61,담배,23,담배,10,담배,3,음식료품
62,62,천연 섬유사,24,섬유사,11,섬유 및 의복,4,섬유 및 가죽제품
63,63,화학 섬유사,24,섬유사,11,섬유 및 의복,4,섬유 및 가죽제품
64,64,기타 섬유사,24,섬유사,11,섬유 및 의복,4,섬유 및 가죽제품
65,65,천연섬유직물,25,섬유직물,11,섬유 및 의복,4,섬유 및 가죽제품
66,66,화학섬유직물,25,섬유직물,11,섬유 및 의복,4,섬유 및 가죽제품
67,67,기타 섬유직물,25,섬유직물,11,섬유 및 의복,4,섬유 및 가죽제품
68,68,편조원단,25,섬유직물,11,섬유 및 의복,4,섬유 및 가죽제품
69,69,섬유표백 및 염색,26,섬유표백 및 염색,11,섬유 및 의복,4,섬유 및 가죽제품
70,70,직물제품,27,직물제품,11,섬유 및 의복,4,섬유 및 가죽제품
71,71,"끈, 로프 및 어망",27,직물제품,11,섬유 및 의복,4,섬유 및 가죽제품
72,72,기타 섬유제품,27,직물제품,11,섬유 및 의복,4,섬유 및 가죽제품
73,73,봉제의류,28,의복제품,11,섬유 및 의복,4,섬유 및 가죽제품
74,74,편조의류,28,의복제품,11,섬유 및 의복,4,섬유 및 가죽제품
75,75,가죽의류,28,의복제품,11,섬유 및 의복,4,섬유 및 가죽제품
76,76,모피의류 및 모피제품,28,의복제품,11,섬유 및 의복,4,섬유 및 가죽제품
77,77,의복관련 장신품,28,의복제품,11,섬유 및 의복,4,섬유 및 가죽제품
78,78,가죽,29,가죽제품,12,가죽제품 ,4,섬유 및 가죽제품
79,79,모피,29,가죽제품,12,가죽제품 ,4,섬유 및 가죽제품
80,80,가방 및 핸드백,29,가죽제품,12,가죽제품 ,4,섬유 및 가죽제품
81,81,신발,29,가죽제품,12,가죽제품 ,4,섬유 및 가죽제품
82,82,기타 가죽제품,29,가죽제품,12,가죽제품 ,4,섬유 및 가죽제품
83,83,제재목,30,목재,13,목재 및 목제품 ,5,"목재 및 종이, 인쇄"
84,84,합판,30,목재,13,목재 및 목제품 ,5,"목재 및 종이, 인쇄"
85,85,강화 및 재생목재,30,목재,13,목재 및 목제품 ,5,"목재 및 종이, 인쇄"
86,86,건축용 목제품,31,목제품,13,목재 및 목제품 ,5,"목재 및 종이, 인쇄"
87,87,목재 용기 및 적재판,31,목제품,13,목재 및 목제품 ,5,"목재 및 종이, 인쇄"
88,88,기타 목제품,31,목제품,13,목재 및 목제품 ,5,"목재 및 종이, 인쇄"
89,89,펄프,32,펄프,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
90,90,인쇄용지,33,종이류,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
91,91,기타 원지 및 판지,33,종이류,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
92,92,골판지 및 골판지상자,34,종이제품,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
93,93,종이용기,34,종이제품,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
94,94,종이문구 및 사무용지,34,종이제품,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
95,95,위생용 종이제품,34,종이제품,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
96,96,기타 종이제품,34,종이제품,14,펄프 및 종이제품,5,"목재 및 종이, 인쇄"
97,97,인쇄,35,인쇄 및 복제,15,인쇄 및 복제,5,"목재 및 종이, 인쇄"
98,98,기록매체 복제,35,인쇄 및 복제,15,인쇄 및 복제,5,"목재 및 종이, 인쇄"
99,99,석탄 코크스 및 관련제품,36,석탄제품,16,석탄 및 석유제품,6,석탄 및 석유제품
100,100,연탄,36,석탄제품,16,석탄 및 석유제품,6,석탄 및 석유제품
101,101,나프타,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
102,102,휘발유,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
103,103,제트유,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
104,104,등유,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
105,105,경유,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
106,106,중유,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
107,107,액화석유가스,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
108,108,정제혼합용 원료유,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
109,109,윤활유 및 그리스,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
110,110,기타 석유정제제품,37,석유제품,16,석탄 및 석유제품,6,석탄 및 석유제품
111,111,지방족 기초유분,38,기초유기화학물질,17,기초화학물질,7,화학제품
112,112,방향족 기초유분,38,기초유기화학물질,17,기초화학물질,7,화학제품
113,113,석유화학중간제품,38,기초유기화학물질,17,기초화학물질,7,화학제품
114,114,석탄화합물,38,기초유기화학물질,17,기초화학물질,7,화학제품
115,115,기타 기초유기화합물,38,기초유기화학물질,17,기초화학물질,7,화학제품
116,116,산업용 가스,39,기초무기화학물질,17,기초화학물질,7,화학제품
