colindex_82,colname_82,rowindex_82,rowname_82
1,작물,1,작물
2,축산물,2,축산물
3,임산물,3,임산물
4,수산물,4,수산물
5,농림어업서비스,5,농림어업서비스
6,석탄원유및천연가스,6,석탄원유및천연가스
7,금속및비금속광물,7,금속및비금속광물
8,식료품,8,식료품
9,음료품,9,음료품
10,담배,10,담배
11,섬유및의복,11,섬유및의복
12,가죽제품,12,가죽제품
13,목재및목제품,13,목재및목제품
14,펄프및종이제품,14,펄프및종이제품
15,인쇄및복제,15,인쇄및복제
16,석탄및석유제품,16,석탄및석유제품
17,기초화학물질,17,기초화학물질
18,합성수지및합성고무,18,합성수지및합성고무
19,화학섬유,19,화학섬유
20,의약품,20,의약품
21,비료및농약,21,비료및농약
22,기타화학제품,22,기타화학제품
23,플라스틱제품,23,플라스틱제품
24,고무제품,24,고무제품
25,유리및유리제품,25,유리및유리제품
26,기타비금속광물제품,26,기타비금속광물제품
27,철강1차제품,27,철강1차제품
28,철강가공제품,28,철강가공제품
29,비철금속괴및1차제품,29,비철금속괴및1차제품
30,금속주물,30,금속주물
31,금속제품,31,금속제품
32,일반목적용기계,32,일반목적용기계
33,특수목적용기계,33,특수목적용기계
34,전기장비,34,전기장비
35,반도체,35,반도체
36,전자표시장치,36,전자표시장치
37,기타전자부품,37,기타전자부품
38,컴퓨터및주변기기,38,컴퓨터및주변기기
39,통신방송및영상음향기기,39,통신방송및영상음향기기
40,가정용전기기기,40,가정용전기기기
41,정밀기기,41,정밀기기
42,자동차,42,자동차
43,선박,43,선박
44,기타운송장비,44,기타운송장비
45,기타제조업제품및임가공,45,기타제조업제품및임가공
46,전력및신재생에너지,46,전력및신재생에너지
47,가스증기및온수,47,가스증기및온수
48,수도,48,수도
49,폐수처리,49,폐수처리
50,폐기물및자원재활용서비스,50,폐기물및자원재활용서비스
51,건물건설및건축보수,51,건물건설및건축보수
52,토목건설,52,토목건설
53,도소매서비스,53,도소매서비스
54,육상운송서비스,54,육상운송서비스
55,수상운송서비스,55,수상운송서비스
56,항공운송서비스,56,항공운송서비스
57,창고및운송보조서비스,57,창고및운송보조서비스
58,음식점및숙박서비스,58,음식점및숙박서비스
59,통신서비스,59,통신서비스
60,방송서비스,60,방송서비스
61,정보서비스,61,정보서비스
62,소프트웨어개발및컴퓨터관리서비스,62,소프트웨어개발및컴퓨터관리서비스
63,출판서비스,63,출판서비스
64,영상오디오물제작및배급,64,영상오디오물제작및배급
65,금융서비스,65,금융서비스
66,보험서비스,66,보험서비스
67,금융및보험보조서비스,67,금융및보험보조서비스
68,주거서비스,68,주거서비스
69,부동산서비스,69,부동산서비스
70,기계장비및용품임대,70,기계장비및용품임대
71,연구개발,71,연구개발
72,사업관련전문서비스,72,사업관련전문서비스
73,과학기술관련전문서비스,73,과학기술관련전문서비스
74,사업지원서비스,74,사업지원서비스
75,공공행정및국방,75,공공행정및국방
76,교육서비스,76,교육서비스
77,의료및보건,77,의료및보건
78,사회복지서비스,78,사회복지서비스
79,문화서비스,79,문화서비스
80,스포츠및오락서비스,80,스포츠및오락서비스
81,사회단체,81,사회단체
82,수리및개인서비스,82,수리및개인서비스
83,중간수요계,83,소계
84,민간소비지출가계및가계봉사비영리단체,84,순생산물세
85,정부소비지출,85,잔폐물발생
86,민간고정자본형성,86,중간투입계
87,정부고정자본형성,87,피용자보수
88,재고증감,88,영업잉여
89,귀중품순취득,89,고정자본소모
90,수출,90,기타생산세보조금공제
91,최종수요계,91,부가가치계
92,총수요계,92,총투입계
93,총산출,,
94,자가공정산출,,
95,수입,,
96,잔폐물발생액,,
97,총공급계기초가격,,
98,생산물세국산,,
99,생산물세수입,,
100,생산물보조금차감,,
101,도소매마진,,
102,화물운임,,
103,가격전환계,,
104,총공급계,,
