basecode_row,sector_row,basecode_column,sector_row,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict
1,Agri,1,Agri,1,Agri,20,idinput1,소계,20,Dint,중간수요계
2,Agri,2,Agri,2,Mining,21,PTAXin,순생산물세,21,Final_Pc,민간소비지출가계및가계봉사비영리단체
3,Agri,3,Agri,3,FoodPr,22,Resin,잔폐물발생,22,Final_Gc,정부소비지출
4,Agri,4,Agri,4,TexWear,23,idinput2,중간투입계,23,Final_Pk,민간고정자본형성
5,Agri,5,Agri,5,LumProd,24,labor,피용자보수,24,Final_Gk,정부고정자본형성
6,Agri,6,Agri,6,Petrol,25,surplus,영업잉여,25,Final_St,재고증감
7,Agri,7,Agri,7,ChemPla,26,dep,고정자본소모,26,Gold,귀중품순취득
8,Agri,8,Agri,8,MinMet,27,PTAXetc,기타생산세보조금공제,27,Final_Ex,수출
9,Agri,9,Agri,9,Macheqp,28,VA,부가가치계,28,Final_Tot,최종수요계
10,Agri,10,Agri,10,EleEqp,29,Tinput,총투입계,29,Dtotal,총수요계
11,Agri,11,Agri,11,Vehicle,,,,30,Qtotal,총산출
12,Agri,12,Agri,12,Manufac,,,,31,Qself,자가공정산출
13,Agri,13,Agri,13,PubSer,,,,32,Imp,수입
14,Agri,14,Agri,14,Electri,,,,33,Resout,잔폐물발생액
15,Agri,15,Agri,15,GasWat,,,,34,Stotal_b,총공급계기초가격
16,Agri,16,Agri,16,Const,,,,35,PTAXd,생산물세국산
17,Agri,17,Agri,17,TradSer,,,,36,PTAXim,생산물세수입
18,Agri,18,Agri,18,Transp,,,,37,Psub,생산물보조금차감
19,Agri,19,Agri,19,BusiSer,,,,38,Cmargin,도소매마진
20,Agri,20,Agri,,,,,,39,Tmargin,화물운임
21,Agri,21,Agri,,,,,,40,Contotal,가격전환계
22,Agri,22,Agri,,,,,,41,Stotal_p,총공급계
23,Agri,23,Agri,,,,,,,,
24,Agri,24,Agri,,,,,,,,
25,Agri,25,Agri,,,,,,,,
26,Mining,26,Mining,,,,,,,,
27,Mining,27,Mining,,,,,,,,
28,Mining,28,Mining,,,,,,,,
