"","CoalT","AnthraT","AnthraD","AnthraIm","BituT","BituCoke","BituSteam","PetroT","PetroENG","Gasoline","Kerosene","Diesel","BA","BB","BC","JA1","JP4","AVIG","LPG","Propane","Butane","PetroNENG","Naphta","Solvent","Asphalt","Lubricant","ParaWax","PetroCoke","OtherProd","LNG","TownGas","Hydro","Nuclear","Elect","Heat","Renewable","TotalE"
"ProdDom",958.341,958.341,958.341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.256,0,1391,31948,0,0,6064,40848.597
"Import",69824.507,4739.427,0,4739.427,65085.08,16416.92,48668.16,148517.60837,89510.532,13154.425,5086.856,36169.15,439.447,73.554,20798.208,13787.955,0,0.937,9688.333,4556.573,5131.76,49318.74337,42418.65,0,0,2462.79,0,182.172,4255.13137,38315.136,0,0,0,0,0,0,256657.25137
"PetroPro",0,0,0,0,0,0,0,116856.68837,86767.973,13154.425,5043.984,36067.344,439.447,73.554,18201.264,13787.955,0,0,3096.697,1413.097,1683.6,26992.01837,20091.925,0,0,2462.79,0,182.172,4255.13137,0,0,0,0,0,0,0,116856.68837
"PetroIm",0,0,0,0,0,0,0,31660.92,2742.559,0,42.872,101.806,0,0,2596.944,0,0,0.937,6591.636,3143.476,3448.16,22326.725,22326.725,0,0,0,0,0,0,0,0,0,0,0,0,0,31660.92
"Export",0,0,0,0,0,0,0,-42307.61594,-36154.078,-4627.775,-842.528,-17572.276,0,0,-3798.656,-9312.843,0,0,-81.613,-81.613,0,-6071.92494,-3801.75,0,0,-1786.785,0,-15.504,-467.88594,0,0,0,0,0,0,0,-42307.61594
"IntBunk",0,0,0,0,0,0,0,-7133.094,-7133.094,0,0,-469.802,-71.516,0,-5557.328,-1034.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7133.094
"Stock_d",184.619,184.619,158.24,26.379,0,0,0,-463.75936,-450.819,-74.925,-91.336,-114.882,2.823,-0.943,-137.824,-33.732,0,0,-34.939,-6.419,-28.52,21.99864,-60.125,0,0,96.305,0,-2.907,-11.27436,-1079.376,0,0,0,0,0,0,-1358.51636
"f_Stock",1050.395,1050.395,976.143,74.252,0,0,0,4789.72874,3291.871,376.475,301.036,1002.182,36.699,5.658,1310.272,259.549,0,0,209.37,119.21,90.16,1288.48774,986.05,0,0,243.1,0,4.845,54.49274,2054.792,0,0,0,0,0,0,7894.91574
"e_Stock",-864.799,-864.799,-817.903,-46.896,0,0,0,-5253.4981,-3744.552,-452.325,-392.372,-1117.064,-33.876,-6.601,-1448.096,-294.218,0,0,-243.392,-124.712,-118.68,-1265.5541,-1046.175,0,0,-145.86,0,-7.752,-65.7671,-3134.168,0,0,0,0,0,0,-9252.4651
"Diff",2084.439,132.351,37.582,94.769,1952.088,792.408,1159.68,-3865.72649,-2389.282,-341.325,-325.268,81.258,-85.631,121.647,-2107.008,267.045,0,0,464.919,-378.721,843.64,-1941.36349,724.275,0,0,-52.36,0,-45.543,-2567.73549,1156.216,0,0,0,0,0,0,-625.071489999999
"P_con",73049.953,6013.749,1153.174,4860.575,67036.204,17208.364,49827.84,91539.2200808816,40156.2885989359,8121.5,3871.26085036784,18366.7053854268,167.498,176.070697314243,6702.66446403804,2750.58920178893,0,0,10052.9431499864,4106.06314998638,5946.88,41329.9883319593,39281.975,0,0,719.95,0,118.218,1209.84533195933,38879.232,0.904999999998836,1391,31948,0,0,6064,242872.310080882
"Transform",-46022.19,-385.71,-385.71,0,-45636.48,0,-45636.48,-3685.02725,-3225.047,-0.925,-91.336,-32.69,0,0,-3100.096,0,0,0,-436.492,-436.492,0,-23.48825,0,0,0,0,0,0,-23.48825,-38879.232,19078.305,-1391,-31948,37338,1718,-718,-64509.14425
"E_Gene",-46022.19,-385.71,-385.71,0,-45636.48,0,-45636.48,-2947.49325,-2924.005,-0.925,-84.812,-31.756,0,0,-2806.512,0,0,0,0,0,0,-23.48825,0,0,0,0,0,0,-23.48825,-17214.872,-834.41,-1391,-31948,40811,1073,-718,-59191.96525
"Heating",0,0,0,0,0,0,0,-299.176,-299.176,0,-5.592,0,0,0,-293.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-765.688,-1047.085,0,0,0,713,0,-1398.949
"Gas_Manu",0,0,0,0,0,0,0,-437.426,-0.934,0,0,-0.934,0,0,0,0,0,0,-436.492,-436.492,0,0,0,0,0,0,0,0,0,-20649.168,20163.4,0,0,0,0,0,-923.194
"OwnUse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-249.504,797.305,0,0,-3474,-68,0,-2994.199
"F_con",27027.763,5628.039,767.464,4860.575,21399.724,17208.364,4191.36,87854.1928308816,36931.2415989359,8120.575,3779.92485036784,18334.0153854268,167.498,176.070697314243,3602.56846403804,2750.58920178893,0,0,9616.45114998639,3669.57114998639,5946.88,41306.5000819593,39281.975,0,0,719.95,0,118.218,1186.35708195933,0,19079.21,0,0,37338,1718,5346,178363.165830882
"Ind",26139.151,4739.427,0,4739.427,21399.724,17208.364,4191.36,51085.86438,6957.072,177.6,649.604,2731.95,109.156,126.362,3162.4,0,0,0,2935.824,1936.704,999.12,41192.96838,39281.975,0,0,719.95,0,114.342,1076.70138,0,6632.745,0,0,19193,0,4215,107265.76038
"AFF",0,0,0,0,0,0,0,2177.57012,2171.061,127.65,303.832,1589.668,39.522,55.637,54.752,0,0,0,2.751,2.751,0,3.75812,0,0,0,0,0,0,3.75812,0,4.525,0,0,864,0,0,3046.09512
"Min",0,0,0,0,0,0,0,87.98612,81.477,0,11.184,44.832,6.587,5.658,13.216,0,0,0,2.751,2.751,0,3.75812,0,0,0,0,0,0,3.75812,0,0,0,0,145,0,0,232.98612
"Manu",21399.724,0,0,0,21399.724,17208.364,4191.36,48004.74055,3909.208,37,290.784,436.178,35.758,45.264,3064.224,0,0,0,2912.899,1913.779,999.12,41182.63355,39281.975,0,0,719.95,0,114.342,1066.36655,0,6628.22,0,0,18184,0,0,94216.68455
