"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384"
"X26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.478803128682,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57506647647221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.207258509363,0,0,0,0,0,4188.22340599363,0,0,0,0,0,0,0,0,0,0,0,2.23848190428439,0,108.825389902981,0,0,0,0,0,7.24298603424503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1272210042869,0,385.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5083870460528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15104.6241742408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89476921919632,0,92.0889159028903,0,0,0,0,0,0,0,0,0,0,0,0,0,18.571870198073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228.46783127131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45636.48,0,2484.37442246098,0,0,1469.70201670673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38879.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11155183226282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.371166692696,0,0,25.1358535938376,0,0,0,0,0,0,0,31.7932077239419,0,0,0,0,0,9.15357247871394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9360953718224,0,94.7984072112497,2.26234260351721,28.266546736064,0,0,0,39.1498734878868,2.43601271125906,4.47142637399358,14165.1661466177,285.631752800871,201.989913310958,0,0,0,0,0,11.1403585112807,0,0,0,6.86807386083115,0,0.0439964272946028,0.20145732498055,2.26928940782688,0,0,0,44.1770442066543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250084955148269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X100",0,0,0,0,117.690833083225,4.27246506458735,0,0,0,99.5156927621159,0,0,0,0,0,35.035269763254,1.81936244097694,4.23021571907845,0,0,0,0,0,10.3431678973972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23813747136137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7586013710883,0,0,0,0,0,0,0,0,0,0,0,36.6935565744783,0,0,0,37.2137516410566,0,155.717884625328,8.5449301291747,53.4771090778882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689192448613905,0,0,0,0,0,0,0,8.19373244463198,19.7621313617872,47.2110030220997,0,0,0,0,0,0,0,0.675989528142374,0,0,0,0,0,0
"X101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24027.00521204,14615.517209461,198.476962355557,0,240.535371279309,0,39.2387558905304,0,0,0,0,0,153.354020893188,0,7.84746808041199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X102",8.11106194690266,0.222530878803653,0.651562869717477,0.626103828498415,5.70093937816478,1.73781529506412,1.31915550612844,0.231960153329232,0.0603473569637026,0.440347120344518,0,0.0301736784818513,0.00282878235767356,0.0122580568832521,0.0207444039562728,0.0867493256353225,0.0122580568832521,0.218759168993422,0.607245279447258,0.648734087359803,1.22580568832521,0.133895698263215,2.8099238086224,3.7943400690928,26.7631098859496,0.0829776158250911,0,0.0103722019781364,0.0575185746060291,0.0150868392409257,0.00754341962046283,0.950470872178316,0.190471345416686,0.190471345416686,1.6265498556623,0.524267663622166,0.541240357768208,0.886351805404382,1.67181037338507,0.824118593535564,1.52377076333349,1.41344825138422,0.314937769154323,0,0.842977142586721,0.711910226681179,3.73304978467654,0.395086602621741,1.48793952013629,1.15037149212058,1.16451540390895,0.416773934030571,0.994788462448535,2.96550683829445,4.97394231224268,0.287592873030145,0.895781079929961,1.45965169655956,0.623275046140741,2.99756637168142,0.753399034593725,0.448833467417538,0.41300222422034,0.996674317353651,0.959900146703895,2.46858407079646,0.611959916710047,4.79384316880413,5.62550518196015,1.38610335526004,0.548783777388671,7.75086366002555,19.9627170981023,4.84287539633713,0.0650619942264919,0.104664947233922,0.763771236571861,0.229131370971558,0.0169726941460414,1.20600421182149,1.58411812029719,0.0603473569637026,0.231017225876674,0.161240594387393,0.138610335526004,0.407344659504993,0.417716861483129,0.126352278642752,0.29419336519805,0.880694240689035,2.29131370971558,3.88957574180115,0.702480952155601,1.84908073446595,1.36818773366145,1.46436633382235,14.1467405707255,0.348883157446406,5.30585277554304,0.10560787468648,35.1853378921963,32.695066489991,29.3948204060385,13.0661457100942,85.6743883394066,29.044051393687,8.35339430221002,10.3401424447494,2.38843523732904,9.41324475888505,8.1949824901803,19.1753726752165,17.3904110075245,0.126352278642752,2.81463844588519,1.31915550612844,2.19796389191236,1.49265415739908,11.0652536557664,0.295136292650608,1.65672353414415,14.5503135204202,1.97071837584591,1.01553286640481,4.02724314987459,1.06456509393782,2.31865860583976,3.98481141450949,0.665706781505845,0.862778619090436,3.80754105342861,4.65711868818324,2.95136292650608,4.69766456864323,8.83334437556197,5.38034404429511,3.24272750934646,3.53597794709195,0.909924991718329,1.03250556055085,3.5840672471724,1.34084283753727,0.516724244001704,0.276277743599451,0.15369717476693,0.526153518527282,0.590272585301216,1.04853532724433,7.61225332449955,9.94788462448535,1.00798944678435,0.113151294306942,0.380942690833373,1.13717050778477,0.0924068903506696,0.816575173915101,2.92307510292935,0.223473806256211,11.9591488807913,3.79151128673513,1.00138895461644,0.842034215134163,4.7070938431688,2.22719464294165,1.94525933462685,1.16734418626662,3.08148691495906,1.10416804694525,0.176327433628319,0.395086602621741,0.165012304197624,0.574242818607733,0.29419336519805,1.58223226539208,1.3870462827126,6.08565377880839,1.46059462401211,4.79384316880413,6.26763877715205,1.23523496285079,1.53320003785907,3.93860796933415,4.1724539775685,9.54336874733803,11.2972138090956,0.637418957929109,1.86888221096967,1.91980029340779,5.02957503194359,1.34744332970517,1.37478822582935,5.17007122237471,4.07533244995504,1.96788959348824,1.76893190099853,7.40198050257915,3.27950167999621,6.68818442099285,0.83920543277649,14.8313059012825,1.07682315082107,6.37136079693342,8.59289787515972,2.03483744261985,2.22436586058398,5.53026950925181,1.8368226775827,0.429974918366381,1.0985104822299,1.4162770337419,0.301736784818513,1.59166153991766,9.45284771189248,3.86788841039231,1.82267876579433,2.26774052340164,4.77404169230041,2.76560621835218,2.42143769816857,3.63215654725285,0.589329657848658,1.15131441957314,5.31528205006862,1.06833680374805,6.95503289006673,10.8983554966637,0.969329421229473,4.67786309213951,1.42570630826747,1.08908120770432,0.852406417112299,0.557270124461691,1.26918035114287,0.911810846623444,12.068528465288,2.23190928020444,3.29836022904737,1.01553286640481,1.04570654488666,1.24089252756614,0.668535563863518,2.92778974019213,1.68029672045809,2.24039562727746,1.39081799252283,1.10322511949269,0.931612323127159,0.0471463726278927,52.8444832236998,3.29364559178458,3.52937745492405,0.70719558941839,0.0660049216790497,0.813746391557427,19.1895165870049,17.3385499976338,4.05364511854621,4.89096469641759,0.977815768302494,0.788287350338365,0.0688337040367233,0.385657328096162,1.60203374189579,0.637418957929109,3.07582935024372,0.245161137665042,0.438461265439402,0.125409351190195,0.302679712271071,0.198957692489707,0.778858075812787,0.240446500402253,74.8005489565094,0.379999763380815,9.85924944394491,2.07066868581705,0.82128981117789,0.196128910132034,0.184813780701339,0.345111447636174,1.24937887463916,2.51573044342435,3.94237967914439,0.0810917609199754,10.415576640954,0.345111447636174,12.0600421182149,26.2209266007288,5.25776347546259,13.8987506507028,4.2620320855615,3.06640007571814,5.32376839714164,2.85046968908239,7.30580190241825,7.47552884387866,0.384714400643604,3.09845960910511,2.87970044011168,0.0999503099711325,6.69478491316076,268.894621645923,82.3609412711183,0.456376887038001,0.032059533386967,11.3443601817235,19.5251987601155,10.2053038190336,4.10833491079457,6.83433817613932,13.69130661114,21.9730384269557,1.97166130329847,2.42143769816857,9.6112595239222,4.64957526856278,12.99825493351,9.43587501774644,1.36064431404098,3.99046897922484,9.26426222138091,4.31106431309451,5.56704367990157,13.9911575410534,7.27091358667361,2.76089158108939,0.594044295111448,20.6406819364914,28.2114464530784,30.7733803416781,2.88347214992192,6.14222942596186,8.55046613979462,9.48585017273201,31.2429582130519,3.38793833704037,19.9683746628177,6.20351971037812,11.5763203350528,10.2203906582746,0,49.6743611282003,7.1323032511476,33.5276714305996,8.89557758743079,5.10123751833799,1.20694713927405,0.250818702380389,11.914831290521,27.177997965075,43.166275850646,4.79290024135157,56.6652252614642,32.712039184137,26.860231413563,57.1970363447068,17.186738677772,7.62734016374048,44.4231981449056,11.8563697884624,2.917417538214,46.7390279683877,8.92103662864985,11.9374615493824,2.54778997681132,23.3431120155222,24.3275282759926,1.14848563721547,0.430917845818939,20.6152228952723,3.54069258435474,9.38684279021343,2.44783966684019,20.9179026075434,15.8845558657896,4.40912876816052,27.657948038427,13.9091228526809,1.36724480620889,4.32049358762008,11.4169655955705,1.94148762481662,0,8.5844115280867
"X103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61256037581181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.6786589042882,0,0,0,0,0,0,0,0,0,0,0,0,0.230832410312022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2537.52380966213,0,0,38.8566075971696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.5555285682654,0.131204270955654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X104",0.690372948815375,0.0173506428935081,0.0520519286805243,0.0529651204117616,143.716288278659,0.0310485188620672,1.52959614982243,0.285829011877265,0.071228955036507,1.57616892811553,0,0.0392672444432026,0.00273957519371181,0.905886197387371,5.40426866546216,1.4994608226916,0.486731192749464,0.0210034098184572,0.00456595865618635,0.148850252191675,0.15706897777281,0.0210034098184572,10.380250408974,1.21271861908309,4.38697307686384,0.35431839172006,0,0.00456595865618635,0.0255693684746435,0.013697875968559,0.01004510904361,0.970722810305217,0.301353271308299,0.126020458910743,0.963417276455319,0.315964339008095,1.09217731055977,0.669369538996918,1.18258329195226,0.336054557095315,0.597227392229174,0.697678482665274,0.172593237203844,0,0.205468139528386,0.877577253719016,2.70578709965603,0.473033316780905,0.871184911600355,0.28765539533974,1.12322582942184,0.263912410327571,0.38445371885089,1.34056546145631,2.26106272654348,0.0146110676997963,0.101364282167337,0.0986247069736251,0.0776212971551679,0.906799389118608,0.033788094055779,0.427373730219042,0.182638346247454,1.20906585215814,0.950632592217997,1.87843539115506,0.265738793790045,1.45928038651716,0.182638346247454,1.25563863045125,0.0867532144675406,1.47297826248572,10.9290786394476,1.04103857361049,0.0529651204117616,0.169853662010132,0.540609504892463,0.378061376732229,0.0273957519371181,0.588095474916801,0.977115152423878,0.0219166015496945,0.331488598439129,0.210034098184572,0.102277473898574,0.246561767434063,0.846528734856948,0.115062158135896,1.56064466868449,0.340620515751501,0.638321020134851,0.83922320100705,0.452943098693685,0.596314200497937,0.437418839262652,0.315964339008095,5.59603892902199,0.023742985012169,2.31950699734266,0.01004510904361,23.9055331403292,21.7650117223091,19.3587515104989,8.75111636044675,55.2289227134988,19.4226749316855,5.89008666648039,7.11741635326328,2.30946188829905,5.19514775900882,4.00251935801295,6.92838566489716,8.08905235529973,0.139718334879302,2.92403992342174,0.336054557095315,5.11843965358489,3.50209028929493,2.8619428856976,0.159808552966522,1.27298927334475,2.0948618314583,0.566178873367107,0.233777083196741,3.82079420349673,0.223731974153131,2.8299811751043,0.926889607205828,0.254780493015198,0.173506428935081,4.47463948306262,3.90024188411438,1.76519961648164,2.83089436683553,5.93300667784854,3.80344356060323,0.795389997907661,1.12779178807803,1.72045322165102,4.27921645257784,30.6293638574292,10.8952905453919,3.71303757921074,4.83352383343887,1.71406087953235,0.36436350076367,1.70127619529503,3.63450309032433,2.44096149759722,1.59443276274027,0.233777083196741,0.108669816017235,0.235603466659215,13.4896682538369,0.149763443922912,1.75150174051308,3.52948604123205,1.09309050229101,28.5911199133077,5.41431377450577,1.35426333742487,1.46384634517334,6.38594977654222,2.41721851258505,5.37048057140638,3.56327413528782,9.24058712838993,2.2418857001875,0.173506428935081,0.473033316780905,0.192683455291064,0.219166015496945,0.0894927896612524,1.68301236067029,3.0089667544268,0.840136392738288,2.08664310587716,2.79893265624223,3.31853875131624,0.988073453198725,1.68392555240152,2.7541862614116,3.15690381488724,9.92639411854912,11.6532396823188,0.50499502737421,1.07117390074132,0.4949499183306,3.01353271308299,1.96427541389137,0.655671663028359,6.56128258893978,1.05656283304152,2.04463628624025,0.800869148295085,1.83916814671186,1.39079100667436,0.766167862508069,0.43467926406894,2.77062371257387,0.350665624795111,2.05924735394004,1.73141152242586,0.904973005656134,2.84915820146028,1.77707110898773,0.584442707991852,0.131499609298167,0.381714143657178,0.205468139528386,0.162548128160234,0.369842651151094,1.20358670177072,1.89852560924228,0.608185693004021,0.462075016006058,2.51310364436496,1.20815266042691,0.66206400514702,0.966156851649031,1.2054130852332,2.52954109552724,2.09668821492077,2.7003079492686,7.6032343542815,7.59227605350666,0.700418057858985,6.19509270471363,0.917757689893456,0.881230020643965,1.08943773536606,0.465727782931007,1.39627015706178,0.66206400514702,13.105214534986,1.83734176324939,4.27008453526547,0.841049584469525,0.684893798427952,0.610925268197733,0.318703914201807,1.19902074311453,0.505908219105447,1.14605562270277,0.522345670267718,0.458422249081109,0.794476806176424,0.0538783121429989,5.25450522153925,0.754296370001984,1.11409391210947,0.406370320400585,0.137891951416828,1.42275271726767,9.76749875731383,3.92763763605149,1.23920117928897,8.63422781884838,0.352492008257586,0.473946508512143,0.101364282167337,0.119628116792082,1.55242594310336,0.246561767434063,1.18532286714598,0.111409391210947,0.248388150896537,0.0255693684746435,0.118714925060845,0.245648575702825,1.0218615472545,0.314137955545621,45.5637014300835,1.76337323301917,94.3190079608413,10.4204308451485,1.3378258862626,0.908625772581083,1.1442292392403,1.06021559996647,0.805435106951271,1.0218615472545,1.51407189039139,0.198162605678487,4.30843858797744,0.18720430490364,8.34109327312122,10.2715805929568,6.30376252073087,3.34136854459717,3.41898984175234,0.671195922459393,2.59529090017632,2.07477161337108,0.663890388609495,2.75053349448665,0.127846842373218,0.460248632543584,1.22367691985794,0.033788094055779,2.94869610016514,224.060723176376,166.315957243319,1.58073488677171,0.105017049092286,30.2193407701037,8.55478013823074,1.40996803303034,23.1211014431964,5.11387369492871,0.602706542616598,9.67344000899639,0.877577253719016,1.89943880097352,1.08578496844111,5.10474177761633,5.53394189129785,278.11254174831,5.84716665511223,83.263908862483,45.869620660048,1.96975456427879,0.958851317799133,1.94875115446033,2.96513355132741,0.269391560714994,0.383540527119653,4.76594764532731,4.20342153888515,2.80167223143594,0.440158414456364,1.03921219014801,2.01815372603436,1.81999112035588,5.79694110989418,2.09120906453335,4.01165127532532,7.84523016305938,2.45100660664083,1.60265148832141,0,27.2560336022388,4.75133657762751,30.7964779442457,4.82895787478268,10.7026070901008,0.568918448560819,0.243822192240351,5.24993926288306,9.90995666738684,3.96142573010727,0.2474749591653,5.22436989440842,2.14417418494511,2.88020672032235,12.1408840667995,6.27362719360004,7.9584659377328,17.8739017555071,23.8069084333556,15.5196934723774,99.8465575100205,43.6432592192916,65.5260726749302,1.04012538187925,5.84077431299357,5.04447112335467,0.486731192749464,0.342446899213976,15.1188023023642,12.2449879241605,5.65083043289622,1.93779285368549,18.8711071260182,7.17494743233122,3.62445798128072,14.1316420408967,3.09206720196939,1.07117390074132,4.36049051665796,29.7919670398847,3.53861795854442,0,29.6367244455743
