t,Emiter,Q_Emitter,CCF,Q_gas,GHG,CRF,Unit,Ind_2F7
1990,CLK,29280977,0.5071,,CO2,2A,ton,
1995,CLK,51893821,0.5071,,CO2,2A,ton,
2000,CLK,45718729,0.5071,,CO2,2A,ton,
2008,CLK,46794815,0.5071,,CO2,2A,ton,
2009,CLK,44774389,0.5071,,CO2,2A,ton,
2010,CLK,44853095,0.5071,,CO2,2A,ton,
1990,LST,4997605,0.44,,CO2,2A,ton,
1995,LST,7222765,0.44,,CO2,2A,ton,
2000,LST,7958971,0.44,,CO2,2A,ton,
2008,LST,11230021,0.44,,CO2,2A,ton,
2009,LST,9965583,0.44,,CO2,2A,ton,
2010,LST,13126885,0.44,,CO2,2A,ton,
1990,DIM,544308,0.477,,CO2,2A,ton,
1995,DIM,1004985,0.477,,CO2,2A,ton,
2000,DIM,639962,0.477,,CO2,2A,ton,
2008,DIM,911100,0.477,,CO2,2A,ton,
2009,DIM,917060,0.477,,CO2,2A,ton,
2010,DIM,785396,0.477,,CO2,2A,ton,
1990,SA,510299,0.415,,CO2,2A,ton,
1995,SA,667324,0.415,,CO2,2A,ton,
2000,SA,687938,0.415,,CO2,2A,ton,
2008,SA,568867,0.415,,CO2,2A,ton,
2009,SA,466853,0.415,,CO2,2A,ton,
2010,SA,523762,0.415,,CO2,2A,ton,
1990,CB,215320,0.011,,CH4,2B,ton,
1995,CB,323059,0.011,,CH4,2B,ton,
2000,CB,456276,0.011,,CH4,2B,ton,
2008,CB,488656,0.011,,CH4,2B,ton,
2009,CB,472104,0.011,,CH4,2B,ton,
2010,CB,536308,0.011,,CH4,2B,ton,
1990,ET,1064959,0.001,,CH4,2B,ton,
1995,ET,3721777,0.001,,CH4,2B,ton,
2000,ET,5536976,0.001,,CH4,2B,ton,
2008,ET,7070832,0.001,,CH4,2B,ton,
2009,ET,7412807,0.001,,CH4,2B,ton,
2010,ET,7396364,0.001,,CH4,2B,ton,
1990,CET,266135,0.0004,,CH4,2B,ton,
1995,CET,317936,0.0004,,CH4,2B,ton,
2000,CET,589693,0.0004,,CH4,2B,ton,
2008,CET,632004,0.0004,,CH4,2B,ton,
2009,CET,656357,0.0004,,CH4,2B,ton,
2010,CET,743598,0.0004,,CH4,2B,ton,
1990,ST,443364,0.004,,CH4,2B,ton,
1995,ST,1368014,0.004,,CH4,2B,ton,
2000,ST,2466545,0.004,,CH4,2B,ton,
2008,ST,2757655,0.004,,CH4,2B,ton,
2009,ST,2769926,0.004,,CH4,2B,ton,
2010,ST,2823567,0.004,,CH4,2B,ton,
1990,CE,19667,3.6,,CO2,2C,ton,
1995,CE,38279,3.6,,CO2,2C,ton,
2000,CE,41028,3.6,,CO2,2C,ton,
2008,CE,60830,3.6,,CO2,2C,ton,
2009,CE,43129,3.6,,CO2,2C,ton,
2010,CE,49381,3.6,,CO2,2C,ton,
1995,,,,640,HFC-152a,2F,kg,
2000,,,,217857,HFC-152a,2F,kg,
2005,,,,164350,HFC-152a,2F,kg,
2008,,,,72257,HFC-152a,2F,kg,
2009,,,,50140,HFC-152a,2F,kg,
2010,,,,68900,HFC-152a,2F,kg,
1995,,,,1904013,HFC-134a,2F,kg,
2000,,,,3898603,HFC-134a,2F,kg,
2005,,,,4968900,HFC-134a,2F,kg,
2008,,,,5111023,HFC-134a,2F,kg,
2009,,,,4330157,HFC-134a,2F,kg,
2010,,,,6026921,HFC-134a,2F,kg,
2008,,,,277.5,CF4,2F7,ton,Semicon
2008,,,,177.4,C2F6,2F7,ton,Semicon
2008,,,,96.2,C3F8,2F7,ton,Semicon
2008,,,,29.5,C4F8,2F7,ton,Semicon
2008,,,,51.3,CHF3,2F7,ton,Semicon
2008,,,,7.2,CH2F2,2F7,ton,Semicon
2008,,,,76.9,SF6,2F7,ton,Semicon
2008,,,,109.5,CO2,2F7,ton,Semicon
2008,,,,6.2,CH4,2F7,ton,Semicon
2008,,,,799.1,N2O,2F7,ton,Semicon
2009,,,,237.9,CF4,2F7,ton,Semicon
2009,,,,120.4,C2F6,2F7,ton,Semicon
2009,,,,71.5,C3F8,2F7,ton,Semicon
2009,,,,23.7,C4F8,2F7,ton,Semicon
2009,,,,51.5,CHF3,2F7,ton,Semicon
2009,,,,5.3,CH2F2,2F7,ton,Semicon
2009,,,,69.3,SF6,2F7,ton,Semicon
2009,,,,95.7,CO2,2F7,ton,Semicon
2009,,,,8.4,CH4,2F7,ton,Semicon
2009,,,,747.6,N2O,2F7,ton,Semicon
2010,,,,292,CF4,2F7,ton,Semicon
2010,,,,132.9,C2F6,2F7,ton,Semicon
2010,,,,70,C3F8,2F7,ton,Semicon
2010,,,,37.5,C4F8,2F7,ton,Semicon
2010,,,,66.1,CHF3,2F7,ton,Semicon
2010,,,,7.5,CH2F2,2F7,ton,Semicon
2010,,,,88.3,SF6,2F7,ton,Semicon
2010,,,,140.7,CO2,2F7,ton,Semicon
2010,,,,16.4,CH4,2F7,ton,Semicon
2010,,,,908.8,N2O,2F7,ton,Semicon
2008,,,,1.6,CF4,2F7,ton,LCD
2008,,,,0.2,C4F8,2F7,ton,LCD
2008,,,,0.9,CHF3,2F7,ton,LCD
2008,,,,0,C2HF5,2F7,ton,LCD
2008,,,,535.7,SF6,2F7,ton,LCD
2008,,,,159.1,CO2,2F7,ton,LCD
2008,,,,13.8,N2O,2F7,ton,LCD
2008,,,,10,Remains,2F7,per,LCD
2009,,,,2.6,CF4,2F7,ton,LCD
2009,,,,0.2,C4F8,2F7,ton,LCD
2009,,,,1.6,CHF3,2F7,ton,LCD
2009,,,,0,C2HF5,2F7,ton,LCD
2009,,,,729.8,SF6,2F7,ton,LCD
2009,,,,538.1,CO2,2F7,ton,LCD
2009,,,,23.1,N2O,2F7,ton,LCD
2009,,,,10,Remains,2F7,per,LCD
2010,,,,5.1,CF4,2F7,ton,LCD
2010,,,,0.08,C4F8,2F7,ton,LCD
2010,,,,2.2,CHF3,2F7,ton,LCD
2010,,,,0.5,C2HF5,2F7,ton,LCD
2010,,,,889.3,SF6,2F7,ton,LCD
2010,,,,1032.9,CO2,2F7,ton,LCD
2010,,,,73,N2O,2F7,ton,LCD
2010,,,,10,Remains,2F7,per,LCD
1990,DairlyCattle,504,118,,CH4,4A,1000h,
1991,DairlyCattle,500,118,,CH4,4A,1000h,
1992,DairlyCattle,503,118,,CH4,4A,1000h,
1993,DairlyCattle,519,118,,CH4,4A,1000h,
1994,DairlyCattle,538,118,,CH4,4A,1000h,
1995,DairlyCattle,553,118,,CH4,4A,1000h,
1996,DairlyCattle,552,118,,CH4,4A,1000h,
1997,DairlyCattle,550,118,,CH4,4A,1000h,
1998,DairlyCattle,545,118,,CH4,4A,1000h,
1999,DairlyCattle,539,118,,CH4,4A,1000h,
2000,DairlyCattle,539,118,,CH4,4A,1000h,
2001,DairlyCattle,542,118,,CH4,4A,1000h,
2002,DairlyCattle,545,118,,CH4,4A,1000h,
2003,DairlyCattle,537,118,,CH4,4A,1000h,
2004,DairlyCattle,520,118,,CH4,4A,1000h,
2005,DairlyCattle,498,118,,CH4,4A,1000h,
2006,DairlyCattle,485,118,,CH4,4A,1000h,
2007,DairlyCattle,470,118,,CH4,4A,1000h,
2008,DairlyCattle,459,118,,CH4,4A,1000h,
2009,DairlyCattle,448,118,,CH4,4A,1000h,
2010,DairlyCattle,440,118,,CH4,4A,1000h,
1990,BeefCattle,1622,47,,CH4,4A,1000h,
1991,BeefCattle,1697,47,,CH4,4A,1000h,
1992,BeefCattle,1805,47,,CH4,4A,1000h,
1993,BeefCattle,2017,47,,CH4,4A,1000h,
1994,BeefCattle,2224,47,,CH4,4A,1000h,
1995,BeefCattle,2416,47,,CH4,4A,1000h,
1996,BeefCattle,2610,47,,CH4,4A,1000h,
1997,BeefCattle,2724,47,,CH4,4A,1000h,
1998,BeefCattle,2654,47,,CH4,4A,1000h,
1999,BeefCattle,2357,47,,CH4,4A,1000h,
2000,BeefCattle,1975,47,,CH4,4A,1000h,
2001,BeefCattle,1649,47,,CH4,4A,1000h,
2002,BeefCattle,1469,47,,CH4,4A,1000h,
2003,BeefCattle,1432,47,,CH4,4A,1000h,
2004,BeefCattle,1519,47,,CH4,4A,1000h,
2005,BeefCattle,1655,47,,CH4,4A,1000h,
2006,BeefCattle,1768,47,,CH4,4A,1000h,
2007,BeefCattle,1946,47,,CH4,4A,1000h,
2008,BeefCattle,2150,47,,CH4,4A,1000h,
2009,BeefCattle,2422,47,,CH4,4A,1000h,
2010,BeefCattle,2662,47,,CH4,4A,1000h,
1990,Pig,4528,1.5,,CH4,4A,1000h,
1991,Pig,4787,1.5,,CH4,4A,1000h,
1992,Pig,5012,1.5,,CH4,4A,1000h,
1993,Pig,5479,1.5,,CH4,4A,1000h,
1994,Pig,5782,1.5,,CH4,4A,1000h,
1995,Pig,6115,1.5,,CH4,4A,1000h,
1996,Pig,6311,1.5,,CH4,4A,1000h,
1997,Pig,6691,1.5,,CH4,4A,1000h,
1998,Pig,7052,1.5,,CH4,4A,1000h,
1999,Pig,7501,1.5,,CH4,4A,1000h,
2000,Pig,7874,1.5,,CH4,4A,1000h,
2001,Pig,8266,1.5,,CH4,4A,1000h,
2002,Pig,8636,1.5,,CH4,4A,1000h,
2003,Pig,8975,1.5,,CH4,4A,1000h,
2004,Pig,9038,1.5,,CH4,4A,1000h,
2005,Pig,9034,1.5,,CH4,4A,1000h,
2006,Pig,8944,1.5,,CH4,4A,1000h,
2007,Pig,9176,1.5,,CH4,4A,1000h,
2008,Pig,9218,1.5,,CH4,4A,1000h,
2009,Pig,9426,1.5,,CH4,4A,1000h,
2010,Pig,9518,1.5,,CH4,4A,1000h,
1990,chicken,74463,0,,CH4,4A,1000h,
1991,chicken,74659,0,,CH4,4A,1000h,
1992,chicken,74214,0,,CH4,4A,1000h,
1993,chicken,73708,0,,CH4,4A,1000h,
1994,chicken,75613,0,,CH4,4A,1000h,
1995,chicken,79771,0,,CH4,4A,1000h,
1996,chicken,83066,0,,CH4,4A,1000h,
1997,chicken,85627,0,,CH4,4A,1000h,
1998,chicken,85643,0,,CH4,4A,1000h,
1999,chicken,89562,0,,CH4,4A,1000h,
2000,chicken,94327,0,,CH4,4A,1000h,
2001,chicken,99872,0,,CH4,4A,1000h,
2002,chicken,102211,0,,CH4,4A,1000h,
2003,chicken,101035,0,,CH4,4A,1000h,
2004,chicken,102483,0,,CH4,4A,1000h,
2005,chicken,105127,0,,CH4,4A,1000h,
2006,chicken,111848,0,,CH4,4A,1000h,
2007,chicken,116058,0,,CH4,4A,1000h,
2008,chicken,119443,0,,CH4,4A,1000h,
2009,chicken,125972,0,,CH4,4A,1000h,
2010,chicken,135917,0,,CH4,4A,1000h,
1990,goat,211,5,,CH4,4A,1000h,
1991,goat,279,5,,CH4,4A,1000h,
1992,goat,353,5,,CH4,4A,1000h,
1993,goat,468,5,,CH4,4A,1000h,
1994,goat,554,5,,CH4,4A,1000h,
1995,goat,614,5,,CH4,4A,1000h,
1996,goat,653,5,,CH4,4A,1000h,
1997,goat,653,5,,CH4,4A,1000h,
1998,goat,606,5,,CH4,4A,1000h,
1999,goat,549,5,,CH4,4A,1000h,
2000,goat,498,5,,CH4,4A,1000h,
2001,goat,465,5,,CH4,4A,1000h,
2002,goat,445,5,,CH4,4A,1000h,
2003,goat,456,5,,CH4,4A,1000h,
2004,goat,485,5,,CH4,4A,1000h,
2005,goat,511,5,,CH4,4A,1000h,
2006,goat,505,5,,CH4,4A,1000h,
2007,goat,454,5,,CH4,4A,1000h,
2008,goat,369,5,,CH4,4A,1000h,
2009,goat,296,5,,CH4,4A,1000h,
2010,goat,253,5,,CH4,4A,1000h,
1990,sheep,3,5,,CH4,4A,1000h,
1991,sheep,3,5,,CH4,4A,1000h,
1992,sheep,4,5,,CH4,4A,1000h,
1993,sheep,3,5,,CH4,4A,1000h,
1994,sheep,2,5,,CH4,4A,1000h,
1995,sheep,2,5,,CH4,4A,1000h,
1996,sheep,2,5,,CH4,4A,1000h,
1997,sheep,2,5,,CH4,4A,1000h,
1998,sheep,1,5,,CH4,4A,1000h,
1999,sheep,1,5,,CH4,4A,1000h,
2000,sheep,1,5,,CH4,4A,1000h,
2001,sheep,1,5,,CH4,4A,1000h,
2002,sheep,1,5,,CH4,4A,1000h,
2003,sheep,1,5,,CH4,4A,1000h,
2004,sheep,1,5,,CH4,4A,1000h,
2005,sheep,1,5,,CH4,4A,1000h,
2006,sheep,1,5,,CH4,4A,1000h,
2007,sheep,1,5,,CH4,4A,1000h,
2008,sheep,2,5,,CH4,4A,1000h,
2009,sheep,3,5,,CH4,4A,1000h,
2010,sheep,4,5,,CH4,4A,1000h,
1990,horse,5,18,,CH4,4A,1000h,
1991,horse,5,18,,CH4,4A,1000h,
1992,horse,5,18,,CH4,4A,1000h,
1993,horse,5,18,,CH4,4A,1000h,
1994,horse,5,18,,CH4,4A,1000h,
1995,horse,6,18,,CH4,4A,1000h,
1996,horse,6,18,,CH4,4A,1000h,
1997,horse,7,18,,CH4,4A,1000h,
1998,horse,8,18,,CH4,4A,1000h,
1999,horse,8,18,,CH4,4A,1000h,
2000,horse,9,18,,CH4,4A,1000h,
2001,horse,10,18,,CH4,4A,1000h,
2002,horse,12,18,,CH4,4A,1000h,
2003,horse,14,18,,CH4,4A,1000h,
2004,horse,16,18,,CH4,4A,1000h,
2005,horse,18,18,,CH4,4A,1000h,
2006,horse,21,18,,CH4,4A,1000h,
