GHG,ind,R1,R2,R3,R_CF4,R_C2F6,R4,R_CHF3
CF4,Semicon,0.1,0.9,0,0,0,0,
C2F6,Semicon,0.1,0.6,0,0.2,0,0,
C3F8,Semicon,0.1,0.4,0,0.1,0,0,
C4F8,Semicon,0.1,0.1,0,0.1,0.1,0,
CHF3,Semicon,0.1,0.4,0,0.07,0,0,
CH2F2,Semicon,0.1,0.1,0,0.08,0,0,
SF6,Semicon,0.1,0.2,0,0,0,0,
CO2,Semicon,0.1,0,0,0,0,0,
CH4,Semicon,0.1,0,0,0,0,0,
N2O,Semicon,0.1,0,0,0,0,0,
CF4,LCD,0.1,0.6,0,0,0,0,0
C4F8,LCD,0.1,0.1,0,0.009,0.02,0,0
CHF3,LCD,0.1,0.2,0,0.07,0,0.05,0
C2HF5,LCD,0.1,0,0,0,0,0,0
SF6,LCD,0.1,0.3,0,0,0,0,0
CO2,LCD,0.1,0,0,0,0,0,0
N2O,LCD,0.1,0,0,0,0,0,0
Remains,LCD,,,,,,,
