,x,,,2010,,
X1,247.022 ,,1,247013,0,0%
X2,11.770 ,,2,11770,0,0%
X3,19.499 ,,3,19498,0,0%
X4,18.957 ,,4,18956,0,0%
X5,1099.920 ,,5,1099919,0,0%
X6,184.529 ,,6,184516,0,0%
X7,36.949 ,,7,36948,0,0%
X8,7.110 ,,8,7110,0,0%
X9,1.760 ,,9,1760,0,0%
X10,1112.936 ,,10,1112935,0,0%
X11,0.000 ,,11,,0,
X12,0.876 ,,12,876,0,0%
X13,0.066 ,,13,66,0,-1%
X14,7.866 ,,14,7856,0,0%
X15,23.893 ,,15,23657,0,-1%
X16,160.801 ,,16,160774,0,0%
X17,44.822 ,,17,44819,0,0%
X18,24.968 ,,18,24946,0,0%
X19,18.085 ,,19,18084,0,0%
X20,20.792 ,,20,20781,0,0%
X21,13.219 ,,21,13219,0,0%
X22,1.228 ,,22,1227,0,0%
X23,2110.370 ,,23,2109792,0,0%
X24,202.304 ,,24,202216,0,0%
X25,221.657 ,,25,221629,0,0%
X26,5.023 ,,26,5018,0,0%
X27,0.000 ,,27,,0,#DIV/0!
X28,0.322 ,,28,322,0,0%
X29,1.827 ,,29,1827,0,0%
X30,6.111 ,,30,6108,0,0%
X31,2.340 ,,31,2339,0,0%
X32,293.649 ,,32,293527,0,0%
X33,98.108 ,,33,98080,0,0%
X34,36.053 ,,34,36043,0,0%
X35,35.207 ,,35,35140,0,0%
X36,11.075 ,,36,11054,0,0%
X37,33.680 ,,37,33655,0,0%
X38,35.637 ,,38,35597,0,0%
X39,69.833 ,,39,69759,0,0%
X40,31.037 ,,40,31024,0,0%
X41,60.445 ,,41,60421,0,0%
X42,21.197 ,,42,21172,0,0%
X43,10.102 ,,43,10093,0,0%
X44,0.000 ,,44,,0,#DIV/0!
X45,22.766 ,,45,22766,0,0%
X46,36.156 ,,46,36153,0,0%
X47,159.314 ,,47,159128,0,0%
X48,26.972 ,,48,26962,0,0%
X49,54.022 ,,49,54011,0,0%
X50,98.967 ,,50,98941,0,0%
X51,47.195 ,,51,47184,0,0%
X52,30.799 ,,52,30795,0,0%
X53,20.580 ,,53,20565,0,0%
X54,86.063 ,,54,86040,0,0%
X55,133.982 ,,55,133947,0,0%
X56,24.583 ,,56,24582,0,0%
X57,10.600 ,,57,10597,0,0%
X58,22.167 ,,58,22161,0,0%
X59,19.539 ,,59,19535,0,0%
X60,104.245 ,,60,104222,0,0%
X61,28.713 ,,61,28686,0,0%
X62,25.456 ,,62,25435,0,0%
X63,16.706 ,,63,16688,0,0%
X64,36.606 ,,64,36541,0,0%
X65,20.166 ,,65,20102,0,0%
X66,116.607 ,,66,116454,0,0%
X67,18.881 ,,67,18856,0,0%
X68,117.048 ,,68,116930,0,0%
X69,144.139 ,,69,143978,0,0%
X70,57.234 ,,70,57168,0,0%
X71,8.629 ,,71,8615,0,0%
X72,110.373 ,,72,110291,0,0%
X73,291.557 ,,73,291091,0,0%
X74,84.713 ,,74,84653,0,0%
X75,2.420 ,,75,2418,0,0%
X76,3.491 ,,76,3484,0,0%
X77,29.459 ,,77,29432,0,0%
X78,15.907 ,,78,15220,0,-5%
X79,0.570 ,,79,568,0,0%
X80,28.156 ,,80,28127,0,0%
X81,45.729 ,,81,45692,0,0%
X82,3.402 ,,82,3490,0,3%
X83,19.527 ,,83,19506,0,0%
X84,8.051 ,,84,8040,0,0%
X85,27.362 ,,85,27342,0,0%
X86,8.396 ,,86,8389,0,0%
X87,12.714 ,,87,12694,0,0%
X88,3.009 ,,88,3003,0,0%
X89,32.174 ,,89,32162,0,0%
X90,134.388 ,,90,134333,0,0%
X91,170.208 ,,91,169986,0,0%
X92,79.700 ,,92,79581,0,0%
X93,30.785 ,,93,30756,0,0%
X94,22.964 ,,94,22939,0,0%
X95,45.987 ,,95,45957,0,0%
X96,47.245 ,,96,47231,0,0%
X97,148.618 ,,97,148336,0,0%
X98,7.809 ,,98,7800,0,0%
X99,112.682 ,,99,111958,0,-1%
X100,2.561 ,,100,2559,0,0%
X101,533.092 ,,101,532038,0,0%
X102,555.721 ,,102,559705,0,1%
X103,471.269 ,,103,469620,0,0%
X104,212.149 ,,104,211344,0,0%
X105,1357.875 ,,105,1367517,0,1%
X106,465.112 ,,106,464355,0,0%
X107,144.165 ,,107,143826,0,0%
X108,178.986 ,,108,174062,0,-3%
X109,426.645 ,,109,479488,0,11%
X110,520.291 ,,110,574834,0,9%
X111,18701.661 ,,111,18713514,0,0%
X112,11365.425 ,,112,11364981,0,0%
X113,1150.215 ,,113,1155165,0,0%
X114,439.545 ,,114,439575,0,0%
X115,406.365 ,,115,406979,0,0%
X116,53.344 ,,116,53337,0,0%
X117,2026.229 ,,117,2026556,0,0%
X118,73.270 ,,118,73161,0,0%
X119,370.929 ,,119,374326,0,1%
X120,56.221 ,,120,57676,0,3%
X121,72.807 ,,121,72645,0,0%
X122,299.973 ,,122,299773,0,0%
X123,206.599 ,,123,206605,0,0%
X124,23.869 ,,124,23841,0,0%
X125,382.025 ,,125,381933,0,0%
X126,44.153 ,,126,44044,0,0%
X127,85.955 ,,127,85909,0,0%
X128,63.891 ,,128,63770,0,0%
X129,114.673 ,,129,114608,0,0%
X130,16.680 ,,130,16680,0,0%
X131,527.153 ,,131,539673,0,2%
X132,231.795 ,,132,231712,0,0%
X133,105.931 ,,133,105863,0,0%
X134,192.593 ,,134,192479,0,0%
X135,412.126 ,,135,411893,0,0%
X136,240.991 ,,136,240873,0,0%
