GTAP_K,,,,,,,,GTAPK_R,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,PFCs,SF6,,GHG,CO2,CH4,N2O,HFCs,PFCs,SF6,,GHG,CO2,CH4,N2O,HFCs,PFCs,SF6
1,," 6,122,285 "," 871,743 ",,,,,X1, - ," 6,122,285 "," 871,743 ", - , - , - ,,X1, - , 0 ,-0 , - , - , - 
2,, 662 ," 24,585 ",,,,,X2, - , 662 ," 24,585 ", - , - , - ,,X2, - ,-0 ,-0 , - , - , - 
3,," 1,930 "," 52,742 ",,,,,X3, - ," 1,930 "," 52,742 ", - , - , - ,,X3, - , 0 ,-0 , - , - , - 
4,,," 61,192 ",,,,,X4, - , - ," 61,192 ", - , - , - ,,X4, - , - , 0 , - , - , - 
5,," 31,874 "," 1,205,172 ",,,,,X5, - ," 31,874 "," 1,205,172 ", - , - , - ,,X5, - , 0 ,-0 , - , - , - 
6,,," 436,275 ",,,,,X6, - , - ," 436,275 ", - , - , - ,,X6, - , - ,-0 , - , - , - 
7,,," 184,817 ",,,,,X7, - , - ," 184,817 ", - , - , - ,,X7, - , - , 0 , - , - , - 
8,,," 32,910 ",,,,,X8, - , - ," 32,910 ", - , - , - ,,X8, - , - ,-0 , - , - , - 
9,,," 11,151 ",,,,,X9, - , - ," 11,151 ", - , - , - ,,X9, - , - ,-0 , - , - , - 
10,,," 157,738 ",,,,,X10, - , - ," 157,738 ", - , - , - ,,X10, - , - ,-0 , - , - , - 
12,,," 5,550 ",,,,,X12, - , - ," 5,550 ", - , - , - ,,X11, - , - ,-0 , - , - , - 
13,,, 333 ,,,,,X13, - , - , 333 , - , - , - ,,X12, - , - ,-0 , - , - , - 
14,," 1,422,960 "," 728,466 ",,,,,X14, - ," 1,422,960 "," 728,466 ", - , - , - ,,X13, - , - ,-0 , - , - , - 
15,," 2,683,296 "," 1,895,731 ",,,,,X15, - ," 2,683,296 "," 1,895,731 ", - , - , - ,,X14, - , - ,-0 , - , - , - 
16,," 899,451 "," 1,961,266 ",,,,,X16, - ," 899,451 "," 1,961,266 ", - , - , - ,,X15, - , - , 0 , - , - , - 
17,," 242,743 "," 1,879,455 ",,,,,X17, - ," 242,743 "," 1,879,455 ", - , - , - ,,X16, - ,-0 ,-0 , - , - , - 
18,," 47,037 "," 295,736 ",,,,,X18, - ," 47,037 "," 295,736 ", - , - , - ,,X17, - ,-0 ,-0 , - , - , - 
111,," 238,811 ",,,,,,X111, - ," 238,811 ", - , - , - , - ,,X18, - , 0 , - , - , - , - 
112,," 153,692 ",,,,,,X112, - ," 153,692 ", - , - , - , - ,,X111, - ,-0 , - , - , - , - 
113,," 6,246 ",,,,,,X113, - ," 6,246 ", - , - , - , - ,,X112, - ,-0 , - , - , - , - 
115,,," 147,674 ",,,,,X115, - , - ," 147,674 ", - , - , - ,,X113, - , - , 0 , - , - , - 
116,,,, 130 ,,,,X116, - , - , - , 130 , - , - ,,X115, - , - , - ,-0 , - , - 
117,," 123,887 ",,,,,,X117, - ," 123,887 ", - , - , - , - ,,X116, - ,-0 , - , - , - , - 
123," 144,906 ",," 30,842 ",,,,,X123," 144,906 ", - ," 30,842 ", - , - , - ,,X117, - , - ,-0 , - , - , - 
148," 22,745,004 ",,,,,,,X148," 22,745,004 ", - , - , - , - , - ,,X123,-0 , - , - , - , - , - 
151," 1,730,545 ",,,,,,,X151," 1,730,545 ", - , - , - , - , - ,,X148,-0 , - , - , - , - , - 
157," 6,132,582 ",,,,,,,X157," 6,132,582 ", - , - , - , - , - ,,X151,-0 , - , - , - , - , - 
159," 76,846 ",,,,,,,X159," 76,846 ", - , - , - , - , - ,,X157,-0 , - , - , - , - , - 
160," 52,966 ",,,,,,,X160," 52,966 ", - , - , - , - , - ,,X159, 0 , - , - , - , - , - 
161," 47,960 ",,,,,,,X161," 47,960 ", - , - , - , - , - ,,X160,-0 , - , - , - , - , - 
197,,,," 4,232,463 ",,,,X197, - , - , - ," 4,232,463 ", - , - ,,X161, - , - , - , 0 , - , - 
200,,,," 622,591 ",,,,X200, - , - , - ," 622,591 ", - , - ,,X197, - , - , - , 0 , - , - 
215,,,,,," 13,577,345 ",,X215, - , - , - , - , - ," 13,577,345 ",,X200, - , - , - , - , - , 0 
224, 20 , 50 ," 40,494 "," 44,534 "," 428,556 "," 60,667 ",,X224, 20 , 50 ," 40,494 "," 44,534 "," 428,556 "," 60,667 ",,X215,-0 , 0 ,-0 ,-0 , 0 ,-0 
225, 106 , 260 ," 213,061 "," 234,318 "," 2,254,843 "," 319,200 ",,X225, 106 , 260 ," 213,061 "," 234,318 "," 2,254,843 "," 319,200 ",,X224,-0 ,-0 , 0 , 0 , 0 , 0 
226, 930 ,," 20,367 "," 4,633 "," 18,881 "," 5,738,653 ",,X226, 930 , - ," 20,367 "," 4,633 "," 18,881 "," 5,738,653 ",,X225, 0 , - , - ,-0 ,-0 , 0 
249,,,," 1,697,735 ",,,,X249, - , - , - ," 1,697,735 ", - , - ,,X226, - , - , - , 0 , - , - 
250,,,," 382,295 ",,,,X250, - , - , - ," 382,295 ", - , - ,,X249, - , - , - ,-0 , - , - 
251,,,," 768,054 ",,,,X251, - , - , - ," 768,054 ", - , - ,,X250, - , - , - ,-0 , - , - 
252,,,," 141,505 ",,,,X252, - , - , - ," 141,505 ", - , - ,,X251, - , - , - ,-0 , - , - 
277," 17,881 ",,,,,,,X277," 17,881 ", - , - , - , - , - ,,X252, 0 , - , - , - , - , - 
284," 34,487 "," 45,277 "," 10,126 ",,,,,X284," 34,487 "," 45,277 "," 10,126 ", - , - , - ,,X277, 0 , 0 ,-0 , - , - , - 
285," 5,382,769 "," 7,066,894 "," 1,580,555 ",,,,,X285," 5,382,769 "," 7,066,894 "," 1,580,555 ", - , - , - ,,X284, 0 , 0 ,-0 , - , - , - 
,,,,,,,,,,,,,,,,X285, - , - , - , - , - , - 
,,,,,,,,,,,,,,,,, - ,,,,,
