,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
ProdDom,1484,1484,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1722,32415,,,3241,38861
Import,45894,2784,,2784,43110,11666,31444,143708,93201,9911,9677,31274,715,103,33426,8095,,,9124,4377,4747,41382,35727,338,2753,1462,14,208,881,25264,,,,,,,214866
PetroPro,,,,,,,,116347,87729,9639,8761,29644,705,103,31261,7616,,,4022,953,3069,24596,18941,338,2753,1462,14,208,881,,,,,,,,116347
PetroIm,,,,,,,,27361,5472,272,916,1630,10,,2166,478,,,5103,3424,1679,16786,16786,,,,,,,,,,,,,,27361
Export,,,,,,,,-29873,-23539,-1786,-1818,-8895,,,-7214,-3825,,,-294,-169,-125,-6039,-3939,,-1064,-857,,-45,-134,,,,,,,,-29873
IntBunk,,,,,,,,-8120,-8120,,,-923,-22,,-5925,-1251,,,,,,,,,,,,,,,,,,,,,-8120
Stock_d,261,261,249,12,,,,218,,11,-170,-29,-3,-1,218,-25,,,-56,-73,16,274,222,,36,21,-1,-2,-2,-423,,,,,,,57
f_Stock,4668,4668,4177,491,,,,5998,4316,450,680,1039,37,2,1785,322,,,490,245,246,1191,969,22,109,73,1,8,10,959,,,,,,,11626
e_Stock,-4407,-4407,-3928,-479,,,,-5780,-4317,-438,-851,-1069,-41,-3,-1567,-348,,,-547,-318,-229,-917,-748,-22,-73,-52,-2,-10,-11,-1382,,,,,,,-11569
Diff,3477,31,32,-2,3446,1870,1577,-3554,-3937,-155,-375,-165,-288,171,-2978,-147,,,367,-188,554,17,94,15,-47,-17,1,-42,13,-648,,,,,,,-725
P_con,51116,4560,1766,2794,46556,13536,33020,102380,57605,7981,7313,21262,402,273,17527,2846,,,9140,3947,5193,35634,32104,352,1677,610,14,118,759,24194,,1722,32415,,,3241,215066
Transform,-28507,-1030,-1030,,-27477,,-27477,-6225,-6134,,-246,-338,,,-5550,,,,-90,-87,-3,,,,,,,,,-24194,15470,-1722,-32415,25250,1300,-30,-51071
E_Gene,-28507,-1030,-1030,,-27477,,-27477,-5705,-5705,,-240,-337,,,-5128,,,,,,,,,,,,,,,-7609,-48,-1722,-32415,27729,889,-30,-47417
Heating,,,,,,,,-425,-425,,-3,,,,-422,,,,,,,,,,,,,,,-800,-202,,,,457,,-970
Gas_Manu,,,,,,,,-94,-4,,-3,-1,,,,,,,-90,-87,-3,,,,,,,,,-15571,15698,,,,,,32
OwnUse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-214,22,,,-2479,-45,,-2716
F_con,22610,3530,736,2794,19079,13536,5544,96155,51471,7981,7067,20923,402,273,11978,2846,,,9050,3861,5190,35634,32104,352,1677,610,14,118,758,,15470,,,25250,1300,3210,163995
Ind,21888,2808,24,2784,19079,13536,5544,49304,11971,266,828,3090,222,181,7383,2,,,1868,1173,695,35465,32104,352,1677,610,14,87,621,,4177,,,12933,,2503,90805
AFF,,,,,,,,3245,3239,218,526,2271,75,57,93,,,,5,5,,,,,,,,,,,23,,,511,,,3779
Min,,,,,,,,77,72,,3,34,19,3,13,,,,4,4,,,,,,,,,,,,,,104,,,180
