"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200","X201","X202","X203","X204","X205","X206","X207","X208","X209","X210","X211","X212","X213","X214","X215","X216","X217","X218","X219","X220","X221","X222","X223","X224","X225","X226","X227","X228","X229","X230","X231","X232","X233","X234","X235","X236","X237","X238","X239","X240","X241","X242","X243","X244","X245","X246","X247","X248","X249","X250","X251","X252","X253","X254","X255","X256","X257","X258","X259","X260","X261","X262","X263","X264","X265","X266","X267","X268","X269","X270","X271","X272","X273","X274","X275","X276","X277","X278","X279","X280","X281","X282","X283","X284","X285","X286","X287","X288","X289","X290","X291","X292","X293","X294","X295","X296","X297","X298","X299","X300","X301","X302","X303","X304","X305","X306","X307","X308","X309","X310","X311","X312","X313","X314","X315","X316","X317","X318","X319","X320","X321","X322","X323","X324","X325","X326","X327","X328","X329","X330","X331","X332","X333","X334","X335","X336","X337","X338","X339","X340","X341","X342","X343","X344","X345","X346","X347","X348","X349","X350","X351","X352","X353","X354","X355","X356","X357","X358","X359","X360","X361","X362","X363","X364","X365","X366","X367","X368","X369","X370","X371","X372","X373","X374","X375","X376","X377","X378","X379","X380","X381","X382","X383","X384"
"X26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485931.172619018,0,0,0,0,0,0,0,0,0,0,0,0,0,2319.43478843792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154369.27598777,0,0,0,0,0,16892501.070841,0,0,0,0,0,0,0,0,0,0,0,9028.5436806137,0,438929.072608689,0,0,0,0,0,29213.3770047883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12613.1247172905,0,1555697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90783.827752413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7357.38887813932,0,357581.260450923,0,0,0,0,0,0,0,0,0,0,0,0,0,72114.5719791176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8653140.5888265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177206451.84,0,9646825.88241599,0,0,5706852.93087224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31497.1557646765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432454.240267737,0,0,97602.5195048712,0,0,0,0,0,0,0,123453.025592066,0,0,0,0,0,35543.3219348462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116241.858328786,0,368102.215201283,8784.67632945732,109759.000976137,0,0,0,152018.958753465,9459.03735781893,17362.5486102171,55003340.1473166,1109108.09612578,784326.83338645,0,0,0,0,0,43258.0120993031,0,0,0,26668.7308016074,0,170.838127184943,782.258792899474,8811.65077059178,0,0,0,171539.462654439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971.079880840727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X100",0,0,0,0,474686.360102341,17232.2757605023,0,0,0,401379.960807201,0,0,0,0,0,141308.921378458,7338.09517860698,17061.8700669498,0,0,0,0,0,41717.4438528353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17093.8211344909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115993.025530056,0,0,0,0,0,0,0,0,0,0,0,147997.344850396,0,0,0,150095.464952262,0,628062.13465549,34464.5515210046,215691.006614149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2779.74287607608,0,0,0,0,0,0,0,33048.054193349,79707.2631592085,190417.712189135,0,0,0,0,0,0,0,2726.49109684091,0,0,0,0,0,0
"X101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18258521.7107161,11106575.1194229,150825.95164336,0,182786.837558002,0,29818.1845804789,0,0,0,0,0,116536.276377082,0,5963.42178543974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X102",23286.8588495575,638.886153045289,1870.63699895888,1797.54409161895,16367.3969547111,4989.2677121291,3787.29545809474,665.957600208225,173.25726184279,1264.23658250911,0,86.6286309213951,8.12143414888079,35.1928813118168,59.5571837584591,249.057313899011,35.1928813118168,628.057574180115,1743.40119729308,1862.51556480999,3519.28813118168,384.414549713691,8067.29125455492,10893.5503383654,76836.8884825612,238.228735033837,0,29.7785918792296,165.135827693909,43.3143154606976,21.6571577303488,2728.80187402395,546.843232691307,546.843232691307,4669.82463560645,1505.17246225924,1553.90106715252,2544.71603331598,4799.76758198855,2366.0444820406,4374.74586153045,4058.0099297241,904.186335242061,0,2420.18737636648,2043.89426080167,10717.5859318064,1134.29363612702,4271.8743623113,3302.71655387819,3343.32372462259,1196.55796460177,2856.03767568974,8513.97013274336,14280.1883784487,825.679138469547,2571.78748047892,4190.66002082249,1789.42265747007,8606.01305309734,2163.00862831858,1288.60088495575,1185.7293857366,2861.45196512233,2755.87332118688,7087.30486725664,1756.93692087454,13763.1237376366,16150.8253774076,3979.50273295159,1575.55822488287,22252.7295679334,57312.9607886517,13903.8952628839,186.792985424258,300.493063508589,2192.78722019781,657.836166059344,48.7286048932847,3462.43809213951,4548.00312337324,173.25726184279,663.250455491931,462.921746486205,397.950273295159,1169.48651743883,1199.26510931806,362.757391983342,844.629151483602,2528.47316501822,6578.36166059344,11166.9719547111,2016.82281363873,5308.71078865174,3928.06698334201,4204.19574440396,40615.2921785528,1001.64354502863,15233.1033185841,303.200208224883,101017.105088496,93867.5358927642,84392.5293857366,37512.9043336804,245971.168922436,83385.4715512754,23982.595041645,29686.5489588756,6857.19756637168,27025.425702759,23527.7947293077,55052.4949505466,49927.8700026028,362.757391983342,8080.82697813639,3787.29545809474,6310.35433368037,4285.41008589276,31768.3432457054,847.336296199896,4756.45326652785,41773.9501171265,5657.93245705362,2915.5948594482,11562.21508329,3056.36638469547,6656.86885736596,11440.3935710567,1911.24416970328,2477.03741540864,10931.4503643935,13370.5877537741,8473.36296199896,13486.9949765747,25360.5317022384,15446.9677511713,9309.87067933368,10151.792686101,2612.39465122332,2964.32346434149,10289.857066632,3849.55978656949,1483.51530452889,793.193401874024,441.264588755856,1510.58675169183,1694.67259239979,3010.34492451848,21854.7792946382,28560.3767568974,2893.93770171786,324.857365955232,1093.68646538261,3264.81652785008,265.300182196772,2344.38732431025,8392.14862051015,641.593297761582,34334.7164367517,10885.4289042166,2874.9876887038,2417.48023165018,13514.0664237376,6394.27581988548,5584.83954971369,3351.44515877147,8846.94893284748,3170.0664627798,506.236061946903,1134.29363612702,473.750325351379,1648.6511322228,844.629151483602,4542.58883394066,3982.20987766788,17471.9119989589,4193.36716553878,13763.1237376366,17994.3909292035,3546.35957834461,4401.81730869339,11307.7434799584,11979.1153695992,27399.0116736075,32434.3008459136,1830.02982821447,5365.56082769391,5511.74664237376,14439.90991671,3868.50979958355,3947.01699635606,14843.2744794378,11700.2794638209,5649.81102290474,5078.60348776679,21251.0860229047,9415.44932326913,19201.7774726705,2409.3587975013,42580.679242582,3091.55926600729,18292.1768479958,24670.2097995836,5842.01829776158,6386.1543857366,15877.4037610619,5273.51790733993,1234.45799062988,3153.82359448204,4066.13136387298,866.286309213951,4569.66028110359,27139.1257808433,11104.7076262363,5232.91073659552,6510.6830426861,13706.2736985945,7940.05545288912,6951.94763144196,10427.9214471629,1691.9654476835,3305.42369859448,15260.174765747,3067.19496356065,19967.8994273816,31289.1786309214,2782.94476834982,13430.1449375325,4093.20281103592,3126.7521473191,2447.25882352941,1599.92252732952,3643.81678813118,2617.80894065591,34648.7452238418,6407.81154346695,9469.592217595,2915.5948594482,3002.2234903696,3562.60244664237,1919.36560385216,8405.68434409162,4824.13188443519,6432.17584591359,3993.03845653306,3167.35931806351,2674.65897969807,135.35723581468,151716.511335242,9456.05649401353,10132.8426730869,2030.3585372202,189.500130140552,2336.26589016137,55093.102121291,49778.9770432067,11638.0151353462,14041.9596434149,2807.30907079646,2263.17298282145,197.621564289433,1107.22218896408,4599.43887298282,1830.02982821447,8830.70606454971,703.857626236335,1258.82229307652,360.050247267048,868.993453930245,571.207535137949,2236.10153565851,690.321902654867,214752.376054138,1090.97932066632,28305.9051535658,5944.88979698074,2357.92304789172,563.086100989068,530.600364393545,990.814966163457,3586.96674908902,7222.66210307132,11318.5720588235,232.814445601249,29903.1205361791,990.814966163457,34624.3809213951,75280.2802706923,15095.0389380531,39903.3131181676,12236.2941176471,8803.63461738678,15284.5390681936,8183.69847735554,20974.9572618428,21462.2433107756,1104.51504424779,8895.67753774076,8267.61996356064,286.957339927121,19220.7274856845,771996.458745445,236458.262389381,1310.2580426861,92.0429203539823,32569.6580817283,56056.8456402915,29299.4272644456,11795.0295288912,19621.384903696,39307.741280583,63084.5933237897,5660.63960176991,6951.94763144196,27593.9260931806,13348.9305960437,37317.9899141072,27090.39717595,3906.40982561166,11456.6364393545,26597.6968375846,12377.0656428943,15982.9824049974,40168.6133003644,20874.7929073399,7926.51972930765,1705.50117126497,59259.3978396668,80995.0627667881,88350.3749609578,8278.44854242582,17634.3406819365,24548.3882873503,27233.8758459136,89698.533029672,9726.77096564289,57329.2036569495,17810.3050884956,33235.6156819365,29342.7415799063,0,142615.090799063,20476.8426340448,96257.9446772514,25539.2032535138,14645.6529151484,3465.1452368558,720.100494534097,34207.4806350859,78028.0321577304,123930.377967205,13760.4165929204,162685.861725664,93916.2644976575,77115.7243883394,164212.691345653,49343.1267438834,21898.0936100989,127539.001874024,34039.6376626757,8375.90575221239,134187.749297241,25612.2961608537,34272.4521082769,7314.7050234253,67018.0745965643,69844.3336803748,3297.3022644456,1237.16513534617,59186.3049323269,10165.3284096825,26949.6256507028,7027.74768349818,60055.2983862572,45604.5598906819,12658.6086933889,79405.9688183238,39933.0917100468,3925.35983862572,12404.1370900573,32778.1082248829,5574.01097084852,0,24645.8454971369
"X103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4777.47887340513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256799.973447105,0,0,0,0,0,0,0,0,0,0,0,0,683.879487617749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7517837.206759,0,0,115119.176107881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253472.512638248,388.714520084617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X104",2055.47039293965,51.6586474416048,154.975942324814,157.694818505952,427891.295634994,92.4417901586613,4554.11760340464,851.008244695911,212.072342128693,4692.78028864263,0,116.911675788895,8.15662854341129,2697.125171688,16090.3092399693,4464.39468942711,1449.16100454607,62.5341521661532,13.5943809056855,443.176817525347,467.646703155581,62.5341521661532,30905.4655509854,3610.66756855006,13061.4811741826,1054.92395828119,0,13.5943809056855,76.1285330718387,40.7831427170564,29.9076379925081,2890.16538054873,897.229139775242,375.204912996919,2868.41437109964,940.731158673435,3251.77591263997,1992.93624077349,3520.94465457254,1000.54643465845,1778.14502246366,2077.22140238874,513.867598234911,0,611.747140755847,2612.84001007275,8056.03012470921,1408.37786182902,2593.80787680479,856.445997058185,3344.21770279863,785.755216348621,1144.64687225872,3991.31023390926,6731.93742449545,43.5020188981935,301.795256106218,293.638627562806,231.104475396653,2699.84404786914,100.598418702073,1272.43405277216,543.775236227419,3599.79206382552,2830.35010456372,5592.72830459901,791.192968710895,4344.76413745708,543.775236227419,3738.45474906351,258.293237208024,4385.54728017414,32539.5101358488,3099.51884649629,157.694818505952,505.7109696915,1609.57469923316,1125.61473899076,81.5662854341129,1750.95626065229,2909.19751381669,65.2530283472903,986.952053752766,625.341521661532,304.514132287355,734.096568907016,2520.39821991409,342.578398823274,4646.5593935633,1014.14081556414,1900.49445061483,2498.64721046499,1348.562585844,1775.42614628252,1302.34169076467,940.731158673435,16661.2732380081,70.6907807095645,6905.94550008822,29.9076379925081,71174.7406698069,64801.6949012216,57637.4561639253,26054.9904438368,164434.91255899,57827.7774966049,17536.7513683343,21190.9209557825,6876.03786209572,15467.6865944889,11916.8343019239,20628.1135862871,24083.8052125124,415.988055713976,8705.84153200098,1000.54643465845,15239.3009952734,10426.8901546608,8520.95795168366,475.803331698992,3790.11339650511,6237.1019595285,1685.703232305,696.032302371097,11375.7779418776,666.124664378588,8425.79728534386,2759.65932385415,758.56645453725,516.586474416048,13322.4932875718,11612.3201696365,5255.58765813801,8428.516161525,17664.5385488477,11324.119294436,2368.14115377041,3357.81208370431,5122.36272526229,12740.6537848084,91193.8259915193,32438.9117171467,11054.9505525034,14391.0116267587,5103.33059199433,1084.8315962737,5065.26632545841,10821.1272009256,7267.55603217946,4747.15781226537,696.032302371097,323.546265555314,701.470054733371,40163.2389477572,445.895693706484,5214.80451542095,10508.4564400949,3254.4947888211,85125.2943552213,16120.2168779618,4032.09337662631,4358.35851836276,19013.1011346917,7196.86525146989,15989.7108212673,10609.0548587969,27512.3080769263,6674.84102469157,516.586474416048,1408.37786182902,573.682874219927,652.530283472903,266.449865751435,5010.88880183567,8958.69701684673,2501.36608664613,6212.63207389826,8333.3554951852,9880.39604225221,2941.82402799034,5013.60767801681,8200.13056230948,9399.15495819094,29554.1840889602,34695.5789474905,1503.53852816881,3189.24176047381,1473.63089017631,8972.29139775242,5848.30266562589,1952.15309805644,19535.12536147,3145.73974157562,6087.56376956596,2384.45441085723,5475.81662881011,4140.8484238718,2281.13711597402,1294.18506222126,8249.07033356995,1044.04845355664,6131.06578846415,5154.98923943593,2694.40629550686,8482.89368514774,5290.93304849279,1740.08075592774,391.518170083742,1136.49024371531,611.747140755847,483.959960242403,1101.14485336052,3583.47880673869,5652.54358058402,1810.77153663731,1375.75134765537,7482.34725048929,3597.07318764438,1971.18523132439,2876.57099964305,3588.91655910097,7531.28702174976,6242.53971189077,8039.71686762239,22637.3630841475,22604.7365699738,2085.37803093215,18444.8560128341,2732.47056204278,2623.7155147973,3243.61928409656,1386.62685237992,4157.16168095862,1971.18523132439,39018.5920754985,5470.37887644784,12713.4650229971,2504.08496282727,2039.15713585282,1818.92816518072,948.887787216847,3569.88442583301,1506.25740434995,3412.18960732706,1555.19717561042,1364.87584293082,2365.42227758927,160.413694687089,15644.4135462629,2245.79172561924,3317.02894098726,1209.89990060601,410.550303351702,4236.0090902116,29081.0996334424,11693.8864550707,3689.51497780304,25706.9742926512,1049.48620591892,1411.09673801015,301.795256106218,356.17277972896,4622.08950793306,734.096568907016,3529.10128311595,331.702894098726,739.53432126929,76.1285330718387,353.453903547822,731.377692725879,3042.42244669241,935.293406311161,135658.327057835,5250.14990577573,280819.126368745,31025.0961029554,3983.15360536585,2705.28180023141,3406.75185496478,3156.61524630017,2398.04879176292,3042.42244669241,4507.89670832531,589.99613130675,12827.6578226048,557.369617133105,24834.2150385062,30581.9192854301,18768.4022783894,9948.36794678064,10179.4724221773,1998.37399313577,7727.04610679163,6177.28668354348,1976.62298368667,8189.25505758493,380.642665359193,1370.3135952931,3643.29408272371,100.598418702073,8779.25118889168,667103.459803798,495178.043365775,4706.37466954831,312.670760830766,89973.0505861888,25470.4320648923,4197.94482367568,68839.2260302101,15225.7066143677,1794.45827955048,28801.0553867853,2612.84001007275,5655.26245676516,3232.74377937201,15198.5178525564,16476.3896576908,828033.740965303,17408.9641878208,247904.411319899,136569.150578516,5864.61592271272,2854.81999019395,5802.08177054656,8828.19096015215,802.068473435443,1141.92799607758,14189.8147893545,12514.9870617741,8341.51212372861,1310.49831930808,3094.08109413402,6008.71636031298,5418.72022900623,17259.4259978583,6226.22645480395,11944.0230637353,23357.8652721488,7297.46367017197,4771.6276978956,0,81150.2973783989,14146.3127704563,91691.3803326674,14377.417245853,31865.2288429268,1693.85986084841,725.939940363605,15630.8191653572,29505.2443176998,11794.4848737727,736.815445088153,15554.6906322853,6383.9212733099,8575.3354753064,36147.4588282177,18678.6793644118,23695.0059186098,53216.5634933964,70881.1020422441,46207.300698425,297276.483893168,129940.530448904,195092.960377492,3096.79997031515,17389.9320545529,15019.0720246013,1449.16100454607,1019.57856792641,45013.7140549058,36457.4107128673,16824.4058088763,5769.45525637292,56185.5762831981,21362.2101551942,10791.2195629331,42074.6089030966,9206.11474933021,3189.24176047381,12982.6337649296,88700.6165334166,10535.6452019062,0,88238.4075826233
