"","x"
"X1",6994028.04642539
"X2",25247.0370964837
"X3",54672.066556013
"X4",61191.6476025816
"X5",1237045.61839892
"X6",436275.067218069
"X7",184816.71792226
"X8",32910.3198841247
"X9",11151.251266756
"X10",157738.420199888
"X11",0
"X12",5550.46414782366
"X13",333.272013229803
"X14",2151426.02146837
"X15",4579027.00494226
"X16",2860716.71584895
"X17",2122198.70563064
"X18",342773.545578239
"X19",0
"X20",0
"X21",0
"X22",0
"X23",0
"X24",0
"X25",0
"X26",0
"X27",0
"X28",0
"X29",0
"X30",0
"X31",0
"X32",0
"X33",0
"X34",0
"X35",0
"X36",0
"X37",0
"X38",0
"X39",0
"X40",0
"X41",0
"X42",0
"X43",0
"X44",0
"X45",0
"X46",0
"X47",0
"X48",0
"X49",0
"X50",0
"X51",0
"X52",0
"X53",0
"X54",0
"X55",0
"X56",0
"X57",0
"X58",0
"X59",0
"X60",0
"X61",0
"X62",0
"X63",0
"X64",0
"X65",0
"X66",0
"X67",0
"X68",0
"X69",0
"X70",0
"X71",0
"X72",0
"X73",0
"X74",0
"X75",0
"X76",0
"X77",0
"X78",0
"X79",0
"X80",0
"X81",0
"X82",0
"X83",0
"X84",0
"X85",0
"X86",0
"X87",0
"X88",0
"X89",0
"X90",0
"X91",0
"X92",0
"X93",0
"X94",0
"X95",0
"X96",0
"X97",0
"X98",0
"X99",0
"X100",0
"X101",0
"X102",0
"X103",0
"X104",0
"X105",0
"X106",0
"X107",0
"X108",0
"X109",0
"X110",0
"X111",238810.863921399
"X112",153692.408078601
"X113",6246.2232
"X114",0
"X115",147673.562238208
"X116",130.3465
"X117",123887.148
"X118",0
"X119",0
"X120",0
"X121",0
"X122",0
"X123",175748.107761792
"X124",0
"X125",0
"X126",0
"X127",0
"X128",0
"X129",0
"X130",0
"X131",0
"X132",0
"X133",0
"X134",0
"X135",0
"X136",0
"X137",0
"X138",0
"X139",0
"X140",0
"X141",0
"X142",0
"X143",0
"X144",0
"X145",0
"X146",0
"X147",0
"X148",22745004.4745
"X149",0
"X150",0
"X151",1730545.0135
"X152",0
"X153",0
"X154",0
"X155",0
"X156",0
"X157",6132582.40906384
"X158",0
"X159",76846.0519949085
"X160",52965.527840934
"X161",47960.0201641575
"X162",0
"X163",0
"X164",0
"X165",0
"X166",0
"X167",0
"X168",0
"X169",0
"X170",0
"X171",0
"X172",0
"X173",0
"X174",0
"X175",0
"X176",0
"X177",0
"X178",0
"X179",0
"X180",0
"X181",0
"X182",0
"X183",0
"X184",0
"X185",0
"X186",0
"X187",0
"X188",0
"X189",0
"X190",0
"X191",0
"X192",0
"X193",0
"X194",0
"X195",0
"X196",0
"X197",4232462.54615579
"X198",0
"X199",0
"X200",622590.738095238
"X201",0
"X202",0
"X203",0
"X204",0
"X205",0
"X206",0
"X207",0
"X208",0
"X209",0
"X210",0
"X211",0
"X212",0
"X213",0
"X214",0
"X215",13577344.79
"X216",0
"X217",0
"X218",0
"X219",0
"X220",0
"X221",0
"X222",0
"X223",0
"X224",574321.126902765
"X225",3021787.36309724
"X226",5783463.99144
"X227",0
"X228",0
"X229",0
"X230",0
"X231",0
"X232",0
"X233",0
"X234",0
"X235",0
"X236",0
"X237",0
"X238",0
"X239",0
"X240",0
"X241",0
"X242",0
"X243",0
"X244",0
"X245",0
"X246",0
"X247",0
"X248",0
"X249",1697734.84978871
"X250",382295.451895301
"X251",768054.322466099
"X252",141505.391598865
"X253",0
"X254",0
"X255",0
"X256",0
"X257",0
"X258",0
"X259",0
"X260",0
"X261",0
"X262",0
"X263",0
"X264",0
"X265",0
"X266",0
"X267",0
"X268",0
"X269",0
"X270",0
"X271",0
"X272",0
"X273",0
"X274",0
"X275",0
"X276",0
"X277",17880.8829361642
"X278",0
"X279",0
"X280",0
"X281",0
"X282",0
"X283",0
"X284",89889.7617859455
"X285",14030217.8612141
"X286",0
"X287",0
"X288",0
"X289",0
"X290",0
"X291",0
"X292",0
"X293",0
"X294",0
"X295",0
"X296",0
"X297",0
"X298",0
"X299",0
"X300",0
"X301",0
"X302",0
"X303",0
"X304",0
"X305",0
"X306",0
"X307",0
"X308",0
"X309",0
"X310",0
"X311",0
"X312",0
"X313",0
"X314",0
"X315",0
"X316",0
"X317",0
"X318",0
"X319",0
"X320",0
"X321",0
"X322",0
"X323",0
"X324",0
"X325",0
"X326",0
"X327",0
"X328",0
"X329",0
"X330",0
"X331",0
"X332",0
"X333",0
"X334",0
"X335",0
"X336",0
"X337",0
"X338",0
"X339",0
"X340",0
"X341",0
"X342",0
"X343",0
"X344",0
"X345",0
"X346",0
"X347",0
"X348",0
"X349",0
"X350",0
"X351",0
"X352",0
"X353",0
"X354",0
"X355",0
"X356",0
"X357",0
"X358",0
"X359",0
"X360",0
"X361",0
"X362",0
"X363",0
"X364",0
"X365",0
"X366",0
"X367",0
"X368",0
"X369",0
"X370",0
"X371",0
"X372",0
"X373",0
"X374",0
"X375",0
"X376",0
"X377",0
"X378",0
"X379",0
"X380",0
"X381",0
"X382",0
"X383",0
"X384",0
