basecode,basecode_fill,KCIS
1,1,1110
2,2,1110
3,3,1110
4,4,1110
5,5,1121
0,5,1151
6,6,1131
7,7,1140
0,7,2030
8,8,1132
0,8,1140
9,9,1140
10,10,1122
11,11,1140
12,12,1123
0,12,2011
13,13,1140
14,14,1211
15,15,1212
16,16,1220
17,17,1231
0,17,1239
18,18,1291
0,18,1299
19,19,2012
20,20,2020
21,21,2030
22,22,2020
0,22,2030
23,23,3111
0,23,3112
0,23,3120
24,24,3211
0,24,3212
0,24,3213
25,25,1411
0,25,1412
0,25,1420
0,25,1500
0,25,2040
0,25,3220
26,26,5100
27,27,5100
0,27,5100
28,28,5200
29,29,5200
30,30,6100
31,31,6210
0,31,6291
0,31,6292
0,31,6292
0,31,6299
0,31,6299
0,31,6299
0,31,6299
32,32,7121
0,32,7122
0,32,7123
0,32,7123
33,33,7111
0,33,7121
34,34,7111
0,34,7112
0,34,7112
0,34,7112
0,34,7123
0,34,7210
0,34,7210
0,34,7220
0,34,7290
0,34,7290
0,34,7290
0,34,7290
0,34,7290
35,35,10110
0,35,10110
0,35,10110
0,35,10110
0,35,10110
0,35,10129
36,36,10110
0,36,10110
0,36,10110
0,36,10121
37,37,10121
0,37,10121
0,37,10121
0,37,10121
0,37,10129
0,37,10129
0,37,10129
0,37,10129
0,37,10129
0,37,10129
0,37,10129
0,37,10129
38,38,10501
39,39,10501
0,39,10501
0,39,10501
0,39,10501
0,39,10501
0,39,10501
0,39,10501
0,39,10502
0,39,10502
40,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10211
0,40,10219
0,40,10219
0,40,10219
0,40,10220
0,40,10220
0,40,10220
0,40,10220
0,40,10220
41,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10212
0,41,10213
0,41,10213
0,41,10213
0,41,10213
0,41,10213
0,41,10213
0,41,10219
42,42,10611
0,42,10611
0,42,10611
0,42,10611
43,43,10612
0,43,10612
0,43,10612
0,43,10612
0,43,10612
0,43,10612
44,44,10720
45,45,10720
0,45,10720
46,46,10620
0,46,10620
0,46,10620
0,46,10620
0,46,10620
0,46,10620
0,46,10620
0,46,10620
47,47,10613
0,47,10711
0,47,10711
0,47,10712
0,47,10712
0,47,10712
0,47,10712
0,47,10712
0,47,10712
0,47,10713
0,47,10713
0,47,10713
0,47,10713
0,47,10713
0,47,10713
0,47,10713
0,47,10713
48,48,10730
0,48,10730
0,48,10730
0,48,10730
0,48,10730
0,48,10730
49,49,10741
0,49,10741
0,49,10741
0,49,10741
0,49,10742
0,49,10742
0,49,10742
0,49,10742
0,49,10742
0,49,10742
0,49,10742
0,49,10742
0,49,10742
0,49,10743
0,49,10743
0,49,10743
0,49,10743
0,49,10743
0,49,10743
