"","sector_column","sum.value.","share","dist","sector_name"
"10",10,76921197.67,0.513229928891117,0.513229928891117,"IS"
"12",12,33158859.06,0.221240950387745,0.734470879278861,"Orgchem"
"25",25,10452199.08,0.0697386618133269,0.804209541092188,"MissManu"
"11",11,10127207.88,0.0675702711028519,0.87177981219504,"Cement"
"15",15,4763821.79,0.0317849434562978,0.903564755651338,"Mineral"
"16",16,1784716.01,0.0119078966351089,0.915472652286447,"nonISmetal"
"17",17,1780003.09,0.0118764513161365,0.927349103602583,"Machine"
"22",22,1613791.57,0.0107674627775486,0.938116566380132,"Auto"
"20",20,1449759.58,0.00967301639457969,0.947789582774712,"Electro_sig"
"18",18,1348052.41,0.00899441068889689,0.956783993463609,"Electro_e"
"24",24,1213017.62,0.00809343803416981,0.964877431497778,"Food"
"14",14,1175235.6,0.00784135065090841,0.972718782148687,"FiberLeather"
"19",19,1172243.3,0.00782138557024483,0.980540167718932,"Electro_ne"
"4",4,1054322.46,0.00703459979257636,0.987574767511508,"ROIL"
"13",13,790255.18,0.00527270274154114,0.992847470253049,"WoodPaper"
"23",23,569682.84,0.00380101054481787,0.996648480797867,"Ship"
"21",21,473343,0.00315821648114892,0.999806697279016,"semicon"
"35",35,21171.72,0.000141260935596957,0.999947958214613,"Rice"
"33",33,7799.85,5.2041785387107e-05,1,"Commercial"
"1",1,0,0,1,"ELEC"
"2",2,0,0,1,"GAS"
"3",3,0,0,1,"HEAT"
"5",5,0,0,1,"CoalPro"
"6",6,0,0,1,"Coal"
"7",7,0,0,1,"Oil"
"8",8,0,0,1,"LNG"
"9",9,0,0,1,"Mining"
"26",26,0,0,1,"Const"
"27",27,0,0,1,"Rail"
"28",28,0,0,1,"Road"
"29",29,0,0,1,"Air"
"30",30,0,0,1,"Marine"
"31",31,0,0,1,"MissTrans"
"32",32,0,0,1,"Housing"
"34",34,0,0,1,"Public"
"36",36,0,0,1,"Barley"
"37",37,0,0,1,"Bean"
"38",38,0,0,1,"Potato"
"39",39,0,0,1,"Vegi"
"40",40,0,0,1,"Fruit"
"41",41,0,0,1,"Flower"
"42",42,0,0,1,"MissCrop"
"43",43,0,0,1,"Dairy"
"44",44,0,0,1,"Meat"
"45",45,0,0,1,"Pork"
"46",46,0,0,1,"Poultry"
"47",47,0,0,1,"MissLstock"
"48",48,0,0,1,"FF"
"49",49,0,0,1,"Waste"
"50",100,0,0,1,NA
