"","demand","sum.value.","share","dist","basecode","base_rowname"
"49","X157",72111376.2,0.481138068574311,0.481138068574311,157,"선철"
"3","X111",18713514.46,0.124859414394616,0.605997482968927,111,"지방족 기초유분"
"4","X112",11364981.28,0.075828883465996,0.681826366434923,112,"방향족 기초유분"
"40","X148",9219385.09,0.0615131393879209,0.743339505822843,148,"시멘트"
"9","X117",2026555.8,0.0135214884925476,0.756860994315391,117,"기초무기화합물"
"51","X159",1846020.09,0.0123169267798827,0.769177921095274,159,"조강"
"165","X273",1533543.5,0.010232035450527,0.779409956545801,273,"제조임가공서비스"
"118","X226",1368609.07,0.00913156785063663,0.788541524396437,226,"LCD 평판 디스플레이"
"50","X158",1336970.43,0.00892047003300938,0.797461994429447,158,"합금철"
"43","X151",1223687.23,0.00816462729470483,0.805626621724152,151,"석회 및 석고제품"
"46","X154",1186364.79,0.00791560629909554,0.813542228023247,154,"아스콘 및 아스팔트 제품"
"5","X113",1155165.05,0.0077074368890154,0.821249664912262,113,"석유화학중간제품"
"76","X184",998348.49,0.00666113295231605,0.827910797864579,184,"금속처리"
"33","X141",922339.93,0.00615399228075147,0.83406479014533,141,"전자기기용 유리제품"
"77","X185",889216.03,0.00593298458252855,0.839997774727859,185,"금속처리 가공품"
"147","X255",688842.88,0.00459606445334163,0.8445938391812,255,"자동차 부분품"
"141","X249",665186.98,0.00443822869099506,0.849032067872195,249,"승용차"
"2","X110",574834.02,0.00383538000116002,0.852867447873355,110,"기타 석유정제제품"
"41","X149",571569.91,0.00381360136284007,0.856681049236195,149,"레미콘"
"23","X131",539672.75,0.00360077866045756,0.860281827896653,131,"기타 화학제품"
"63","X171",502633.08,0.00335364434929141,0.863635472245944,171,"연 및 아연 제련, 정련 및 합금제품"
"1","X109",479488.44,0.00319921979141634,0.866834692037361,109,"윤활유 및 그리스"
"6","X114",439575.27,0.0029329130512535,0.869767605088614,114,"석탄화합물"
"27","X135",411893.34,0.00274821500447556,0.87251582009309,135,"조립용 플라스틱제품"
"7","X115",406978.94,0.00271542538030248,0.875231245473392,115,"기타 기초유기화합물"
"117","X225",396898.21,0.00264816521668326,0.877879410690075,225,"집적회로"
"17","X125",381932.81,0.00254831379197225,0.880427724482048,125,"도료"
"11","X119",374325.56,0.0024975570630754,0.882925281545123,119,"합성수지"
"69","X177",338845.06,0.00226082577126501,0.885186107316388,177,"금속 주물"
"42","X150",336252.88,0.00224353035209096,0.887429637668479,150,"콘크리트제품"
"34","X142",329773.3,0.00220029760892813,0.889629935277407,142,"산업용(전자기기 제외) 유리제품"
"68","X176",326017.25,0.00217523667211483,0.891805171949522,176,"기타 비철금속 1차제품"
"14","X122",299773.41,0.00200013378051902,0.893805305730041,122,"의약품"
"58","X166",297397.73,0.00198428288226989,0.895789588612311,166,"냉간압연강재"
