"","sector_row","basecode_row","row_name","sector_name"
"1",39,1,"벼","Rice"
"2",40,2,"맥류 및 잡곡","Barley"
"3",41,3,"콩류","Bean"
"4",42,4,"감자류","Potato"
"5",43,5,"채소","Vegi"
"6",44,6,"과실","Fruit"
"7",46,7,"약용작물","MissCrop"
"8",46,8,"기타 식용작물","MissCrop"
"9",46,9,"잎담배","MissCrop"
"10",46,11,"천연고무","MissCrop"
"11",46,12,"종자 및 묘목","MissCrop"
"12",46,13,"기타 비식용작물","MissCrop"
"13",45,10,"화훼작물","Flower"
"14",47,14,"낙농","Dairy"
"15",48,15,"육우","Meat"
"16",49,16,"양돈","Pork"
"17",50,17,"가금","Poultry"
"18",51,18,"기타 축산","MissLstock"
"19",52,19,"영림","FF"
"20",52,20,"원목","FF"
"21",52,21,"식용 임산물","FF"
"22",52,22,"기타 임산물","FF"
"23",52,23,"수산어획","FF"
"24",52,24,"수산양식","FF"
"25",37,25,"농림어업 서비스","Commercial"
"26",37,348,"연구개발(산업)","Commercial"
"27",37,349,"기업내연구개발","Commercial"
"28",37,350,"법무 및 회계 서비스","Commercial"
"29",37,351,"시장조사 및 경영컨설팅","Commercial"
"30",37,352,"광고","Commercial"
"31",37,353,"건축 · 토목관련서비스","Commercial"
"32",37,354,"공학관련서비스","Commercial"
"33",37,355,"과학기술서비스","Commercial"
"34",37,356,"기타 전문서비스","Commercial"
"35",37,357,"청소소독 및 시설유지","Commercial"
"36",37,318,"일반음식점","Commercial"
"37",37,319,"주점","Commercial"
"38",37,320,"기타음식점","Commercial"
"39",37,321,"숙박","Commercial"
"40",37,322,"우편서비스","Commercial"
"41",37,323,"유선통신서비스","Commercial"
"42",37,324,"무선통신서비스","Commercial"
"43",37,325,"기타 전기통신서비스","Commercial"
"44",37,326,"지상파 방송서비스","Commercial"
"45",37,327,"유선, 위성 및 기타방송","Commercial"
"46",37,328,"정보서비스","Commercial"
"47",37,329,"소프트웨어 개발 공급","Commercial"
"48",37,330,"컴퓨터관리서비스","Commercial"
"49",37,331,"신문","Commercial"
"50",37,332,"출판","Commercial"
"51",37,333,"영상 · 오디오물 제작 및 배급","Commercial"
"52",37,334,"영화상영","Commercial"
"53",37,335,"중앙은행 및 예금취급기관","Commercial"
"54",37,336,"금융투자기관","Commercial"
"55",37,337,"기타 금융중개기관","Commercial"
"56",37,338,"생명보험","Commercial"
"57",37,339,"비생명보험","Commercial"
"58",37,340,"금융 및 보험 보조서비스","Commercial"
"59",37,381,"미용관련서비스","Commercial"
"60",37,302,"도매서비스","Commercial"
"61",37,303,"소매서비스","Commercial"
"62",37,344,"부동산관련서비스","Commercial"
"63",37,345,"기계장비 및 용품 임대","Commercial"
"64",37,359,"기타 사업지원서비스","Commercial"
"65",37,347,"연구개발(비영리)? ","Commercial"
"66",37,374,"스포츠서비스","Commercial"
"67",37,375,"오락서비스","Commercial"
"68",37,363,"교육서비스(비영리)","Commercial"
"69",37,364,"교육서비스(산업)","Commercial"
"70",37,378,"자동차 수리서비스","Commercial"
"71",37,366,"의료 및 보건(비영리)","Commercial"
"72",37,367,"의료 및 보건(산업)","Commercial"
"73",37,372,"연극, 음악 및 기타예술","Commercial"
"74",37,342,"비주거용 건물 임대","Commercial"
"75",37,370,"사회복지서비스(비영리)","Commercial"
"76",37,358,"인력공급 및 알선","Commercial"
"77",37,376,"산업 및 전문가 단체","Commercial"
"78",37,373,"기타 문화서비스","Commercial"
"79",37,379,"기계장비 수리","Commercial"
"80",37,380,"개인 및 가정용품 수리서비스","Commercial"
"81",37,377,"기타 사회단체","Commercial"
"82",37,343,"부동산 개발 및 공급","Commercial"
"83",37,384,"기타 개인서비스","Commercial"
"84",37,383,"가사서비스","Commercial"
"85",37,382,"세탁","Commercial"
"86",12,26,"무연탄","Coal"
"87",12,27,"유연탄","Coal"
"88",13,28,"원유","Oil"
"89",14,29,"천연가스 (LNG)?? ","LNG"
"90",15,30,"철광석","Mining"
"91",15,34,"기타 비금속광물","Mining"
"92",15,33,"석회석","Mining"
"93",15,32,"골재 및 석재","Mining"
"94",15,31,"기타 비철금속광석","Mining"
"95",28,39,"낙농품","Food"
"96",28,38,"우유","Food"
"97",28,43,"제분","Food"
"98",28,46,"전분 및 당류","Food"
"99",28,59,"기타 주류","Food"
"100",28,47,"떡, 빵 및 과자류","Food"
"101",28,40,"수산물 가공품","Food"
"102",28,36,"가금육","Food"
"103",28,61,"담배","Food"
"104",28,37,"육가공품","Food"
"105",28,51,"과실 및 채소 가공품","Food"
"106",28,52,"커피 및 차류","Food"
"107",28,53,"인삼 및 건강보조식품","Food"
"108",28,41,"수산동물 저장품","Food"
"109",28,42,"정곡","Food"
"110",28,56,"주정","Food"
"111",28,44,"원당","Food"
"112",28,45,"정제당","Food"
"113",28,50,"유지","Food"
"114",28,35,"도축육","Food"
"115",28,49,"조미료 및 첨가용식품","Food"
"116",28,60,"비알콜음료 및 얼음","Food"
"117",28,54,"기타 식료품","Food"
"118",28,55,"사료","Food"
"119",28,57,"소주","Food"
"120",28,58,"맥주","Food"
"121",28,48,"면류","Food"
"122",20,66,"화학섬유직물","FiberLeather"
"123",20,65,"천연섬유직물","FiberLeather"
"124",20,70,"직물제품","FiberLeather"
"125",20,73,"봉제의류","FiberLeather"
"126",20,62,"천연 섬유사","FiberLeather"
"127",20,74,"편조의류","FiberLeather"
"128",20,67,"기타 섬유직물","FiberLeather"
"129",20,64,"기타 섬유사","FiberLeather"
"130",20,68,"편조원단","FiberLeather"
"131",20,77,"의복관련 장신품","FiberLeather"
"132",20,78,"가죽","FiberLeather"
"133",20,79,"모피","FiberLeather"
"134",20,72,"기타 섬유제품","FiberLeather"
"135",20,69,"섬유표백 및 염색","FiberLeather"
"136",20,82,"기타 가죽제품","FiberLeather"
"137",20,71,"끈, 로프 및 어망","FiberLeather"
"138",20,63,"화학 섬유사","FiberLeather"
"139",20,76,"모피의류 및 모피제품","FiberLeather"
"140",20,75,"가죽의류","FiberLeather"
"141",20,121,"화학섬유","FiberLeather"
"142",20,80,"가방 및 핸드백","FiberLeather"
"143",20,81,"신발","FiberLeather"
"144",19,98,"기록매체 복제","WoodPaper"
"145",19,92,"골판지 및 골판지상자","WoodPaper"
"146",19,85,"강화 및 재생목재","WoodPaper"
"147",19,83,"제재목","WoodPaper"
"148",19,86,"건축용 목제품","WoodPaper"
"149",19,90,"인쇄용지","WoodPaper"
"150",19,91,"기타 원지 및 판지","WoodPaper"
"151",19,88,"기타 목제품","WoodPaper"
"152",19,84,"합판","WoodPaper"
"153",19,89,"펄프","WoodPaper"
"154",19,94,"종이문구 및 사무용지","WoodPaper"
"155",19,95,"위생용 종이제품","WoodPaper"
"156",19,96,"기타 종이제품","WoodPaper"
"157",19,93,"종이용기","WoodPaper"
"158",19,87,"목재 용기 및 적재판","WoodPaper"
"159",19,97,"인쇄","WoodPaper"
"160",11,100,"연탄","CoalPro"
"161",11,99,"석탄 코크스 및 관련제품","CoalPro"
"162",10,101,"나프타","Oilpro"
"163",10,108,"정제혼합용 원료유","Oilpro"
"164",10,109,"윤활유 및 그리스","Oilpro"
"165",10,110,"기타 석유정제제품","Oilpro"
"166",4,102,"휘발유","Gasoline"
"167",5,103,"제트유","Jetoil"
"168",7,104,"등유","Kerosene"
"169",6,105,"경유","Diesel"
"170",8,106,"중유","Fueloil"
"171",9,107,"액화석유가스","LPG"
"172",18,113,"석유화학중간제품","Chemistry"
"173",18,118,"염료, 안료 및 유연제","Chemistry"
"174",18,112,"방향족 기초유분","Chemistry"
"175",18,127,"비누, 세제 및 치약","Chemistry"
"176",18,119,"합성수지","Chemistry"
"177",18,120,"합성고무","Chemistry"
"178",18,111,"지방족 기초유분","Chemistry"
"179",18,116,"산업용 가스","Chemistry"
"180",18,139,"기타 고무제품","Chemistry"
"181",18,114,"석탄화합물","Chemistry"
"182",18,115,"기타 기초유기화합물","Chemistry"
"183",18,126,"잉크","Chemistry"
"184",18,133,"건축용 플라스틱제품","Chemistry"
"185",18,117,"기초무기화합물","Chemistry"
"186",18,131,"기타 화학제품","Chemistry"
"187",18,132,"플라스틱 1차제품","Chemistry"
"188",18,124,"살충제 및 농약","Chemistry"
"189",18,123,"비료 및 질소화합물","Chemistry"
"190",18,122,"의약품","Chemistry"
"191",18,136,"기타 플라스틱제품","Chemistry"
"192",18,128,"화장품","Chemistry"
"193",18,125,"도료","Chemistry"
"194",18,130,"사진용 화학제품 및 감광재료","Chemistry"
"195",18,129,"접착제 및 젤라틴","Chemistry"
"196",18,137,"타이어 및 튜브","Chemistry"
