"","KSICcode","KSIC_name","CGE_code_actual"
"1","1110","곡물 및 기타 식량작물 재배업","Rice & Barley & Bean & Potato"
"2","1121","채소작물 재배업","Vegi"
"3","1151","콩나물 재배업","Vegi"
"4","1131","과실작물 재배업","Fruit"
"5","1140","기타 작물 재배업","MissCrop"
"6","1132","음료용 및 향신용 작물 재배업","MissCrop"
"7","1123","종자 및 묘목 생산업","MissCrop"
"8","2011","임업용 종묘 생산업","FF"
"9","2030","임업 관련 서비스업","Commercial"
"10","1122","화훼작물 재배업","Flower"
"11","1211","젖소 사육업","Dairy"
"12","1212","육우 사육업","Meat"
"13","1220","양돈업","Pork"
"14","1231","양계업","Poultry"
"15","1239","기타 가금류 및 조류 사육업","Poultry"
"16","1291","말 및 양 사육업","MissLstock"
"17","1299","그외 기타 축산업","MissLstock"
"18","2012","육림업","FF"
"19","2020","벌목업","FF"
"20","3111","원양 어업","FF"
"21","3112","연근해 어업","FF"
"22","3120","내수면 어업","FF"
"23","3211","해면 양식 어업","FF"
"24","3212","내수면 양식 어업","FF"
"25","3213","수산물 부화 및 종묘 생산업","FF"
"26","1411","작물재배 지원 서비스업","Commercial"
"27","1412","축산 관련 서비스업","Commercial"
"28","1412","농산물건조선별기타수확후서비스","Commercial"
"29","1500","수렵 및 관련 서비스업","Commercial"
"30","3220","어업 관련 서비스업","Commercial"
"31","8010","원유 및 천연가스 채굴관련 서비스업","Mining"
"32","8090","기타 광업 지원 서비스업","Mining"
"33","5100","석탄 광업","Coal"
"34","5200","원유 및 천연가스 채굴업","Oil & LNG"
"35","6100","철 광업","Mining"
"36","6210","우라늄 및 토륨 광업","Mining"
"37","6291","금·은 및 백금 광업","Mining"
"38","6292","연 및 아연 광업","Mining"
"39","6299","그외 기타 비철금속 광업","Mining"
"40","7121","건설용 석재 채굴업","Mining"
"41","7122","건설용 쇄석 생산업","Mining"
"42","7123","모래 및 자갈 채취업","Mining"
"43","7111","석회석 광업","Mining"
"44","7112","고령토 및 기타 점토 광업","Mining"
"45","7210","화학용 및 비료원료용 광물 광업","Mining"
"46","7220","소금 채취업","Mining"
"47","7290","그외 기타 비금속광물 광업","Mining"
"48","10110","도축업","Food"
"49","10129","기타 육류 가공 및 저장처리업","Food"
"50","10121","가금류 가공 및 저장 처리업","Food"
"51","10501","액상시유및기타낙농제품 제조업","Food"
"52","10502","아이스크림및기타식용빙과류제조","Food"
"53","10211","수산동물 훈제, 조리 및 유사 조제식품 제조업","Food"
"54","10219","기타 수산동물 가공및저장처리업","Food"
"55","10219","기타 수산동물 가공 및 저장처리업","Food"
"56","10220","수산식물 가공 및 저장 처리업","Food"
"57","10212","수산동물 건조 및 염장품 제조업","Food"
"58","10213","수산동물 냉동품 제조업","Food"
"59","10611","곡물 도정업","Food"
"60","10612","곡물 제분업","Food"
"61","10720","설탕 제조업","Food"
"62","10620","전분제품 및 당류 제조업","Food"
"63","10613","제과용 혼합분말 및 반죽 제조업","Food"
"64","10711","떡류 제조업","Food"
"65","10712","빵류 제조업","Food"
"66","10713","코코아 제품 및 과자류 제조업","Food"
"67","10730","면류, 마카로니및유사식품 제조업","Food"
"68","10741","식초, 발효 및 화학 조미료 제조업","Food"
"69","10742","천연 및 혼합조제 조미료 제조업","Food"
"70","10743","장류 제조업","Food"
"71","10749","기타 식품 첨가물 제조업","Food"
"72","10401","동물성 유지 제조업","Food"
"73","10402","식물성 유지 제조업","Food"
"74","10403","식용 정제유 및 가공유 제조업","Food"
"75","10301","과실 및 채소 절임식품 제조업","Food"
"76","10309","기타과실·채소가공및저장처리업","Food"
"77","10309","기타과실·채소 가공및저장처리업","Food"
"78","10793","수프 및 균질화식품 제조업","Food"
"79","10791","커피 가공업","Food"
"80","10792","차류 가공업","Food"
"81","10795","인삼식품 제조업","Food"
"82","10796","건강보조용 액화식품 제조업","Food"
"83","10797","건강기능식품 제조업","Food"
"84","10619","기타 곡물가공품 제조업","Food"
"85","10794","두부 및 유사식품 제조업","Food"
"86","10798","도시락식사용 조리식품 제조업","Food"
"87","10799","그외 기타 식료품 제조업","Food"
"88","10800","동물용 사료 및 조제식품 제조업","Food"
"89","11121","주정 제조업","Food"
"90","11122","소주 제조업","Food"
"91","11113","맥아 및 맥주 제조업","Food"
"92","11111","탁주 및 약주 제조업","Food"
"93","11112","청주 제조업","Food"
"94","11119","기타 발효주 제조업","Food"
"95","11129","기타 증류주 및 합성주 제조업","Food"
"96","11201","얼음 제조업","Food"
"97","11202","생수 생산업","Food"
"98","11209","기타 비알콜음료 제조업","Food"
"99","12001","담배 재건조업","Food"
"100","12002","담배제품 제조업","Food"
"101","13101","면 방적업","FiberLeather"
"102","13102","모 방적업","FiberLeather"
"103","13109","기타 방적업","FiberLeather"
"104","13103","화학섬유 방적업","FiberLeather"
"105","13104","연사 및 가공사 제조업","FiberLeather"
"106","13211","면직물 직조업","FiberLeather"
"107","13212","모직물 직조업","FiberLeather"
"108","13214","견직물 직조업","FiberLeather"
"109","13219","특수직물 및 기타직물 직조업","FiberLeather"
"110","13213","화학섬유직물 직조업","FiberLeather"
"111","13991","세폭직물 제조업","FiberLeather"
"112","13310","편조원단 제조업","FiberLeather"
"113","13320","편조제품 제조업","FiberLeather"
"114","13401","솜 및 실 염색가공업","FiberLeather"
"115","13402","직물 및 편조원단 염색 가공업","FiberLeather"
"116","13403","날염 가공업","FiberLeather"
"117","13404","섬유사 및 직물 호부처리업","FiberLeather"
"118","13409","기타섬유제품염색정리마무리가공","FiberLeather"
"119","13221","침구 및 관련제품 제조업","FiberLeather"
"120","13222","자수제품 및 자수용재료 제조업","FiberLeather"
"121","13223","커튼 및 유사제품 제조업","FiberLeather"
"122","13224","천막 및 기타 캔버스 제품 제조업","FiberLeather"
"123","13225","직물포대 제조업","FiberLeather"
"124","13229","기타 직물제품 제조업","FiberLeather"
"125","13921","끈 및 로프 제조업","FiberLeather"
"126","13922","어망 및 기타 끈가공품 제조업","FiberLeather"
"127","13992","부직포 및 펠트 제조업","FiberLeather"
"128","13993","특수사 및 코드직물 제조업","FiberLeather"
"129","13994","적층 및 표면처리 직물 제조업","FiberLeather"
"130","13999","그외기타분류안된섬유제품제조업","FiberLeather"
"131","14111","남자용 정장 제조업","FiberLeather"
"132","14112","여자용 정장 제조업","FiberLeather"
"133","14120","내의 및 잠옷 제조업","FiberLeather"
"134","14130","한복 제조업","FiberLeather"
"135","14191","셔츠 및 체육복 제조업","FiberLeather"
"136","14192","근무복 작업복및유사의복제조업","FiberLeather"
"137","14194","유아용 의복 제조업","FiberLeather"
"138","14199","그외 기타 봉제의복 제조업","FiberLeather"
"139","14300","편조의복 제조업","FiberLeather"
"140","14193","가죽의복 제조업","FiberLeather"
"141","14202","천연모피제품 제조업","FiberLeather"
"142","14203","인조모피및인조모피제품제조업","FiberLeather"
"143","14411","스타킹 및 기타양말 제조업","FiberLeather"
"144","14419","기타 편조의복 액세서리 제조업","FiberLeather"
"145","14491","모자 제조업","FiberLeather"
"146","14499","그외 기타 의복액세서리 제조업","FiberLeather"
"147","15110","원피가공 및 가죽 제조업","FiberLeather"
"148","14201","원모피 가공업","FiberLeather"
"149","15121","핸드백 및 지갑 제조업","FiberLeather"
"150","15129","가방기타 보호용 케이스 제조업","FiberLeather"
"151","15211","구두류 제조업","FiberLeather"
"152","15219","기타 신발 제조업","FiberLeather"
"153","15220","신발부분품 제조업","FiberLeather"
"154","15190","기타 가죽제품 제조업","FiberLeather"
"155","20501","합성섬유 제조업","FiberLeather"
"156","20502","재생섬유 제조업","FiberLeather"
"157","13910","카펫마루덮개유사제품 제조업","FiberLeather"
"158","16101","일반 제재업","WoodPaper"
"159","16102","표면가공목재 및 특정 목적용 제재목 제조업","WoodPaper"
"160","16103","목재 보존, 방부처리, 도장 및 유사 처리업","WoodPaper"
"161","16211","박판, 합판 및 유사적층판 제조업","WoodPaper"
"162","16212","강화 및 재생 목재 제조업","WoodPaper"
"163","16221","목재문 및 관련제품 제조업","WoodPaper"
"164","16229","기타 건축용 나무제품 제조업","WoodPaper"
"165","16231","목재 깔판류 및기타적재판제조업","WoodPaper"
"166","16232","목재 포장용 상자, 드럼 및 유사용기 제조업","WoodPaper"
"167","16291","목재 도구 및 기구 제조업","WoodPaper"
"168","16292","주방용 및 식탁용 목제품 제조업","WoodPaper"
"169","16293","장식용 목제품 제조업","WoodPaper"
"170","16299","그외 기타 나무제품 제조업","WoodPaper"
"171","16301","코르크 제품 제조업","WoodPaper"
"172","16302","돗자리 및 기타 조물제품 제조업","WoodPaper"
"173","17110","펄프 제조업","WoodPaper"
"174","17121","신문용지 제조업","WoodPaper"
"175","17122","인쇄용 및 필기용 원지 제조업","WoodPaper"
"176","17123","크라프트지 및 상자용판지제조업","WoodPaper"
"177","17124","적층, 합성 및 특수표면처리 종이 제조업","WoodPaper"
"178","17129","기타 종이 및 판지 제조업","WoodPaper"
"179","17210","골판지 및 골판지상자 제조업","WoodPaper"
"180","17221","종이 포대 및 가방 제조업","WoodPaper"
"181","17222","판지 상자 및 용기 제조업","WoodPaper"
"182","17223","식품 위생용종이상자용기제조업","WoodPaper"
"183","17229","기타 종이 상자 및 용기 제조업","WoodPaper"
"184","17901","문구용 종이제품 제조업","WoodPaper"
"185","17902","위생용 종이제품 제조업","WoodPaper"
"186","17903","벽지 및 장판지 제조업","WoodPaper"
"187","17909","그외기타종이및판지 제품 제조업","WoodPaper"
"188","17909","그외기타종이및판지제품 제조업","WoodPaper"
"189","18121","제판 및 조판업","WoodPaper"
"190","18111","경 인쇄업","WoodPaper"
"191","18112","스크린 인쇄업","WoodPaper"
"192","18119","기타 인쇄업","WoodPaper"
"193","18122","제책업","WoodPaper"
"194","18129","기타 인쇄관련 산업","WoodPaper"
"195","18200","기록매체 복제업","WoodPaper"
"196","19101","코크스 및 관련제품 제조업","CoalPro"
"197","19102","연탄 및 기타 석탄 가공품 제조업","CoalPro"
"198","19210","원유 정제처리업","Oilpro & Gasoline & Jetoil & Kerosene & Diesel & Fueloil & LPG"
"199","19221","윤활유 및 그리스 제조업","Oilpro & Gasoline & Jetoil & Kerosene & Diesel & Fueloil & LPG"
"200","19229","기타 석유정제물 재처리업","Oilpro & Gasoline & Jetoil & Kerosene & Diesel & Fueloil & LPG"
"201","20111","석유화학계 기초화학물질 제조업","Chemistry"
"202","20119","기타 기초유기화학물질 제조업","Chemistry"
"203","20121","산업용 가스 제조업","Chemistry"
"204","20129","기타 기초무기화학물질 제조업","Chemistry"
"205","20129","기타 기초 무기화학물질 제조업","Chemistry"
"206","20131","무기안료및기타금속산화물제조업","Chemistry"
"207","20132","합성염료, 유연제 및 기타착색제 제조업","Chemistry"
"208","20302","합성수지 및 기타 플라스틱물질 제조업","Chemistry"
"209","20303","가공 및 재생플라스틱원료생산업","Chemistry"
"210","20301","합성고무 제조업","Chemistry"
"211","21101","의약용 화합물및항생물질 제조업","Chemistry"
"212","21102","생물학적 제제 제조업","Chemistry"
"213","21210","완제 의약품 제조업","Chemistry"
"214","21220","한의약품 제조업","Chemistry"
"215","21230","동물용 의약품 제조업","Chemistry"
"216","21300","의료용품 및 기타 의약관련제품 제조업","Chemistry"
"217","20201","질소, 인산 및 칼리질 비료 제조업","Chemistry"
"218","20202","복합비료 제조업","Chemistry"
"219","20209","기타 비료 및 질소화합물 제조업","Chemistry"
"220","20411","가정용 살균 및 살충제 제조업","Chemistry"
"221","20412","농약 제조업","Chemistry"
"222","20421","일반용 도료 및 관련제품 제조업","Chemistry"
"223","20422","요업용 유약 및 관련제품 제조업","Chemistry"
"224","20424","회화용 물감 제조업","Chemistry"
"225","20423","인쇄잉크 제조업","Chemistry"
"226","20431","계면활성제 제조업","Chemistry"
"227","20432","치약, 비누 및 기타 세제 제조업","Chemistry"
"228","20433","화장품 제조업","Chemistry"
"229","20493","접착제 및 젤라틴 제조업","Chemistry"
"230","20491","사진용화학제품감광재료제조업","Chemistry"
"231","20112","천연수지 및 나무화학물질 제조업","Chemistry"
"232","20434","표면광택제 및 실내가향제 제조업","Chemistry"
