"","KSICcode","CGE_name_mapp","CGE_code_mapp","IO_code","KSIC_name","CGE_code_actual"
"6","2030","MissCrop & FF","46 & 52","7 & 21 & 22","임업 관련 서비스업","Commercial"
"10","2011","MissCrop","46","12","임업용 종묘 생산업","FF"
"50","10110","Food & MissManu","28 & 29","35 & 36 & 273","도축업","Food"
"133","13910","FiberLeather & MissManu","20 & 29","70 & 273","카펫마루덮개유사제품 제조업","FiberLeather"
"205","19101","CoalPro & MissManu","11 & 29","99 & 273","코크스 및 관련제품 제조업","CoalPro"
"209","19221","Oilpro","10","109","윤활유 및 그리스 제조업","Oilpro & Gasoline & Jetoil & Kerosene & Diesel & Fueloil & LPG"
"210","19229","Oilpro","10","110","기타 석유정제물 재처리업","Oilpro & Gasoline & Jetoil & Kerosene & Diesel & Fueloil & LPG"
"352","25931","Machine & MissManu","23 & 29","186 & 273","날붙이 제조업","Machine"
"353","25993","Machine & MissManu","23 & 29","186 & 273","수동식 식품 가공기기 및 금속주방용기 제조업","Machine"
"450","30392","Electronics","24","223","자동차용 전기장치 제조업","Auto"
"451","30392","Electronics","24","223","자동차용 전기장치 제조업","Auto"
"475","26421","Electronics & Semidis","24 & 25","246 & 236","방송장비 제조업","Semidis"
"500","29191","Electronics","24","244","일반저울 제조업","Machine"
"2539","8010","Commercial","37","355","원유 및 천연가스 채굴관련 서비스업","Mining"
"2541","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2542","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2543","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2544","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2545","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2546","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2547","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2548","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2549","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2550","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2551","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2552","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2553","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2554","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2555","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
"2556","8090","Commercial","37","355","기타 광업 지원 서비스업","Mining"
