basecode_row,row_name,sector_row,basecode_column,col_name,sector_column,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict,BR_ind,BR_name,Energy.IND,Sector_BR.N,Sector_BR
1,벼,39,1,벼,39,1,ELEC,54,idinput1,소계,54,Dint,중간수요계,1,ELEC,Energy,ELEC,1
2,맥류 및 잡곡,40,2,맥류 및 잡곡,40,2,GAS,55,PTAXin,순생산물세,55,HE,민간소비지출,2,GASHeat,Energy,GASHeat,2
3,콩류,41,3,콩류,41,3,HEAT,56,Resin,잔폐물발생,56,GE,정부소비지출,2,GASHeat,Energy,Oil,3
4,감자류,42,4,감자류,42,4,Gasoline,57,idinput2,중간투입계,57,HI,"민간고정
자본형성",3,Oil,Energy,Coal,4
5,채소,43,5,채소,43,5,Jetoil,58,Payroll,피용자보수,58,GI,"정부고정
자본형성",3,Oil,Energy,IND,5
6,과실,44,6,과실,44,6,Diesel,59,Surplus,영업잉여,59,ST,재고증감,3,Oil,Energy,AGRI,7
7,약용작물,46,7,약용작물,46,7,Kerosene,60,Deprec,고정자본소모,60,Gold,"귀중품
순취득",3,Oil,Energy,,
8,기타 식용작물,46,8,기타 식용작물,46,8,Fueloil,61,PTAXetc,기타생산세,61,EX,수출,3,Oil,Energy,,
9,잎담배,46,9,잎담배,46,9,LPG,62,VA,부가가치계,62,Dfin,최종수요계,3,Oil,Energy,,
10,화훼작물,45,10,화훼작물,45,10,Oilpro,63,Tinput,총투입계,63,Dtotal,총수요계,3,Oil,Energy,,
11,천연고무,46,11,천연고무,46,11,CoalPro,,,,64,Qtotal,총산출,4,Coal,Energy,,
12,종자 및 묘목,46,12,종자 및 묘목,46,12,Coal,,,,65,Qself,자가공정산출,4,Coal,Energy,,
13,기타 비식용작물,46,13,기타 비식용작물,46,13,Oil,,,,66,Imp,수입,3,Oil,Energy,,
14,낙농,47,14,낙농,47,14,LNG,,,,67,Resout,잔폐물발생액,2,GASHeat,Energy,,
15,육우,48,15,육우,48,15,Mining,,,,68,Stotal_b,"총공급계
(기초가격)",5,IND,IND,,
16,양돈,49,16,양돈,49,16,IS,,,,69,PTAXd,생산물세(국산),5,IND,IND,,
17,가금,50,17,가금,50,17,Cement,,,,70,PTAXim,생산물세(수입),5,IND,IND,,
18,기타 축산,51,18,기타 축산,51,18,Chemistry,,,,71,Psub,"생산물보조금
(차감)",5,IND,IND,,
19,영림,52,19,영림,52,19,WoodPaper,,,,72,Cmargin,도소매마진,5,IND,IND,,
20,원목,52,20,원목,52,20,FiberLeather,,,,73,Tmargin,화물운임,5,IND,IND,,
21,식용 임산물,52,21,식용 임산물,52,21,Mineral,,,,74,Contotal,가격전환계,5,IND,IND,,
22,기타 임산물,52,22,기타 임산물,52,22,nonISmetal,,,,75,Stotal_p,"총공급계
",5,IND,IND,,
23,수산어획,52,23,수산어획,52,23,Machine,,,,,,,5,IND,IND,,
24,수산양식,52,24,수산양식,52,24,Electronics,,,,,,,5,IND,IND,,
25,농림어업 서비스,37,25,농림어업 서비스,37,25,Semidis,,,,,,,5,IND,IND,,
26,무연탄,12,26,무연탄,12,26,Auto,,,,,,,5,IND,IND,,
27,유연탄,12,27,유연탄,12,27,Ship,,,,,,,5,IND,IND,,
28,원유,13,28,원유,13,28,Food,,,,,,,5,IND,IND,,
29,천연가스 (LNG)?? ,14,29,천연가스 (LNG)?? ,14,29,MissManu,,,,,,,5,IND,IND,,
30,철광석,15,30,철광석,15,30,Const,,,,,,,5,IND,IND,,
31,기타 비철금속광석,15,31,기타 비철금속광석,15,31,Rail,,,,,,,5,IND,IND,,
32,골재 및 석재,15,32,골재 및 석재,15,32,Road,,,,,,,5,IND,IND,,
33,석회석,15,33,석회석,15,33,Air,,,,,,,5,IND,IND,,
34,기타 비금속광물,15,34,기타 비금속광물,15,34,Marine,,,,,,,5,IND,IND,,
35,도축육,28,35,도축육,28,35,MissTrans,,,,,,,5,IND,IND,,
36,가금육,28,36,가금육,28,36,Housing,,,,,,,5,IND,IND,,
37,육가공품,28,37,육가공품,28,37,Commercial,,,,,,,5,IND,IND,,
38,우유,28,38,우유,28,38,Public,,,,,,,5,IND,IND,,
39,낙농품,28,39,낙농품,28,39,Rice,,,,,,,7,AGRI,IND,,
40,수산물 가공품,28,40,수산물 가공품,28,40,Barley,,,,,,,7,AGRI,IND,,
41,수산동물 저장품,28,41,수산동물 저장품,28,41,Bean,,,,,,,7,AGRI,IND,,
42,정곡,28,42,정곡,28,42,Potato,,,,,,,7,AGRI,IND,,
43,제분,28,43,제분,28,43,Vegi,,,,,,,7,AGRI,IND,,
44,원당,28,44,원당,28,44,Fruit,,,,,,,7,AGRI,IND,,
45,정제당,28,45,정제당,28,45,Flower,,,,,,,7,AGRI,IND,,
46,전분 및 당류,28,46,전분 및 당류,28,46,MissCrop,,,,,,,7,AGRI,IND,,
47,"떡, 빵 및 과자류",28,47,"떡, 빵 및 과자류",28,47,Dairy,,,,,,,7,AGRI,IND,,
48,면류,28,48,면류,28,48,Meat,,,,,,,7,AGRI,IND,,
49,조미료 및 첨가용식품,28,49,조미료 및 첨가용식품,28,49,Pork,,,,,,,7,AGRI,IND,,
50,유지,28,50,유지,28,50,Poultry,,,,,,,7,AGRI,IND,,
51,과실 및 채소 가공품,28,51,과실 및 채소 가공품,28,51,MissLstock,,,,,,,7,AGRI,IND,,
52,커피 및 차류,28,52,커피 및 차류,28,52,FF,,,,,,,7,AGRI,IND,,
53,인삼 및 건강보조식품,28,53,인삼 및 건강보조식품,28,53,Waste,,,,,,,5,IND,IND,,
54,기타 식료품,28,54,기타 식료품,28,,,,,,,,,,,,,
55,사료,28,55,사료,28,,,,,,,,,,,,,
56,주정,28,56,주정,28,,,,,,,,,,,,,
57,소주,28,57,소주,28,,,,,,,,,,,,,
58,맥주,28,58,맥주,28,,,,,,,,,,,,,
59,기타 주류,28,59,기타 주류,28,,,,,,,,,,,,,
