basecode_row,row_name,sector_row,basecode_column,col_name,sector_column,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict
1,벼,33,1,벼,33,1,ELEC,48,idinput1,소계,48,Dint,중간수요계
2,맥류 및 잡곡,34,2,맥류 및 잡곡,34,2,GAS,49,PTAXin,순생산물세,49,HE,민간소비지출
3,콩류,35,3,콩류,35,3,HEAT,50,Resin,잔폐물발생,50,GE,정부소비지출
4,감자류,36,4,감자류,36,4,ROIL,51,idinput2,중간투입계,51,HI,"민간고정
자본형성"
5,채소,37,5,채소,37,5,CoalPro,52,Payroll,피용자보수,52,GI,"정부고정
자본형성"
6,과실,38,6,과실,38,6,Coal,53,Surplus,영업잉여,53,ST,재고증감
7,약용작물,40,7,약용작물,40,7,Oil,54,Deprec,고정자본소모,54,Gold,"귀중품
순취득"
8,기타 식용작물,40,8,기타 식용작물,40,8,LNG,55,PTAXetc,기타생산세,55,EX,수출
9,잎담배,40,9,잎담배,40,9,Mining,56,VA,부가가치계,56,Dfin,최종수요계
10,화훼작물,39,10,화훼작물,39,10,IS,57,Tinput,총투입계,57,Dtotal,총수요계
11,천연고무,40,11,천연고무,40,11,Cement,,,,58,Qtotal,총산출
12,종자 및 묘목,40,12,종자 및 묘목,40,12,Chemistry,,,,59,Qself,자가공정산출
13,기타 비식용작물,40,13,기타 비식용작물,40,13,WoodPaper,,,,60,Imp,수입
14,낙농,41,14,낙농,41,14,FiberLeather,,,,61,Resout,잔폐물발생액
15,육우,42,15,육우,42,15,Mineral,,,,62,Stotal_b,"총공급계
(기초가격)"
16,양돈,43,16,양돈,43,16,nonISmetal,,,,63,PTAXd,생산물세(국산)
17,가금,44,17,가금,44,17,Machine,,,,64,PTAXim,생산물세(수입)
18,기타 축산,45,18,기타 축산,45,18,Electronics,,,,65,Psub,"생산물보조금
(차감)"
19,영림,46,19,영림,46,19,Semi-dis,,,,66,Cmargin,도소매마진
20,원목,46,20,원목,46,20,Auto,,,,67,Tmargin,화물운임
21,식용 임산물,46,21,식용 임산물,46,21,Ship,,,,68,Contotal,가격전환계
22,기타 임산물,46,22,기타 임산물,46,22,Food,,,,69,Stotal_p,"총공급계
"
23,수산어획,46,23,수산어획,46,23,MissManu,,,,,,
24,수산양식,46,24,수산양식,46,24,Const,,,,,,
25,농림어업 서비스,31,25,농림어업 서비스,31,25,Rail,,,,,,
26,무연탄,6,26,무연탄,6,26,Road,,,,,,
27,유연탄,6,27,유연탄,6,27,Air,,,,,,
28,원유,7,28,원유,7,28,Marine,,,,,,
29,천연가스 (LNG)?? ,8,29,천연가스 (LNG)?? ,8,29,MissTrans,,,,,,
30,철광석,9,30,철광석,9,30,Housing,,,,,,
31,기타 비철금속광석,9,31,기타 비철금속광석,9,31,Commercial,,,,,,
32,골재 및 석재,9,32,골재 및 석재,9,32,Public,,,,,,
33,석회석,9,33,석회석,9,33,Rice,,,,,,
34,기타 비금속광물,9,34,기타 비금속광물,9,34,Barley,,,,,,
35,도축육,22,35,도축육,22,35,Bean,,,,,,
36,가금육,22,36,가금육,22,36,Potato,,,,,,
37,육가공품,22,37,육가공품,22,37,Vegi,,,,,,
38,우유,22,38,우유,22,38,Fruit,,,,,,
39,낙농품,22,39,낙농품,22,39,Flower,,,,,,
40,수산물 가공품,22,40,수산물 가공품,22,40,MissCrop,,,,,,
41,수산동물 저장품,22,41,수산동물 저장품,22,41,Dairy,,,,,,
42,정곡,22,42,정곡,22,42,Meat,,,,,,
43,제분,22,43,제분,22,43,Pork,,,,,,
44,원당,22,44,원당,22,44,Poultry,,,,,,
45,정제당,22,45,정제당,22,45,MissLstock,,,,,,
46,전분 및 당류,22,46,전분 및 당류,22,46,FF,,,,,,
47,"떡, 빵 및 과자류",22,47,"떡, 빵 및 과자류",22,47,Waste,,,,,,
48,면류,22,48,면류,22,,,,,,,,
49,조미료 및 첨가용식품,22,49,조미료 및 첨가용식품,22,,,,,,,,
50,유지,22,50,유지,22,,,,,,,,
51,과실 및 채소 가공품,22,51,과실 및 채소 가공품,22,,,,,,,,
52,커피 및 차류,22,52,커피 및 차류,22,,,,,,,,
53,인삼 및 건강보조식품,22,53,인삼 및 건강보조식품,22,,,,,,,,
54,기타 식료품,22,54,기타 식료품,22,,,,,,,,
55,사료,22,55,사료,22,,,,,,,,
56,주정,22,56,주정,22,,,,,,,,
57,소주,22,57,소주,22,,,,,,,,
58,맥주,22,58,맥주,22,,,,,,,,
59,기타 주류,22,59,기타 주류,22,,,,,,,,
60,비알콜음료 및 얼음,22,60,비알콜음료 및 얼음,22,,,,,,,,
61,담배,22,61,담배,22,,,,,,,,
62,천연 섬유사,14,62,천연 섬유사,14,,,,,,,,
63,화학 섬유사,14,63,화학 섬유사,14,,,,,,,,
64,기타 섬유사,14,64,기타 섬유사,14,,,,,,,,
65,천연섬유직물,14,65,천연섬유직물,14,,,,,,,,
66,화학섬유직물,14,66,화학섬유직물,14,,,,,,,,
67,기타 섬유직물,14,67,기타 섬유직물,14,,,,,,,,
68,편조원단,14,68,편조원단,14,,,,,,,,
69,섬유표백 및 염색,14,69,섬유표백 및 염색,14,,,,,,,,
70,직물제품,14,70,직물제품,14,,,,,,,,
71,"끈, 로프 및 어망",14,71,"끈, 로프 및 어망",14,,,,,,,,
72,기타 섬유제품,14,72,기타 섬유제품,14,,,,,,,,
73,봉제의류,14,73,봉제의류,14,,,,,,,,
74,편조의류,14,74,편조의류,14,,,,,,,,
75,가죽의류,14,75,가죽의류,14,,,,,,,,
76,모피의류 및 모피제품,14,76,모피의류 및 모피제품,14,,,,,,,,
77,의복관련 장신품,14,77,의복관련 장신품,14,,,,,,,,
78,가죽,14,78,가죽,14,,,,,,,,
79,모피,14,79,모피,14,,,,,,,,
80,가방 및 핸드백,14,80,가방 및 핸드백,14,,,,,,,,
81,신발,14,81,신발,14,,,,,,,,
82,기타 가죽제품,14,82,기타 가죽제품,14,,,,,,,,
83,제재목,13,83,제재목,13,,,,,,,,
84,합판,13,84,합판,13,,,,,,,,
85,강화 및 재생목재,13,85,강화 및 재생목재,13,,,,,,,,
86,건축용 목제품,13,86,건축용 목제품,13,,,,,,,,
87,목재 용기 및 적재판,13,87,목재 용기 및 적재판,13,,,,,,,,
88,기타 목제품,13,88,기타 목제품,13,,,,,,,,
89,펄프,13,89,펄프,13,,,,,,,,
90,인쇄용지,13,90,인쇄용지,13,,,,,,,,
91,기타 원지 및 판지,13,91,기타 원지 및 판지,13,,,,,,,,
92,골판지 및 골판지상자,13,92,골판지 및 골판지상자,13,,,,,,,,
93,종이용기,13,93,종이용기,13,,,,,,,,
94,종이문구 및 사무용지,13,94,종이문구 및 사무용지,13,,,,,,,,
95,위생용 종이제품,13,95,위생용 종이제품,13,,,,,,,,
96,기타 종이제품,13,96,기타 종이제품,13,,,,,,,,
97,인쇄,13,97,인쇄,13,,,,,,,,
98,기록매체 복제,13,98,기록매체 복제,13,,,,,,,,
99,석탄 코크스 및 관련제품,5,99,석탄 코크스 및 관련제품,5,,,,,,,,
100,연탄,5,100,연탄,5,,,,,,,,
101,나프타,4,101,나프타,4,,,,,,,,
