"","ELEC-a","GASHeat-a","Oil-a","Coal-a","EINT-a","NEINT-a","AGRI-a","CO2-a","ELEC-c","GASHeat-c","Oil-c","Coal-c","EINT-c","NEINT-c","AGRI-c","CO2-c","Labor","Capital","Household","GoV","NRES","Ptaxin","Ptaxetc","Tarrif","YTAX","S-I","ROW"
"ELEC-a",0,0,0,0,0,0,0,0,41534.487,0,0,0,0,0,0,0,0,0,0,2427.97178831262,0,0,0,0,0,0,0
"GASHeat-a",0,0,0,0,0,0,0,0,0,30161.792,0,0,0,0,0,0,0,0,0,116.026142483038,0,0,0,0,0,0,0
"Oil-a",0,0,0,0,0,0,0,0,0,0,103050.702,0,0,0,0,0,0,0,0,48.6562664434213,0,0,0,0,0,0,0
"Coal-a",0,0,0,0,0,0,0,0,0,0,0,6912.343,0,0,0,0,0,0,0,1.20264649037939,0,0,0,0,0,0,0
"EINT-a",0,0,0,0,0,0,0,0,0,0,0,0,524112.361,0,0,0,0,0,0,2002.62475174686,0,0,0,0,0,0,0
"NEINT-a",0,0,0,0,0,0,0,0,0,0,0,0,0,2396495.914,0,0,0,0,0,1179.12495208446,0,0,0,0,0,0,0
"AGRI-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,51579.133,0,0,0,0,266.268445387064,0,0,0,0,0,0,0
"CO2-a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6041.87499294784,0,0,0,0,0,0,0,0,0,0,0
"ELEC-c",556.757,64.474,815.588,72.901,6363.772,25539.89,159.385,0,0,0,0,0,0,0,0,0,0,0,7975.42,0,0,0,0,0,0,0,83.761
"GASHeat-c",8575.153,20534.598,470.029,0.785,3059.957,8822.891,7.486,0,0,0,0,0,0,0,0,0,0,0,7870.849,0,0,0,0,0,0,455.704,18.034
"Oil-c",2300.089,681.308,83242.31,67.988,53362.259,22014.311,1525.137,0,0,0,0,0,0,0,0,0,0,0,10533.374,0,0,0,0,0,0,2220.658,40993.88
"Coal-c",8892.316,469.276,0,5046.834,8212.272,203.847,103.351,0,0,0,0,0,0,0,0,0,0,0,81.243,0,0,0,0,0,0,-909.442,23.69
"EINT-c",1869.392,82.155,3166.025,384.074,239832.379,239356.241,3648.384,0,0,0,0,0,0,0,0,0,0,0,27145.825,0,0,0,0,0,0,1573.649,138604.615
"NEINT-c",6421.858,1498.198,7230.696,780.231,89943.478,1046626.979,15832.139,0,0,0,0,0,0,0,0,0,0,0,523219.322,183108.515,0,0,0,0,0,371026.619,451496.026
"AGRI-c",1.268,0.281,1.534,2.866,1850.265,40805.134,2288.899,0,0,0,0,0,0,0,0,0,0,0,14509.494,0,0,0,0,0,0,1949.315,756.457
"CO2-c",2427.97178831262,116.026142483038,48.6562664434213,1.20264649037939,2002.62475174686,1179.12495208446,266.268445387064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Labor",3438.079,925.373,1112.996,141.264,43304.254,483982.423,3445.869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capital",9153.961,3779.67,5012.656,441.533,65411.585,488135.847,23184.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536350.258,595119.743,0,43360.5,1075.434,0,0,0,0,0,0
"GoV",0,0,0,0,0,0,0,6041.87499294784,0,0,0,0,0,0,0,0,0,0,0,0,0,140861.255,13654.088,0,165026.8,0,0
"NRES",-47.827,-5.84,369.524,-1.204,5221.745,-1605.639,-2.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ptaxin",263.253,2110.82,1487.932,-26.574,6696.288,31056.981,418.038,0,0,0,0,0,0,0,0,0,0,0,46452.566,0,0,0,0,0,0,31724.564,20677.387
"Ptaxetc",110.188,21.479,141.412,1.645,854.107,11557.009,968.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tarrif",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YTAX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165026.8,0,0,0,0,0,0,0,0
"S-I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373091.042,93073.128,2853.031,0,0,0,0,0,-60976.134
"ROW",0,0,0,0,0,0,0,0,97.461,19653.694,113890.612,15211.044,131550.378,300688.147,10586.38,0,0,0,0,0,0,0,0,0,0,0,0
